Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,1.7,1.75,1.63,0,0.00%,,130029762,59
2010-01-07,0,1.65,1.65,1.6,0,0.00%,,270576447,45
2010-09-30,0,1.26,1.26,1.26,0,0.00%,,25200,1
2010-10-03,0,1.14,1.14,1.14,0,0.00%,,5700000,6
2010-10-04,0,1.03,1.03,1.03,0,0.00%,,11536000,26
2010-10-05,0,0.94,0.97,0.93,0,0.00%,,232698015,89
2010-10-06,0,0.93,0.93,0.9,0,0.00%,,83570482,32
2010-10-07,0,0.92,0.93,0.91,0,0.00%,,30277443,29
2010-10-10,0,0.95,0.99,0.95,0,0.00%,,43535272,21
2010-10-11,0,0.97,0.98,0.95,0,0.00%,,48379663,27
2010-10-12,0,0.96,0.96,0.94,0,0.00%,,50842560,27
2010-10-13,0,0.94,0.96,0.94,0,0.00%,,102936334,35
2010-10-14,0,0.97,0.97,0.96,0,0.00%,,77880069,20
2010-10-17,0,0.97,0.99,0.97,0,0.00%,,36365933,14
2010-10-18,0,1,1.07,1,0,0.00%,,121441747,56
2010-10-19,0,1.03,1.04,0.99,0,0.00%,,71880047,36
2010-10-20,0,1,1.02,1,0,0.00%,,33071362,16
2010-10-21,0,1.02,1.03,1.02,0,0.00%,,43711557,22
2010-10-24,0,1.02,1.03,1.02,0,0.00%,,34633890,25
2010-10-25,0,1.03,1.03,1.02,0,0.00%,,121687695,27
2010-10-26,0,1.04,1.04,1.03,0,0.00%,,36726781,20
2010-10-27,0,1.03,1.03,1.03,0,0.00%,,1873701,3
2010-10-28,0,1.04,1.05,1.04,0,0.00%,,59173694,25
2010-10-31,0,1.05,1.07,1.05,0,0.00%,,18405688,18
2010-11-01,0,1.07,1.1,1.07,0,0.00%,,122969189,28
2010-11-02,0,1.11,1.13,1.11,0,0.00%,,78786273,34
2010-11-03,0,1.15,1.23,1.15,0,0.00%,,59082925,30
2010-11-04,0,1.24,1.24,1.15,0,0.00%,,104838257,49
2010-11-07,0,1.15,1.18,1.15,0,0.00%,,59361361,30
2010-11-08,0,1.18,1.19,1.18,0,0.00%,,129104826,46
2010-11-09,0,1.19,1.19,1.16,0,0.00%,,89871949,40
2010-11-10,0,1.15,1.15,1.1,0,0.00%,,129488218,52
2010-11-11,0,1.11,1.14,1.11,0,0.00%,,155303910,49
2010-11-14,0,1.18,1.18,1.13,0,0.00%,,128754975,37
2010-11-15,0,1.14,1.15,1.14,0,0.00%,,118068301,40
2010-12-06,0,1.13,1.13,1.11,0,0.00%,,86954850,40
2010-12-08,0,1.12,1.13,1.12,0,0.00%,,118782490,32
2010-12-09,0,1.12,1.12,1.11,0,0.00%,,32440000,9
2010-12-12,0,1.11,1.11,1.1,0,0.00%,,41816780,16
2010-12-13,0,1.1,1.11,1.1,0,0.00%,,84092152,23
2010-12-14,0,1.12,1.15,1.12,0,0.00%,,44899500,16
2010-12-15,0,1.14,1.14,1.14,0,0.00%,,26148750,16
2010-12-19,0,1.15,1.15,1.14,0,0.00%,,58184264,17
2010-12-20,0,1.14,1.14,1.13,0,0.00%,,39279504,19
2010-12-21,0,1.14,1.16,1.14,0,0.00%,,60506074,26
2010-12-22,0,1.16,1.18,1.16,0,0.00%,,44119287,5
2010-12-23,0,1.19,1.19,1.16,0,0.00%,,86733891,24
2011-01-04,0,1.18,1.19,1.18,0,0.00%,,50676920,17
2011-01-05,0,1.2,1.25,1.2,0,0.00%,,100761752,25
2011-01-09,0,1.24,1.29,1.24,0,0.00%,,62639728,30
2011-01-10,0,1.27,1.34,1.27,0,0.00%,,70768557,34
2011-01-11,0,1.34,1.34,1.31,0,0.00%,,173148204,48
2011-01-12,0,1.29,1.29,1.28,0,0.00%,,30316208,12
2011-01-13,0,1.29,1.29,1.28,0,0.00%,,14727449,10
2011-01-16,0,1.28,1.28,1.28,0,0.00%,,3840000,1
2011-01-17,0,1.28,1.29,1.28,0,0.00%,,15594231,8
2011-01-18,0,1.27,1.27,1.24,0,0.00%,,30999042,18
2011-01-19,0,1.25,1.29,1.24,0,0.00%,,25372521,17
2011-01-20,0,1.27,1.3,1.27,0,0.00%,,6873999,6
2011-01-23,0,1.27,1.3,1.27,0,0.00%,,14860548,13
2011-01-24,0,1.3,1.32,1.3,0,0.00%,,15768303,10
2011-01-25,0,1.34,1.35,1.32,0,0.00%,,69133843,27
2011-01-26,0,1.33,1.34,1.32,0,0.00%,,53994842,15
2011-01-27,0,1.32,1.33,1.31,0,0.00%,,57167000,22
2011-01-30,0,1.32,1.33,1.32,0,0.00%,,34635440,15
2011-01-31,0,1.31,1.32,1.31,0,0.00%,,15241860,9
2011-02-01,0,1.31,1.32,1.31,0,0.00%,,20178000,7
2011-02-02,0,1.3,1.3,1.29,0,0.00%,,30017980,11
2011-02-03,0,1.3,1.3,1.28,0,0.00%,,5140000,5
2011-02-06,0,1.28,1.3,1.28,0,0.00%,,27591954,11
2011-02-07,0,1.3,1.3,1.3,0,0.00%,,15420774,5
2011-02-08,0,1.31,1.31,1.28,0,0.00%,,15636503,10
2011-02-09,0,1.29,1.29,1.29,0,0.00%,,7740000,2
2011-02-10,0,1.29,1.31,1.29,0,0.00%,,50909286,10
2011-02-13,0,1.3,1.3,1.3,0,0.00%,,8973810,5
2011-02-14,0,1.3,1.3,1.28,0,0.00%,,14006029,6
2011-02-16,0,1.27,1.29,1.27,0,0.00%,,11920200,3
2011-02-17,0,1.3,1.3,1.29,0,0.00%,,6739800,7
2011-02-20,0,1.28,1.28,1.28,0,0.00%,,2406400,1
2011-02-21,0,1.27,1.28,1.27,0,0.00%,,7849010,10
2011-02-22,0,1.27,1.27,1.27,0,0.00%,,7848600,6
2011-02-23,0,1.17,1.25,1.17,0,0.00%,,7233205,6
2011-02-24,0,1.24,1.25,1.24,0,0.00%,,32204449,18
2011-02-27,0,1.26,1.26,1.26,0,0.00%,,5569200,4
2011-02-28,0,1.26,1.27,1.26,0,0.00%,,12503410,15
2011-03-01,0,1.27,1.28,1.27,0,0.00%,,14285404,13
2011-03-02,0,1.27,1.27,1.25,0,0.00%,,21750500,9
2011-03-03,0,1.27,1.27,1.27,0,0.00%,,2349500,4
2011-03-07,0,1.24,1.25,1.24,0,0.00%,,8740000,4
2011-03-08,0,1.25,1.27,1.25,0,0.00%,,32055980,20
2011-03-09,0,1.27,1.28,1.27,0,0.00%,,17713818,11
2011-03-10,0,1.26,1.26,1.26,0,0.00%,,1575000,3
2011-03-13,0,1.26,1.27,1.26,0,0.00%,,19395341,17
2011-03-14,0,1.25,1.26,1.25,0,0.00%,,4060101,8
2011-03-15,0,1.25,1.26,1.25,0,0.00%,,6410000,6
2011-03-16,0,1.25,1.25,1.25,0,0.00%,,14974240,11
2011-03-17,0,1.26,1.26,1.25,0,0.00%,,4681626,7
2011-03-20,0,1.26,1.27,1.26,0,0.00%,,77077686,7
2011-03-22,0,1.24,1.25,1.24,0,0.00%,,9884967,8
2011-03-23,0,1.25,1.26,1.25,0,0.00%,,7509556,4
2011-03-24,0,1.25,1.25,1.25,0,0.00%,,2187500,4
2011-03-27,0,1.23,1.24,1.23,0,0.00%,,6957879,5
2011-03-28,0,1.24,1.24,1.24,0,0.00%,,13539230,6
2011-03-29,0,1.24,1.24,1.24,0,0.00%,,2794432,5
2011-03-31,0,1.25,1.25,1.24,0,0.00%,,3444944,3
2011-04-03,0,1.25,1.25,1.23,0,0.00%,,11299568,13
2011-04-04,0,1.23,1.23,1.22,0,0.00%,,34012429,16
2011-04-05,0,1.22,1.22,1.22,0,0.00%,,2745000,5
2011-04-06,0,1.2,1.2,1.2,0,0.00%,,6960000,3
2011-04-07,0,1.2,1.22,1.2,0,0.00%,,9005384,5
2011-04-10,0,1.2,1.22,1.18,0,0.00%,,18696975,10
2011-04-11,0,1.2,1.22,1.2,0,0.00%,,6826154,5
2011-04-12,0,1.24,1.24,1.23,0,0.00%,,7182000,7
2011-04-13,0,1.23,1.24,1.23,0,0.00%,,15633830,11
2011-04-14,0,1.23,1.23,1.22,0,0.00%,,6318319,7
2011-04-17,0,1.21,1.21,1.21,0,0.00%,,2420000,1
2011-04-18,0,1.21,1.21,1.21,0,0.00%,,1334417,5
2011-04-19,0,1.22,1.22,1.21,0,0.00%,,17029443,4
2011-04-20,0,1.22,1.22,1.22,0,0.00%,,7320000,6
2011-04-21,0,1.2,1.22,1.2,0,0.00%,,1968182,5
2011-04-24,0,1.2,1.2,1.2,0,0.00%,,1611365,2
2011-04-25,0,1.2,1.2,1.2,0,0.00%,,6480000,6
2011-04-26,0,1.21,1.21,1.21,0,0.00%,,556322,4
2011-04-27,0,1.21,1.21,1.21,0,0.00%,,4268872,2
2011-04-28,0,1.2,1.21,1.2,0,0.00%,,4388200,5
2011-05-03,0,1.18,1.18,1.14,0,0.00%,,36784135,15
2011-05-04,0,1.15,1.15,1.15,0,0.00%,,1448365,6
2011-05-05,0,1.14,1.16,1.14,0,0.00%,,58457973,22
2011-05-08,0,1.16,1.2,1.16,0,0.00%,,35454191,9
2011-05-09,0,1.16,1.16,1.16,0,0.00%,,65190077,12
2011-05-10,0,1.16,1.16,1.15,0,0.00%,,1275000,3
2011-05-11,0,1.15,1.15,1.15,0,0.00%,,45256,3
2011-05-12,0,1.14,1.15,1.14,0,0.00%,,1230687,6
2011-05-15,0,1.15,1.16,1.15,0,0.00%,,3188582,10
2011-05-16,0,1.16,1.16,1.13,0,0.00%,,2190256,6
2011-05-17,0,1.13,1.13,1.13,0,0.00%,,497200,2
2011-05-18,0,1.13,1.13,1.13,0,0.00%,,3390000,2
2011-05-19,0,1.13,1.16,1.13,0,0.00%,,28526250,7
2011-05-22,0,1.16,1.18,1.15,0,0.00%,,12741192,13
2011-05-23,0,1.18,1.2,1.18,0,0.00%,,50777844,36
2011-05-24,0,1.19,1.19,1.18,0,0.00%,,21812725,36
2011-05-25,0,1.19,1.23,1.19,0,0.00%,,38887320,16
2011-05-26,0,1.23,1.35,1.22,0,0.00%,,40297333,27
2011-05-29,0,1.22,1.23,1.2,0,0.00%,,22065323,9
2011-05-30,0,1.21,1.21,1.21,0,0.00%,,9680000,3
2011-05-31,0,1.21,1.22,1.21,0,0.00%,,9698917,11
2011-06-01,0,1.2,1.2,1.2,0,0.00%,,18000000,5
2011-06-02,0,1.2,1.2,1.2,0,0.00%,,7560000,2
2011-06-05,0,1.2,1.2,1.2,0,0.00%,,270000,1
2011-06-06,0,1.19,1.19,1.19,0,0.00%,,1154586,2
2011-06-07,0,1.18,1.2,1.18,0,0.00%,,23984216,11
2011-06-08,0,1.2,1.22,1.2,0,0.00%,,23354018,14
2011-06-09,0,1.22,1.22,1.21,0,0.00%,,5482252,4
2011-06-12,0,1.22,1.22,1.21,0,0.00%,,7461500,5
2011-06-13,0,1.2,1.2,1.19,0,0.00%,,1674000,4
2011-06-14,0,1.21,1.21,1.2,0,0.00%,,3667916,3
2011-06-15,0,1.2,1.2,1.2,0,0.00%,,12310142,10
2011-06-16,0,1.2,1.2,1.2,0,0.00%,,4800000,3
2011-06-20,0,1.18,1.18,1.18,0,0.00%,,120060,1
2011-06-21,0,1.18,1.18,1.18,0,0.00%,,2756114,6
2011-06-22,0,1.17,1.17,1.16,0,0.00%,,2901080,6
2011-06-23,0,1.17,1.17,1.17,0,0.00%,,50188278,6
2011-06-26,0,1.18,1.18,1.18,0,0.00%,,3127000,4
2011-06-29,0,1.17,1.19,1.17,0,0.00%,,14232207,7
2011-06-30,0,1.18,1.19,1.18,0,0.00%,,103581931,19
