Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-11-03,0,2.2,2.85,1.9,0,0.00%,,406617410,299
2011-11-13,0,1.9,1.9,1.74,0,0.00%,,106530417,56
2011-11-14,0,1.64,1.65,1.57,0,0.00%,,113678430,82
2011-11-15,0,1.56,1.56,1.44,0,0.00%,,304226830,103
2011-11-16,0,1.44,1.44,1.31,0,0.00%,,60961883,74
2011-11-17,0,1.41,1.52,1.4,0,0.00%,,152045010,104
2011-11-20,0,1.5,1.58,1.48,0,0.00%,,199477606,124
2011-11-21,0,1.54,1.58,1.53,0,0.00%,,192307530,110
2011-11-22,0,1.56,1.58,1.52,0,0.00%,,88632556,67
2011-11-23,0,1.52,1.52,1.5,0,0.00%,,76182775,59
2011-11-24,0,1.5,1.54,1.5,0,0.00%,,92536928,58
2011-11-28,0,1.51,1.51,1.49,0,0.00%,,65144775,28
2011-11-29,0,1.52,1.53,1.49,0,0.00%,,287294779,91
2011-11-30,0,1.5,1.5,1.4,0,0.00%,,357201117,73
2011-12-01,1,1.5,1.5,1.44,1,0.00%,,148109385,43
2011-12-04,2,1.47,1.58,1.47,1,100.00%,,2002995711,99
2011-12-18,1.43,1.5,1.51,1.43,-0.57,-28.50%,,108267706,75
2011-12-19,1.47,1.43,1.48,1.43,0.04,2.80%,,46963614,40
2011-12-20,1.48,1.47,1.52,1.47,0.01,0.68%,,95539499,57
2012-01-03,1.51,1.48,1.55,1.48,0.03,2.03%,,104643324,43
2012-01-04,1.48,1.51,1.51,1.47,-0.03,-1.99%,,20754042,24
2012-01-05,1.47,1.48,1.48,1.44,-0.01,-0.68%,,31874356,19
2012-01-08,1.45,1.47,1.47,1.45,-0.02,-1.36%,,25526000,12
2012-01-09,1.46,1.46,1.46,1.46,0.01,0.69%,,9723758,10
2012-01-10,1.45,1.45,1.46,1.44,-0.01,-0.68%,,12768946,9
2012-01-11,1.46,1.45,1.46,1.45,0.01,0.69%,,7026943,9
2012-01-15,1.46,1.46,1.5,1.45,0,0.00%,,42433976,16
2012-01-16,1.45,1.46,1.46,1.45,-0.01,-0.68%,,4067148,4
2012-01-17,1.42,1.44,1.44,1.42,-0.03,-2.07%,,26106448,17
2012-01-18,1.37,1.41,1.41,1.37,-0.05,-3.52%,,15795434,24
2012-01-19,1.33,1.37,1.38,1.33,-0.04,-2.92%,,43948500,36
2012-01-22,1.33,1.33,1.33,1.31,0,0.00%,,12443388,14
