Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-07,2.85,2.85,2.85,2.85,,,18458,52605,1
2011-12-13,2.85,2.85,2.85,2.85,0.0,0.0,16295927,46443392,1
2011-12-15,3.0,3.0,3.0,3.0,0.15,5.26,5000,15000,1
2012-01-04,2.9,2.9,2.9,2.9,-0.1,-3.33,43042,124822,1
2012-01-22,2.9,2.9,2.9,2.9,0.0,0.0,16800,48720,1
2012-01-29,2.8,2.8,2.8,2.8,-0.1,-3.45,1000000,2800000,2
2012-01-30,2.75,2.75,2.75,2.75,-0.05,-1.79,677261,1862468,3
2012-02-02,2.75,2.75,2.75,2.75,0.0,0.0,77272,212498,2
2012-02-06,2.75,2.75,2.75,2.75,0.0,0.0,71750,197312,1
2012-02-12,2.75,2.75,2.75,2.75,0.0,0.0,69989,192470,2
2012-02-13,2.75,2.75,2.75,2.75,0.0,0.0,1098602,3021156,2
2012-02-14,2.75,2.75,2.75,2.75,0.0,0.0,502875,1382906,3
2012-02-19,2.76,2.76,2.76,2.76,0.01,0.36,947916,2616248,1
2012-03-01,2.75,2.75,2.75,2.75,-0.01,-0.36,386636,1063249,2
2012-03-05,2.75,2.75,2.75,2.75,0.0,0.0,7569,20815,1
2012-03-08,2.85,2.85,2.85,2.85,0.1,3.64,248029,706883,1
2012-03-11,2.95,2.95,2.95,2.95,0.1,3.51,71750,211663,1
2012-03-14,2.9,2.9,2.9,2.9,-0.05,-1.69,30221,87641,1
2012-03-18,3.0,3.0,3.0,3.0,0.1,3.45,34000,102000,1
2012-04-05,2.86,2.85,2.86,2.85,-0.14,-4.67,322411,919871,3
2012-04-09,2.85,2.85,2.87,2.85,-0.01,-0.35,1600000,4570000,4
2012-04-10,2.7,2.85,2.85,2.7,-0.15,-5.26,1007628,2851871,8
2012-04-11,2.7,2.7,2.7,2.7,0.0,0.0,17845,48182,2
2012-04-16,2.7,2.7,2.7,2.7,0.0,0.0,232155,626819,3
2012-04-17,2.6,2.6,2.6,2.6,-0.1,-3.7,7446,19360,1
2012-04-18,2.5,2.5,2.5,2.5,-0.1,-3.85,229710,574275,1
2012-04-19,2.56,2.52,2.56,2.52,0.06,2.4,401386,1024102,6
2012-04-24,2.7,2.7,2.7,2.7,0.14,5.47,800000,2160000,2
2012-04-25,2.65,2.65,2.65,2.65,-0.05,-1.85,121538,322076,4
2012-04-29,2.65,2.65,2.65,2.65,0.0,0.0,105650,279972,1
2012-04-30,2.7,2.7,2.7,2.7,0.05,1.89,206406,557296,1
2012-05-03,2.65,2.65,2.65,2.65,-0.05,-1.85,250000,662500,1
2012-05-07,2.7,2.7,2.7,2.7,0.05,1.89,145000,391500,2
2012-05-09,2.7,2.7,2.7,2.7,0.0,0.0,55181,148989,1
2012-05-13,2.7,2.7,2.7,2.7,0.0,0.0,25000,67500,1
2012-05-14,2.7,2.65,2.7,2.65,0.0,0.0,1475727,3979463,4
2012-05-20,2.72,2.7,2.72,2.7,0.02,0.74,1052663,2848190,4
2012-05-22,2.7,2.7,2.72,2.7,-0.02,-0.74,776687,2103055,6
2012-05-23,2.7,2.7,2.7,2.7,0.0,0.0,36000,97200,1
2012-05-27,2.7,2.7,2.7,2.7,0.0,0.0,500000,1350000,2
2012-05-29,2.7,2.7,2.7,2.7,0.0,0.0,76719,207141,2
2012-06-05,2.72,2.72,2.72,2.72,0.02,0.74,100000,272000,1
2012-06-12,2.72,2.72,2.72,2.72,0.0,0.0,1069091,2907928,3
2012-09-02,2.75,2.72,2.75,2.72,0.03,1.1,3546727,9648597,2
2012-09-03,2.75,2.75,2.75,2.75,0.0,0.0,100000,275000,1
2012-09-04,2.7,2.7,2.7,2.7,-0.05,-1.82,86156,232621,1
2012-09-09,2.6,2.6,2.6,2.6,-0.1,-3.7,100000,260000,1
2012-09-10,2.6,2.6,2.6,2.6,0.0,0.0,6156,16006,1
2012-09-13,2.5,2.5,2.5,2.5,-0.1,-3.85,20000,50000,1
2012-09-16,2.6,2.6,2.6,2.6,0.1,4.0,193844,503994,4
2012-09-17,2.5,2.5,2.51,2.46,-0.1,-3.85,1040587,2593061,11
2012-09-18,2.51,2.5,2.51,2.5,0.01,0.4,70576,176443,3
2012-09-19,2.76,2.7,2.76,2.7,0.25,9.96,800000,2172000,3
2012-09-20,2.81,2.86,2.86,2.8,0.05,1.81,1429087,4045107,15
2012-09-23,2.75,2.8,2.8,2.75,-0.06,-2.14,2605646,7246106,17
2012-10-08,2.01,1.81,2.2,1.8,-0.74,-26.91,1753047,3478985,11
2012-10-09,2.08,2.2,2.21,2.08,0.07,3.48,1505652,3219356,9
2012-10-10,1.94,1.98,1.98,1.94,-0.14,-6.73,200000,392000,2
2012-10-14,1.96,1.95,1.96,1.95,0.02,1.03,700000,1367000,2
2012-10-15,1.95,1.95,1.95,1.95,-0.01,-0.51,907513,1769650,4
2012-10-21,1.89,1.89,1.89,1.89,-0.06,-3.08,50000,94500,1
2012-11-11,1.95,1.8,1.95,1.8,0.06,3.17,400000,737078,3
2012-11-14,1.8,1.94,1.94,1.8,-0.15,-7.69,460000,837000,3
2012-11-28,1.81,1.8,1.81,1.8,0.01,0.56,870900,1569350,5
2012-11-29,1.85,1.85,1.85,1.85,0.04,2.21,173000,320050,1
2012-12-02,1.9,1.86,1.9,1.86,0.05,2.7,720243,1347542,2
2012-12-12,2.09,1.95,2.09,1.95,0.19,10.0,4133646,8273420,14
2012-12-13,2.29,2.2,2.29,2.2,0.2,9.57,5085820,11612384,21
2012-12-16,2.35,2.3,2.35,2.3,0.06,2.62,363646,853886,4
2012-12-17,2.58,2.5,2.58,2.5,0.23,9.79,1800000,4602000,11
2012-12-18,2.6,2.83,2.83,2.6,0.02,0.78,1500000,4151000,5
2012-12-19,2.6,2.59,2.6,2.59,0.0,0.0,1223459,3178993,5
2012-12-20,2.51,2.6,2.6,2.51,-0.09,-3.46,468501,1205031,8
2012-12-23,2.45,2.45,2.45,2.45,-0.06,-2.39,150000,367500,1
2012-12-24,2.45,2.45,2.45,2.45,0.0,0.0,150000,367500,1
2013-01-08,2.21,2.25,2.25,2.21,-0.24,-9.8,1406500,3141625,9
2013-01-10,2.1,2.1,2.1,2.1,-0.11,-4.98,1775000,3727500,6
2013-01-14,2.11,2.15,2.16,2.11,0.01,0.48,325000,689250,3
2013-01-15,2.18,2.11,2.18,2.11,0.07,3.32,900000,1915000,5
2013-01-16,2.16,2.16,2.16,2.16,-0.02,-0.92,552750,1193940,6
2013-01-17,2.15,2.14,2.15,2.14,-0.01,-0.46,300000,643000,4
2013-01-20,2.16,2.16,2.17,2.15,0.01,0.47,815000,1760250,8
2013-01-21,2.11,2.14,2.14,2.11,-0.05,-2.31,1250000,2661500,8
2013-01-22,2.11,2.11,2.11,2.11,0.0,0.0,15798,33334,1
2013-01-23,2.11,2.11,2.11,2.11,0.0,0.0,125000,263750,1
2013-01-29,2.1,2.1,2.1,2.1,-0.01,-0.47,100000,210000,1
2013-02-03,2.1,2.1,2.1,2.1,0.0,0.0,114365,240166,3
2013-02-04,2.09,2.1,2.11,2.09,-0.01,-0.48,800000,1676000,8
2013-02-05,2.05,2.0,2.05,2.0,-0.04,-1.91,3175986,6367472,12
2013-02-06,2.0,2.03,2.03,2.0,-0.05,-2.44,1425506,2855267,8
2013-02-07,2.0,2.0,2.0,2.0,0.0,0.0,1000000,2000000,7
2013-02-11,1.97,2.0,2.0,1.97,-0.03,-1.5,1291668,2565336,7
2013-02-12,1.96,1.96,1.96,1.96,-0.01,-0.51,100000,196000,1
2013-02-13,1.96,1.96,1.96,1.96,0.0,0.0,15136,29667,1
2013-02-14,1.96,1.96,1.96,1.96,0.0,0.0,100000,196000,1
2013-02-18,1.96,1.95,1.96,1.94,0.0,0.0,980000,1906300,5
2013-02-20,1.96,1.96,1.96,1.96,0.0,0.0,250000,490000,1
2013-02-21,1.95,1.96,1.97,1.95,-0.01,-0.51,3500000,6845000,18
2013-02-24,1.94,1.95,1.95,1.94,-0.01,-0.51,3526248,6850921,7
2013-02-25,1.92,1.93,1.93,1.92,-0.02,-1.03,2850000,5482000,8
2013-02-26,1.88,1.9,1.9,1.88,-0.04,-2.08,400000,758000,3
2013-02-27,1.86,1.86,1.86,1.86,-0.02,-1.06,129197,240306,1
2013-02-28,1.87,1.9,1.94,1.87,0.01,0.54,1512595,2859107,14
2013-03-03,1.87,1.87,1.87,1.87,0.0,0.0,129195,241595,2
2013-03-05,1.87,1.87,1.87,1.87,0.0,0.0,645940,1207908,4
2013-03-17,1.78,1.78,1.78,1.78,-0.09,-4.81,572377,1018831,5
2013-03-18,1.95,1.78,1.95,1.66,0.17,9.55,11127408,19909120,59
2013-03-19,2.02,1.98,2.03,1.9,0.07,3.59,34261650,67747002,83
2013-03-20,2.1,2.0,2.1,2.0,0.08,3.96,8038565,16576559,24
2013-03-24,2.0,2.0,2.0,2.0,-0.1,-4.76,1733679,3467358,10
2013-03-25,1.97,1.96,1.97,1.96,-0.03,-1.5,708848,1393366,3
2013-03-26,1.97,1.97,1.97,1.97,0.0,0.0,456300,898911,6
2013-03-31,1.85,1.85,1.85,1.85,-0.12,-6.09,218912,404987,3
2013-04-02,1.83,1.82,1.85,1.8,-0.02,-1.08,4986388,9127876,16
2013-04-03,1.83,1.83,1.85,1.83,0.0,0.0,5250000,9637500,13
2013-04-04,1.83,1.83,1.83,1.83,0.0,0.0,6451994,11807149,13
2013-04-07,1.82,1.83,1.83,1.82,-0.01,-0.55,707736,1293657,5
2013-04-08,1.82,1.82,1.82,1.82,0.0,0.0,2156812,3925398,7
2013-04-10,1.8,1.82,1.82,1.8,-0.02,-1.1,1907736,3450502,6
2013-04-15,1.8,1.8,1.8,1.8,0.0,0.0,40000,72000,1
2013-04-17,1.81,1.81,1.81,1.81,0.01,0.56,1047785,1896491,2
2013-04-23,1.8,1.8,1.8,1.8,-0.01,-0.55,200000,360000,1
2013-04-25,1.8,1.8,1.8,1.8,0.0,0.0,1250000,2250000,4
2013-04-28,1.8,1.8,1.8,1.8,0.0,0.0,425000,765000,2
2013-04-29,1.75,1.75,1.75,1.75,-0.05,-2.78,1663680,2911440,10
2013-04-30,1.71,1.72,1.72,1.7,-0.04,-2.29,4374485,7494244,16
2013-05-02,1.73,1.71,1.73,1.71,0.02,1.17,2482778,4263376,11
2013-05-05,1.72,1.73,1.73,1.72,-0.01,-0.58,2784843,4795930,7
2013-05-06,1.7,1.7,1.7,1.7,-0.02,-1.16,200000,340000,2
2013-05-07,1.72,1.7,1.72,1.7,0.02,1.18,1699191,2900608,6
2013-05-08,1.7,1.72,1.72,1.7,-0.02,-1.16,1299191,2218625,3
2013-05-09,1.69,1.72,1.73,1.69,-0.01,-0.59,4586471,7832753,16
2013-05-14,1.69,1.69,1.69,1.69,0.0,0.0,39000,65910,1
2013-05-16,1.7,1.7,1.7,1.69,0.01,0.59,6904413,11723946,16
2013-05-19,1.67,1.67,1.67,1.67,-0.03,-1.76,500000,835000,1
2013-05-20,1.67,1.67,1.67,1.67,0.0,0.0,250000,417500,1
2013-05-21,1.7,1.67,1.7,1.67,0.03,1.8,251321,427206,2
2013-05-28,1.68,1.68,1.68,1.68,-0.02,-1.18,1004541,1687629,2
2013-05-29,1.65,1.65,1.65,1.65,-0.03,-1.79,676549,1116306,3
2013-06-09,0.0,1.75,1.75,1.75,-1.65,-100.0,5090,8908,1
2013-06-16,1.65,1.65,1.65,1.65,1.65,inf,1250000,2062500,2
2013-06-18,1.65,1.65,1.65,1.65,0.0,0.0,55996,92393,1
2013-06-20,1.65,1.65,1.65,1.65,0.0,0.0,1157736,1910264,5
2013-06-23,1.7,1.7,1.7,1.7,0.05,3.03,500000,850000,2
2013-06-27,1.65,1.65,1.65,1.65,-0.05,-2.94,250000,412500,2
2013-06-30,1.65,1.65,1.65,1.65,0.0,0.0,150000,247500,1
2013-07-03,1.65,1.65,1.65,1.65,0.0,0.0,500000,825000,1
2013-07-04,1.66,1.66,1.66,1.66,0.01,0.61,50000,83000,1
2013-07-15,1.66,1.66,1.66,1.66,0.0,0.0,279864,464574,1
2013-07-17,1.65,1.65,1.65,1.65,-0.01,-0.6,36971,61002,3
2013-07-21,1.65,1.65,1.65,1.65,0.0,0.0,5282,8715,1
2013-08-04,1.55,1.65,1.65,1.55,-0.1,-6.06,500000,800000,3
2013-08-05,1.61,1.6,1.61,1.6,0.06,3.87,503000,807300,2
2013-08-13,1.6,1.61,1.61,1.6,-0.01,-0.62,5274410,8459056,9
2013-08-15,1.6,1.6,1.6,1.6,0.0,0.0,878914,1406262,3
2013-08-19,1.61,1.61,1.61,1.61,0.01,0.63,486603,783431,2
2013-09-11,1.61,1.61,1.61,1.61,0.0,0.0,250000,402500,1
2013-09-12,1.61,1.63,1.63,1.61,0.0,0.0,2421960,3901356,2
2013-10-22,1.55,1.55,1.55,1.55,-0.06,-3.73,200000,310000,1
2013-10-24,1.65,1.65,1.65,1.65,0.1,6.45,1265088,2087395,5
2013-10-28,1.65,1.65,1.65,1.65,0.0,0.0,381186,628957,1
2013-10-29,1.65,1.65,1.65,1.65,0.0,0.0,1571568,2593087,4
2013-10-31,1.65,1.65,1.65,1.65,0.0,0.0,152368,251407,1
2013-11-03,1.65,1.65,1.65,1.65,0.0,0.0,387500,639375,1
2013-11-07,1.63,1.65,1.65,1.61,-0.02,-1.21,12114500,19678344,8
2013-11-12,1.7,1.63,1.7,1.63,0.07,4.29,103255,175306,3
2013-11-18,1.64,1.7,1.7,1.64,-0.06,-3.53,135348,227574,9
2013-11-21,1.64,1.64,1.64,1.64,0.0,0.0,35000,57400,1
2013-12-08,1.6,1.6,1.6,1.6,-0.04,-2.44,500000,800000,2
2013-12-11,1.6,1.6,1.6,1.6,0.0,0.0,6986,11178,1
2013-12-18,1.6,1.6,1.6,1.6,0.0,0.0,86154,137846,2
