Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,3.0,2.5,2.5,2.5,,,472560,1181400,1
2011-12-07,2.3,2.3,2.3,2.25,-0.7,-23.33,1087500,2476250,3
2011-12-12,2.3,2.3,2.3,2.3,0.0,0.0,5089521,11705898,2
2011-12-13,2.3,2.3,2.3,2.3,0.0,0.0,75000,172500,1
2011-12-19,2.1,2.1,2.1,2.1,-0.2,-8.7,100000,210000,1
2012-01-08,2.1,2.1,2.1,2.1,0.0,0.0,797040,1673784,7
2012-01-09,2.1,2.1,2.1,2.1,0.0,0.0,200000,420000,2
2012-01-11,2.3,2.25,2.3,2.25,0.2,9.52,625000,1432500,7
2012-01-17,2.15,2.15,2.15,2.1,-0.15,-6.52,676812,1432613,10
2012-01-18,2.1,2.11,2.11,2.1,-0.05,-2.33,285318,599968,7
2012-01-25,2.1,2.1,2.1,2.1,0.0,0.0,120000,252000,1
2012-01-26,2.1,2.1,2.1,2.1,0.0,0.0,552051,1159307,2
2012-01-29,2.15,2.15,2.15,2.15,0.05,2.38,100000,215000,1
2012-01-31,2.18,2.18,2.18,2.18,0.03,1.4,786497,1714563,5
2012-02-08,2.3,2.3,2.3,2.3,0.12,5.5,100000,230000,1
2012-02-14,2.5,2.24,2.5,2.24,0.2,8.7,448800,1012812,6
2012-02-15,2.4,2.4,2.4,2.4,-0.1,-4.0,90000,216000,1
2012-02-19,2.2,2.3,2.3,2.2,-0.2,-8.33,1527539,3464886,12
2012-02-23,2.25,2.23,2.25,2.23,0.05,2.27,600000,1344000,3
2012-02-28,2.25,2.25,2.25,2.25,0.0,0.0,400000,900000,2
2012-03-01,2.21,2.2,2.21,2.2,-0.04,-1.78,427138,943704,2
2012-03-06,2.21,2.21,2.21,2.21,0.0,0.0,169688,375010,3
2012-03-13,2.21,2.21,2.21,2.21,0.0,0.0,341330,754339,3
2012-03-14,2.22,2.22,2.22,2.22,0.01,0.45,86400,191808,2
2012-03-19,2.33,2.33,2.33,2.33,0.11,4.95,45000,104850,2
2012-04-10,2.1,2.1,2.1,2.1,-0.23,-9.87,308725,648322,2
2012-04-11,2.05,2.0,2.05,2.0,-0.05,-2.38,650000,1307500,2
2012-04-15,2.0,2.0,2.0,2.0,-0.05,-2.44,42997,85994,1
2012-04-23,2.0,2.0,2.0,2.0,0.0,0.0,72000,144000,1
2012-05-02,1.9,2.0,2.0,1.9,-0.1,-5.0,764800,1473350,5
2012-05-08,1.9,1.9,1.9,1.9,0.0,0.0,112500,213750,1
2012-05-10,1.8,1.9,1.9,1.8,-0.1,-5.26,137500,250000,2
2012-05-14,1.8,1.8,1.8,1.8,0.0,0.0,200000,360000,1
2012-05-16,1.8,1.8,1.8,1.8,0.0,0.0,437500,787500,3
2012-05-22,1.8,1.8,1.8,1.8,0.0,0.0,95181,171326,1
2012-05-29,1.98,1.9,1.98,1.9,0.18,10.0,837995,1600190,5
2012-05-30,1.98,1.95,1.98,1.95,0.0,0.0,3000000,5895000,10
2012-06-11,1.9,1.9,1.9,1.9,-0.08,-4.04,55540,105526,1
2012-06-21,1.9,1.9,1.9,1.9,0.0,0.0,60917,115742,2
2012-07-24,1.91,1.91,1.91,1.91,0.01,0.53,100000,191000,1
2012-07-29,1.91,1.91,1.91,1.91,0.0,0.0,175000,334250,1
2012-08-01,1.91,1.91,1.91,1.91,0.0,0.0,968823,1850452,1
2012-08-05,1.91,1.91,1.91,1.91,0.0,0.0,1100000,2101000,2
2012-08-08,1.86,1.86,1.86,1.86,-0.05,-2.62,211493,393377,1
2012-08-15,1.7,1.7,1.7,1.7,-0.16,-8.6,500000,850000,6
2012-08-29,1.87,1.87,1.87,1.87,0.17,10.0,250000,467500,2
2012-08-30,1.87,1.87,1.87,1.87,0.0,0.0,100000,187000,1
2012-09-05,2.0,2.0,2.0,2.0,0.13,6.95,70725,141450,1
2012-09-11,2.05,2.0,2.06,2.0,0.05,2.5,1159770,2354040,7
2012-09-16,2.05,2.05,2.05,2.05,0.0,0.0,1174665,2408063,11
2012-09-17,2.1,2.05,2.1,2.05,0.05,2.44,200179,415376,2
2012-09-18,2.1,2.1,2.1,2.1,0.0,0.0,200000,420000,1
2012-09-19,2.0,2.0,2.0,2.0,-0.1,-4.76,350000,700000,3
