Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-06-01,0,2.1,2.1,2.1,0,0.00%,,5601758,
2010-06-02,0,2.1,2.1,2.1,0,0.00%,,1619176,
2010-06-03,0,2.1,2.1,2.1,0,0.00%,,153126,
2010-06-07,0,2.1,2.1,2.1,0,0.00%,,210000,
2010-06-08,0,2.1,2.1,2.1,0,0.00%,,150956,
2010-06-10,0,2.1,2.1,2.1,0,0.00%,,163466,
2010-06-14,0,2.06,2.1,1.98,0,0.00%,,19576497,
2010-06-15,0,2.04,2.04,2.03,0,0.00%,,8637500,
2010-06-20,0,2,2,1.95,0,0.00%,,17581546,
2010-06-21,0,1.93,1.93,1.9,0,0.00%,,4138312,
2010-06-24,0,1.93,1.93,1.93,0,0.00%,,3860000,
2010-06-27,0,1.88,1.88,1.74,0,0.00%,,14100000,
2010-06-28,0,1.75,1.79,1.75,0,0.00%,,2871600,
2010-06-29,0,1.8,1.8,1.8,0,0.00%,,2160000,
2010-06-30,0,1.8,1.82,1.8,0,0.00%,,5392848,
2010-07-04,0,1.82,1.82,1.8,0,0.00%,,5780000,
2010-07-05,0,1.77,1.85,1.75,0,0.00%,,21812500,
2010-07-06,0,1.87,1.87,1.85,0,0.00%,,12982500,
2010-07-07,0,1.88,1.88,1.86,0,0.00%,,4383000,
2010-07-11,0,1.88,1.9,1.87,0,0.00%,,12233428,
2010-07-12,0,1.9,1.9,1.9,0,0.00%,,532000,
2010-07-13,0,2,2.09,2,0,0.00%,,11324200,
2010-07-15,0,2.12,2.15,2.1,0,0.00%,,6739582,
2010-07-18,0,2.1,2.1,2.08,0,0.00%,,10690000,
2010-07-19,0,2.1,2.1,2,0,0.00%,,15101730,
2010-07-20,0,2,2,1.9,0,0.00%,,3440000,
2010-07-22,0,1.9,1.9,1.9,0,0.00%,,1805000,
2010-07-25,0,1.9,1.9,1.87,0,0.00%,,5163259,
2010-07-27,0,1.86,1.95,1.84,0,0.00%,,23113694,
2010-07-28,0,1.86,1.95,1.84,0,0.00%,,23113694,
2010-07-29,0,1.9,1.91,1.9,0,0.00%,,6415334,
2010-08-01,0,1.9,1.9,1.9,0,0.00%,,2850000,
2010-08-02,0,1.89,1.89,1.89,0,0.00%,,189000,
2010-08-03,0,1.88,1.88,1.87,0,0.00%,,4404086,
2010-08-04,0,1.85,1.85,1.85,0,0.00%,,1341250,
2010-08-05,0,1.85,1.85,1.83,0,0.00%,,2552300,
2010-08-18,0,1.83,1.83,1.83,0,0.00%,,1830000,
2010-08-19,0,1.85,1.85,1.83,0,0.00%,,16223543,
2010-08-22,0,1.85,1.85,1.82,0,0.00%,,35851750,
2010-09-14,0,1.82,1.82,1.82,0,0.00%,,1820000,
2010-09-15,0,1.81,1.83,1.81,0,0.00%,,1543099,
2010-09-16,0,1.83,1.84,1.83,0,0.00%,,10578437,
2010-09-21,0,1.75,1.76,1.75,0,0.00%,,3510000,
2010-09-23,0,1.76,1.78,1.76,0,0.00%,,10385860,
2010-09-26,0,1.77,1.77,1.77,0,0.00%,,4956000,
2010-09-27,0,1.8,1.9,1.8,0,0.00%,,11208000,
2010-09-28,0,1.9,1.94,1.9,0,0.00%,,26038200,
2010-09-29,0,1.94,1.94,1.9,0,0.00%,,7281500,
2010-09-30,0,1.88,1.88,1.85,0,0.00%,,3730000,
2010-10-04,0,1.82,1.82,1.82,0,0.00%,,3640000,
2010-10-05,0,1.85,1.87,1.85,0,0.00%,,12080000,
2010-10-06,0,1.87,1.88,1.87,0,0.00%,,2038730,
2010-10-07,0,1.9,1.94,1.9,0,0.00%,,24018244,
2010-10-10,0,1.95,1.95,1.93,0,0.00%,,5030000,
2010-10-11,0,1.94,1.94,1.92,0,0.00%,,17033000,
2010-10-12,0,1.94,1.96,1.94,0,0.00%,,15040171,
2010-10-13,0,1.93,1.94,1.93,0,0.00%,,15669488,
2010-10-14,0,1.94,1.94,1.93,0,0.00%,,7740700,
2010-10-17,0,1.95,2,1.95,0,0.00%,,50944508,
2010-10-18,0,2.09,2.15,2,0,0.00%,,23851957,
2010-10-19,0,2,2.01,1.99,0,0.00%,,19575040,
2010-10-20,0,2,2,2,0,0.00%,,3369176,
2010-10-21,0,2.01,2.01,2.01,0,0.00%,,1005000,
2010-10-24,0,2.05,2.05,2,0,0.00%,,46940367,
2010-10-25,0,2.04,2.04,2.04,0,0.00%,,102000,
2010-10-26,0,2.05,2.06,2.05,0,0.00%,,3076000,
2010-10-27,0,2.05,2.05,2.02,0,0.00%,,48245033,
2010-10-28,0,2.25,2.25,2.08,0,0.00%,,23670593,
2010-10-31,0,2.14,2.15,2.1,0,0.00%,,20150308,
2010-11-01,0,2.15,2.16,2.15,0,0.00%,,5385000,
2010-11-02,0,2.2,2.25,2.2,0,0.00%,,43542290,
2010-11-03,0,2.3,2.47,2.3,0,0.00%,,179247900,
2010-11-04,0,2.55,2.55,2.25,0,0.00%,,57347500,
2010-11-07,0,2.2,2.25,2.17,0,0.00%,,22306000,
2010-11-08,0,2.2,2.3,2.2,0,0.00%,,18581900,
2010-11-09,0,2.27,2.28,2.26,0,0.00%,,10719600,
2010-11-10,0,2.28,2.31,2.27,0,0.00%,,44266500,
2010-11-11,0,2.35,2.45,2.35,0,0.00%,,44588163,
2010-11-14,0,2.42,2.54,2.42,0,0.00%,,79587822,
2010-11-15,0,2.51,2.64,2.51,0,0.00%,,66651103,
