Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-01-11,0,3.35,3.78,3.35,0,0.00%,,29322912,15
2011-01-12,0,3.65,3.78,3.65,0,0.00%,,16331335,9
2011-01-13,0,3.51,3.51,3.5,0,0.00%,,1052500,2
2011-01-16,0,3.51,3.55,3.51,0,0.00%,,9751083,8
2011-01-17,0,3.53,3.54,3.53,0,0.00%,,77226011,7
2011-01-18,0,3.55,3.55,3.55,0,0.00%,,1065000,1
2011-01-19,0,3.65,3.74,3.61,0,0.00%,,3441585,8
2011-01-20,0,3.69,3.78,3.69,0,0.00%,,48098410,17
2011-01-24,0,3.81,3.82,3.81,0,0.00%,,16996000,6
2011-01-25,0,3.8,3.82,3.8,0,0.00%,,11991613,7
2011-01-26,0,3.8,3.82,3.8,0,0.00%,,5889482,5
2011-01-27,0,3.85,3.85,3.8,0,0.00%,,11851913,7
2011-02-01,0,3.8,3.8,3.8,0,0.00%,,2461359,6
2011-02-06,0,3.7,3.7,3.7,0,0.00%,,152351,1
2011-02-07,0,3.7,3.7,3.7,0,0.00%,,1245609,1
2011-02-08,0,3.7,3.8,3.7,0,0.00%,,2164485,5
2011-02-09,0,3.71,3.71,3.7,0,0.00%,,2221000,2
2011-02-10,0,3.72,3.76,3.72,0,0.00%,,7732230,4
2011-02-13,0,3.76,3.76,3.75,0,0.00%,,9213462,9
2011-02-14,0,3.8,4,3.8,0,0.00%,,20375164,17
2011-02-16,0,3.9,4.1,3.9,0,0.00%,,39785104,19
2011-02-17,0,4.1,4.1,3.9,0,0.00%,,1190000,4
2011-02-20,0,4.2,4.2,4.2,0,0.00%,,8400000,1
2011-02-21,0,4,4,4,0,0.00%,,1600000,1
2011-02-22,0,4,4,4,0,0.00%,,80000,2
2011-02-23,0,4,4.01,3.9,0,0.00%,,20724298,7
2011-02-24,0,3.84,3.85,3.84,0,0.00%,,5002000,5
2011-02-27,0,3.85,3.9,3.85,0,0.00%,,4731138,9
2011-02-28,0,3.9,3.97,3.9,0,0.00%,,24453216,11
2011-03-01,0,3.99,4.35,3.99,0,0.00%,,8737966,19
2011-03-02,0,4.35,4.35,3.93,0,0.00%,,29066395,9
2011-03-03,0,4,4.32,4,0,0.00%,,11763714,6
2011-03-06,0,4.3,4.3,4.3,0,0.00%,,430000,1
2011-03-07,0,4.3,4.3,4.3,0,0.00%,,2150000,6
2011-03-08,0,4.3,4.3,4.3,0,0.00%,,860000,4
2011-03-10,0,4.02,4.02,4,0,0.00%,,4804000,5
2011-03-13,0,4,4.1,4,0,0.00%,,6971016,11
2011-03-14,0,4.2,4.2,4.15,0,0.00%,,9923897,11
2011-03-15,0,4.15,4.16,4.15,0,0.00%,,12005002,15
2011-03-16,0,4.15,4.15,4.06,0,0.00%,,37811495,26
2011-03-17,0,4.23,4.25,4.15,0,0.00%,,25813418,22
2011-10-25,0,2.75,3.35,2.5,0,0.00%,,275758212,175
2011-10-26,0,3,3.35,2.93,0,0.00%,,274262722,187
2011-10-27,0,2.93,2.93,2.64,0,0.00%,,48267443,57
2011-10-30,0,2.81,3,2.8,0,0.00%,,119627258,81
2011-10-31,0,2.85,2.91,2.81,0,0.00%,,67258286,40
2011-11-01,0,2.81,2.9,2.6,0,0.00%,,67559685,52
2011-11-02,0,2.8,2.8,2.62,0,0.00%,,82759204,65
2011-11-03,0,2.73,2.79,2.72,0,0.00%,,34224758,51
2011-11-13,0,2.7,2.72,2.7,0,0.00%,,36631319,28
2011-11-14,0,2.7,2.9,2.7,0,0.00%,,52317309,32
2011-11-15,0,2.71,2.71,2.6,0,0.00%,,24490989,20
2011-11-16,0,2.6,2.6,2.4,0,0.00%,,26060857,34
2011-11-17,0,2.6,2.66,2.6,0,0.00%,,24279531,30
2011-11-20,0,2.71,2.71,2.67,0,0.00%,,3214500,9
2011-11-21,0,2.7,2.75,2.7,0,0.00%,,23028814,26
2011-11-22,0,2.7,2.7,2.64,0,0.00%,,12709479,11
2011-11-23,0,2.64,2.66,2.61,0,0.00%,,14403463,10
2011-11-24,0,2.67,2.67,2.63,0,0.00%,,1966522,12
2011-11-28,0,2.65,2.65,2.65,0,0.00%,,832580,3
2011-11-29,0,2.65,2.7,2.65,0,0.00%,,16063340,35
2011-11-30,0,2.68,2.68,2.66,0,0.00%,,10233461,11
2011-12-01,3,2.76,2.92,2.76,3,0.00%,,185701236,70
2011-12-04,3,3.12,3.2,2.99,0,0.00%,,128849189,82
2011-12-05,3.14,3.12,3.24,3,0.14,4.67%,,116528480,78
2011-12-07,2.9,3.1,3.13,2.85,-0.24,-7.64%,,119826455,77
2011-12-08,2.88,3.08,3.08,2.83,-0.02,-0.69%,,40038700,33
2011-12-11,2.93,2.95,2.95,2.85,0.05,1.74%,,20394448,28
2011-12-12,2.9,2.94,2.94,2.9,-0.03,-1.02%,,25971659,33
2011-12-13,2.9,2.9,3.1,2.89,0,0.00%,,250407990,38
2011-12-14,2.84,2.85,2.85,2.81,-0.06,-2.07%,,16223794,4
2011-12-15,2.89,2.9,2.9,2.85,0.05,1.76%,,35655696,22
