Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,1.1,1.1,1.1,0,0.00%,,1577800,4
2010-01-07,0,1.1,1.15,1.1,0,0.00%,,107919,2
2010-01-10,0,1.15,1.15,1.15,0,0.00%,,575000,2
2010-01-14,0,1.1,1.1,1.1,0,0.00%,,220000,2
2010-01-20,0,1.01,1.02,1.01,0,0.00%,,127559,4
2010-01-28,0,1,1,0.96,0,0.00%,,719996,2
2010-02-10,0,1.05,1.05,1.02,0,0.00%,,2302500,2
2010-02-11,0,1.02,1.02,1.01,0,0.00%,,210503,2
2010-02-16,0,1.02,1.02,1.01,0,0.00%,,422240,2
2010-02-17,0,0.99,0.99,0.99,0,0.00%,,220006,1
2010-02-18,0,1,1,0.97,0,0.00%,,5050000,5
2010-02-21,0,0.95,0.95,0.95,0,0.00%,,1900000,2
2010-02-22,0,0.9,0.9,0.9,0,0.00%,,2488802,7
2010-02-23,0,0.9,0.9,0.9,0,0.00%,,13283197,21
2010-02-25,0,0.89,0.89,0.89,0,0.00%,,222500,1
2010-02-28,0,0.89,0.89,0.89,0,0.00%,,4823800,4
2010-03-01,0,0.9,0.9,0.9,0,0.00%,,3240000,4
2010-03-02,0,0.9,0.93,0.9,0,0.00%,,4221454,4
2010-03-03,0,0.95,0.98,0.9,0,0.00%,,15071000,16
2010-03-09,0,0.96,0.97,0.96,0,0.00%,,2503500,10
2010-03-10,0,0.97,0.97,0.97,0,0.00%,,4365000,4
2010-03-11,0,0.94,0.94,0.93,0,0.00%,,1078062,3
2010-03-14,0,0.93,0.93,0.93,0,0.00%,,1016122,2
2010-03-16,0,0.93,0.94,0.93,0,0.00%,,3437982,6
2010-03-17,0,0.93,0.93,0.93,0,0.00%,,8099753,6
2010-03-18,0,0.93,0.93,0.93,0,0.00%,,139496,1
2010-03-22,0,0.92,0.92,0.92,0,0.00%,,1840000,1
2010-03-23,0,0.92,0.92,0.9,0,0.00%,,4748894,9
2010-03-24,0,0.91,0.91,0.91,0,0.00%,,1820000,1
2010-03-25,0,0.9,0.9,0.9,0,0.00%,,900000,3
2010-03-30,0,0.9,0.9,0.9,0,0.00%,,540000,1
2010-03-31,0,0.89,0.89,0.85,0,0.00%,,4281000,7
2010-04-01,0,0.9,0.9,0.9,0,0.00%,,180000,1
2010-04-04,0,0.88,0.88,0.85,0,0.00%,,10341050,12
2010-04-05,0,0.85,0.85,0.85,0,0.00%,,538529,5
2010-04-06,0,0.84,0.84,0.84,0,0.00%,,840000,1
2010-04-07,0,0.83,0.84,0.83,0,0.00%,,791000,3
2010-04-08,0,0.83,0.83,0.83,0,0.00%,,5571096,4
2010-04-13,0,0.83,0.83,0.83,0,0.00%,,830000,1
2010-04-14,0,0.84,0.84,0.83,0,0.00%,,833239,2
2010-04-15,0,0.83,0.83,0.83,0,0.00%,,4150000,2
2010-04-18,0,0.83,0.83,0.8,0,0.00%,,10893090,12
2010-04-19,0,0.8,0.81,0.8,0,0.00%,,8627000,7
2010-04-20,0,0.81,0.82,0.81,0,0.00%,,3448916,6
2010-04-21,0,0.82,0.82,0.82,0,0.00%,,41000,1
2010-04-22,0,0.82,0.82,0.82,0,0.00%,,2050000,1
2010-04-25,0,0.82,0.82,0.82,0,0.00%,,848792,2
2010-04-26,0,0.82,0.82,0.82,0,0.00%,,820000,1
2010-04-28,0,0.82,0.82,0.82,0,0.00%,,1640000,2
2010-04-29,0,0.82,0.82,0.81,0,0.00%,,407500,3
2010-05-02,0,0.84,0.85,0.84,0,0.00%,,1527000,3
2010-05-03,0,0.85,0.87,0.85,0,0.00%,,4459866,5
2010-05-04,0,0.85,0.85,0.85,0,0.00%,,807500,2
2010-05-05,0,0.85,0.85,0.84,0,0.00%,,777823,2
2010-05-09,0,0.84,0.84,0.83,0,0.00%,,1250000,3
2010-05-10,0,0.82,0.82,0.82,0,0.00%,,1722000,3
2010-05-13,0,0.82,0.83,0.82,0,0.00%,,165000,2
2010-05-16,0,0.84,0.85,0.84,0,0.00%,,1350000,2
2010-05-17,0,0.85,0.93,0.85,0,0.00%,,9166063,17
2010-05-18,0,0.92,0.99,0.91,0,0.00%,,22981116,29
2010-05-19,0,1.08,1.08,1.08,0,0.00%,,1620000,1
2010-05-20,0,1.18,1.18,0.98,0,0.00%,,20793140,41
2010-05-23,0,0.9,0.9,0.89,0,0.00%,,5805000,3
2010-05-24,0,0.9,0.97,0.9,0,0.00%,,17837295,25
2010-05-25,0,1.05,1.06,1.02,0,0.00%,,34642435,59
2010-05-26,0,1.01,1.13,1.01,0,0.00%,,24285100,21
