Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-07,0,4.25,4.5,4.25,0,0.00%,,8471174,7
2010-01-11,0,4.25,4.25,4.2,0,0.00%,,2614353,3
2010-01-13,0,4.2,4.8,4.2,0,0.00%,,23731819,9
2010-01-14,0,4.75,4.8,4.5,0,0.00%,,2379452,4
2010-01-17,0,4.4,4.4,4.36,0,0.00%,,1353844,2
2010-01-18,0,4.25,4.25,4.25,0,0.00%,,212500,1
2010-01-19,0,4.25,4.35,4.25,0,0.00%,,2617042,4
2010-01-20,0,4.4,4.4,4.25,0,0.00%,,6981456,6
2010-01-24,0,4.25,4.36,4.25,0,0.00%,,1400574,4
2010-01-25,0,4.25,4.25,4.25,0,0.00%,,1275000,1
2010-01-27,0,4,4,4,0,0.00%,,40000,1
2010-01-28,0,3.5,3.5,3.5,0,0.00%,,1060154,1
2010-02-01,0,3.8,4,3.8,0,0.00%,,3446290,3
2010-02-02,0,4.1,4.1,4.1,0,0.00%,,820000,1
2010-02-03,0,4,4,4,0,0.00%,,200000,1
2010-02-07,0,4,4.1,4,0,0.00%,,5679744,3
2010-02-08,0,3.77,3.77,3.75,0,0.00%,,6198500,4
2010-02-10,0,3.6,3.95,3.6,0,0.00%,,73535646,29
2010-02-11,0,3.7,3.8,3.5,0,0.00%,,61557109,18
2010-02-14,0,3.7,3.7,3.6,0,0.00%,,13572000,3
2010-02-15,0,3.5,3.6,3.4,0,0.00%,,81798799,16
2010-02-16,0,3.65,3.65,3.59,0,0.00%,,35850566,11
2010-02-17,0,3.61,3.61,3.61,0,0.00%,,1687549,1
2010-02-18,0,3.61,3.65,3.5,0,0.00%,,43951760,12
2010-02-21,0,3.55,3.55,3.54,0,0.00%,,7085000,2
2010-02-22,0,3.6,3.6,3.51,0,0.00%,,18493686,7
2010-02-23,0,3.51,3.51,3.51,0,0.00%,,1910879,2
2010-02-24,0,3.53,3.53,3.4,0,0.00%,,59856770,26
2010-02-25,0,3.38,3.4,3.3,0,0.00%,,4105000,3
2010-02-28,0,3.31,3.31,3.31,0,0.00%,,3310000,1
2010-03-01,0,3.36,3.36,3.35,0,0.00%,,13932500,3
2010-03-02,0,3.5,3.5,3.5,0,0.00%,,12009375,6
2010-03-03,0,3.6,3.65,3.6,0,0.00%,,2710000,5
2010-03-10,0,3.6,3.6,3.5,0,0.00%,,4475000,2
2010-03-11,0,3.5,3.5,3.5,0,0.00%,,875000,1
2010-03-14,0,3.45,3.45,3.36,0,0.00%,,11315553,7
2010-03-15,0,3.4,3.4,3.1,0,0.00%,,61606032,32
2010-03-16,0,3.2,3.2,3.1,0,0.00%,,10841415,19
2010-03-17,0,3.1,3.18,3.1,0,0.00%,,44270000,6
2010-03-18,0,3.1,3.3,3.1,0,0.00%,,42685887,19
2010-03-22,0,3.21,3.21,3.2,0,0.00%,,4484000,3
2010-03-23,0,3.2,3.2,3.15,0,0.00%,,6808593,6
2010-03-25,0,3,3.05,3,0,0.00%,,1534922,7
2010-03-29,0,2.99,3.05,2.97,0,0.00%,,6779325,11
2010-03-30,0,2.93,2.93,2.93,0,0.00%,,146500,1
2010-03-31,0,2.9,2.9,2.78,0,0.00%,,90143111,35
2010-04-01,0,2.8,2.88,2.75,0,0.00%,,98011200,40
2010-04-04,0,2.82,2.82,2.78,0,0.00%,,39350700,14
2010-04-05,0,2.75,2.75,2.75,0,0.00%,,3575000,5
2010-04-07,0,2.75,2.78,2.75,0,0.00%,,3514632,4
2010-04-08,0,2.75,2.75,2.75,0,0.00%,,4507266,3
2010-04-12,0,2.8,2.8,2.76,0,0.00%,,2492000,3
2010-04-13,0,2.8,2.84,2.8,0,0.00%,,6254083,3
2010-04-14,0,2.85,2.85,2.85,0,0.00%,,36645,1
2010-04-15,0,2.9,3.1,2.9,0,0.00%,,10781270,13
2010-04-18,0,2.9,2.9,2.85,0,0.00%,,6891883,4
2010-04-19,0,2.85,2.86,2.85,0,0.00%,,4221226,2
2010-04-20,0,2.88,2.95,2.88,0,0.00%,,13667624,8
2010-04-21,0,3,3.05,3,0,0.00%,,15846631,11
2010-04-22,0,3.05,3.06,3.02,0,0.00%,,16147500,11
2010-04-25,0,3,3,2.95,0,0.00%,,17225000,3
2010-04-27,0,2.9,2.9,2.82,0,0.00%,,4969000,4
2010-04-29,0,2.85,2.9,2.85,0,0.00%,,46853413,15
2010-05-02,0,2.94,2.95,2.94,0,0.00%,,4420000,2
2010-05-04,0,2.91,2.91,2.91,0,0.00%,,1455000,2
2010-05-06,0,2.89,2.91,2.89,0,0.00%,,10991057,6
2010-05-09,0,2.9,2.9,2.9,0,0.00%,,290000,1
2010-05-10,0,2.9,2.9,2.9,0,0.00%,,15660000,8
2010-05-12,0,2.9,2.9,2.9,0,0.00%,,930706,3
2010-05-13,0,2.9,2.9,2.9,0,0.00%,,1957500,2
2010-05-16,0,2.96,2.96,2.91,0,0.00%,,4585500,2
2010-05-17,0,2.92,2.95,2.92,0,0.00%,,9119573,5
2010-05-18,0,3,3.1,3,0,0.00%,,10492524,4
2010-05-19,0,3,3,3,0,0.00%,,300000,1
2010-05-20,0,3.01,3.08,3.01,0,0.00%,,7621000,5
2010-05-23,0,2.98,2.98,2.98,0,0.00%,,298000,1
2010-05-25,0,2.97,2.97,2.96,0,0.00%,,6589000,3
2010-05-26,0,3,3,2.99,0,0.00%,,10700106,6
2010-05-27,0,3.1,3.1,3,0,0.00%,,6084666,5
2010-05-30,0,2.98,2.98,2.98,0,0.00%,,2980000,2
2010-05-31,0,2.98,2.98,2.98,0,0.00%,,4343854,3
2010-06-03,0,2.96,2.96,2.96,0,0.00%,,2072000,3
2010-06-06,0,2.98,2.98,2.95,0,0.00%,,1577602,3
2010-06-07,0,3,3,3,0,0.00%,,59337,1
2010-06-08,0,3,3,2.95,0,0.00%,,23034993,12
2010-06-09,0,2.98,2.98,2.96,0,0.00%,,1682640,3
2010-06-10,0,2.98,2.98,2.95,0,0.00%,,3021114,5
2010-06-13,0,2.96,2.96,2.96,0,0.00%,,1547435,3
2010-06-14,0,2.96,2.96,2.96,0,0.00%,,296000,1
2010-06-15,0,2.95,2.95,2.9,0,0.00%,,18477106,3
2010-06-17,0,2.85,2.85,2.8,0,0.00%,,1488000,3
2010-06-20,0,2.8,2.8,2.7,0,0.00%,,4713210,6
2010-06-21,0,2.63,2.67,2.63,0,0.00%,,901298,2
2010-06-22,0,2.71,2.75,2.71,0,0.00%,,19956664,7
2010-06-27,0,2.75,2.75,2.75,0,0.00%,,25310183,4
2010-06-28,0,2.7,2.74,2.7,0,0.00%,,2049430,7
2010-06-30,0,2.74,2.74,2.7,0,0.00%,,2656188,2
2010-07-01,0,2.65,2.65,2.65,0,0.00%,,5300000,3
2010-07-05,0,2.55,2.55,2.55,0,0.00%,,24547203,9
2010-07-06,0,2.65,2.65,2.52,0,0.00%,,10167308,8
2010-07-12,0,2.6,2.65,2.6,0,0.00%,,756151,4
2010-07-13,0,2.65,2.85,2.65,0,0.00%,,12238500,7
2010-07-15,0,2.75,2.8,2.75,0,0.00%,,4769038,4
2010-07-20,0,2.7,2.7,2.67,0,0.00%,,2364611,3
2010-07-22,0,2.7,2.7,2.69,0,0.00%,,3372500,2
2010-07-25,0,2.69,2.69,2.69,0,0.00%,,672500,3
2010-07-27,0,2.69,2.69,2.63,0,0.00%,,5302848,4
2010-07-28,0,2.69,2.69,2.63,0,0.00%,,5302848,4
2010-07-29,0,2.62,2.62,2.6,0,0.00%,,4955115,6
2010-08-01,0,2.6,2.6,2.6,0,0.00%,,5380788,2
2010-08-02,0,2.55,2.55,2.48,0,0.00%,,20058118,9
2010-08-03,0,2.5,2.5,2.48,0,0.00%,,5925949,10
2010-08-04,0,2.48,2.48,2.48,0,0.00%,,1122822,4
2010-08-05,0,2.49,2.49,2.45,0,0.00%,,3945000,5
2010-08-08,0,2.45,2.5,2.45,0,0.00%,,10172572,5
2010-08-10,0,2.49,2.49,2.49,0,0.00%,,249000,1
2010-08-11,0,2.47,2.47,2.45,0,0.00%,,2547261,2
2010-08-12,0,2.52,2.55,2.5,0,0.00%,,8675216,10
2010-09-05,0,2.3,2.3,2.3,0,0.00%,,575000,2
2010-09-06,0,2.3,2.3,2.3,0,0.00%,,230000,1
2010-09-07,0,2.3,2.41,2.3,0,0.00%,,1693576,9
2010-09-08,0,2.5,2.55,2.5,0,0.00%,,645752,2
2010-09-15,0,2.55,2.55,2.55,0,0.00%,,2908606,5
2010-09-16,0,2.55,2.55,2.55,0,0.00%,,510000,1
2010-09-21,0,2.4,2.4,2.4,0,0.00%,,977827,2
2010-09-22,0,2.4,2.4,2.31,0,0.00%,,591000,3
2010-09-23,0,2.33,2.53,2.33,0,0.00%,,4933000,3
2010-09-28,0,2.53,2.55,2.53,0,0.00%,,784933,2
2010-09-29,0,2.55,2.55,2.55,0,0.00%,,8348858,4
2010-10-03,0,2.55,2.55,2.55,0,0.00%,,5365368,5
2010-10-05,0,2.55,2.66,2.55,0,0.00%,,7122803,11
2010-10-06,0,2.66,2.66,2.66,0,0.00%,,18449760,14
2010-10-07,0,2.67,2.82,2.67,0,0.00%,,15677348,26
2010-10-10,0,2.94,2.95,2.9,0,0.00%,,10956500,6
2010-10-11,0,2.95,2.95,2.9,0,0.00%,,12242510,10
2010-10-12,0,2.91,2.92,2.91,0,0.00%,,15722529,19
2010-10-13,0,2.92,2.92,2.9,0,0.00%,,18084000,8
2010-10-14,0,2.9,3.01,2.9,0,0.00%,,51151271,31
2010-10-17,0,3.15,3.3,3.15,0,0.00%,,47987634,39
2010-10-18,0,3.35,3.35,3.1,0,0.00%,,22605500,12
2010-10-19,0,3.2,3.2,3.1,0,0.00%,,41747687,9
2010-10-20,0,3.22,3.22,3.2,0,0.00%,,26150338,5
2010-10-21,0,3.45,3.45,3.25,0,0.00%,,9629378,11
2010-10-24,0,3.3,3.3,3.3,0,0.00%,,3024450,2
2010-10-25,0,3.29,3.29,3.28,0,0.00%,,10449528,8
2010-10-26,0,3.35,3.45,3.35,0,0.00%,,12172923,12
2010-10-27,0,3.36,3.55,3.36,0,0.00%,,29349439,14
2010-10-28,0,3.5,3.56,3.46,0,0.00%,,18915000,9
2010-10-31,0,3.5,3.54,3.5,0,0.00%,,34470188,14
2010-11-01,0,3.5,3.57,3.5,0,0.00%,,16285981,4
2010-11-02,0,3.55,3.6,3.55,0,0.00%,,34246516,12
2010-11-03,0,3.74,3.82,3.66,0,0.00%,,21276500,16
2010-11-04,0,3.75,3.75,3.5,0,0.00%,,15190000,7
