Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-11,0,2.6,4.25,2.5,0,0.00%,,9468278,15
2010-01-13,0,3.99,3.99,3.2,0,0.00%,,25772894,17
2010-01-14,0,3.4,3.4,3.4,0,0.00%,,12575444,14
2010-01-17,0,3.22,3.22,3.22,0,0.00%,,966000,1
2010-01-18,0,3.3,3.5,3.25,0,0.00%,,1260500,3
2010-01-19,0,4,4,3.35,0,0.00%,,2470285,8
2010-01-20,0,3.32,3.4,3.31,0,0.00%,,4160125,8
2010-01-21,0,3.16,3.2,3.16,0,0.00%,,2062649,3
2010-01-24,0,3.1,3.18,3.06,0,0.00%,,9101476,16
2010-01-25,0,2.9,2.9,2.9,0,0.00%,,43909,5
2010-01-28,0,3,3,3,0,0.00%,,1526847,4
2010-01-31,0,2.72,3.01,2.72,0,0.00%,,10663152,10
2010-02-01,0,3,3.1,3,0,0.00%,,6611446,12
2010-02-02,0,3.12,3.12,3.12,0,0.00%,,442160,1
2010-02-04,0,3.1,3.11,3,0,0.00%,,8772354,12
2010-02-07,0,3.1,3.1,3.1,0,0.00%,,390646,3
2010-02-08,0,3.11,3.14,3.11,0,0.00%,,1875000,2
2010-02-09,0,3.11,3.11,3.11,0,0.00%,,1555000,1
2010-02-10,0,3.1,3.1,3.05,0,0.00%,,2470000,4
2010-02-11,0,3.01,3.01,2.95,0,0.00%,,3735000,5
2010-02-15,0,3.05,3.05,3,0,0.00%,,2808646,6
2010-02-16,0,2.8,3,2.8,0,0.00%,,1122347,4
2010-02-17,0,3,3,3,0,0.00%,,750000,1
2010-02-18,0,2.99,3,2.96,0,0.00%,,4452212,8
2010-02-21,0,2.9,2.9,2.9,0,0.00%,,1189435,3
2010-02-22,0,2.9,2.9,2.9,0,0.00%,,1560017,3
2010-02-24,0,2.85,2.85,2.84,0,0.00%,,2592815,4
2010-02-25,0,2.82,2.82,2.8,0,0.00%,,2665000,4
2010-02-28,0,2.8,2.8,2.8,0,0.00%,,840000,2
2010-03-01,0,2.8,2.81,2.8,0,0.00%,,739899,2
2010-03-03,0,2.92,2.95,2.9,0,0.00%,,1902000,7
2010-03-10,0,2.88,2.95,2.86,0,0.00%,,4447038,6
2010-03-11,0,2.95,2.95,2.95,0,0.00%,,3422000,2
2010-03-15,0,2.9,2.9,2.81,0,0.00%,,5275294,2
2010-03-16,0,2.81,2.93,2.8,0,0.00%,,2343149,10
2010-03-22,0,2.8,2.8,2.8,0,0.00%,,980000,2
2010-03-23,0,2.75,2.75,2.75,0,0.00%,,475717,3
2010-03-24,0,2.71,2.71,2.7,0,0.00%,,2704000,4
2010-03-30,0,2.71,2.71,2.71,0,0.00%,,916018,4
2010-03-31,0,2.7,2.7,2.67,0,0.00%,,7360309,4
2010-04-01,0,2.7,2.71,2.7,0,0.00%,,6332084,9
2010-04-04,0,2.75,2.75,2.75,0,0.00%,,1375000,2
2010-04-05,0,2.75,2.75,2.75,0,0.00%,,962500,7
2010-04-06,0,2.7,2.7,2.7,0,0.00%,,270000,1
2010-04-08,0,2.7,2.7,2.7,0,0.00%,,270000,1
2010-04-11,0,2.66,2.66,2.66,0,0.00%,,4470891,4
2010-04-12,0,2.64,2.68,2.64,0,0.00%,,437812,2
2010-04-13,0,2.65,2.66,2.65,0,0.00%,,3160108,2
2010-04-15,0,2.7,2.7,2.7,0,0.00%,,3171755,2
2010-04-18,0,2.5,2.5,2.5,0,0.00%,,873625,1
2010-04-19,0,2.53,2.7,2.53,0,0.00%,,135089,3
2010-04-20,0,2.75,2.75,2.75,0,0.00%,,1100000,2
2010-04-25,0,2.7,2.7,2.7,0,0.00%,,270000,1
2010-05-04,0,2.7,2.7,2.7,0,0.00%,,85757,2
2010-05-10,0,2.7,2.7,2.68,0,0.00%,,966000,3
2010-05-18,0,2.69,2.7,2.69,0,0.00%,,1023815,3
2010-05-19,0,2.8,2.8,2.8,0,0.00%,,4149762,6
2010-05-20,0,2.75,2.75,2.75,0,0.00%,,276518,1
2010-05-25,0,2.75,2.75,2.6,0,0.00%,,1543750,4
2010-05-26,0,2.65,2.65,2.64,0,0.00%,,925000,2
2010-05-27,0,2.65,2.65,2.65,0,0.00%,,1590000,2
2010-06-01,0,2.65,2.65,2.65,0,0.00%,,3501646,5
2010-06-02,0,2.65,2.65,2.64,0,0.00%,,1587500,4
2010-06-03,0,2.65,2.7,2.65,0,0.00%,,2675671,6
2010-06-07,0,2.7,2.7,2.7,0,0.00%,,945000,2
2010-06-13,0,2.7,2.7,2.7,0,0.00%,,431903,1
2010-06-15,0,2.7,2.7,2.7,0,0.00%,,493760,2
2010-06-16,0,2.6,2.6,2.6,0,0.00%,,260000,1
2010-06-17,0,2.6,2.6,2.6,0,0.00%,,1170000,2
2010-06-20,0,2.5,2.5,2.5,0,0.00%,,158392,1
2010-06-21,0,2.4,2.4,2.4,0,0.00%,,840000,2
2010-06-22,0,2.35,2.35,2.35,0,0.00%,,1410000,2
2010-06-23,0,2.35,2.4,2.35,0,0.00%,,3081126,5
2010-06-24,0,2.5,2.5,2.5,0,0.00%,,522698,1
2010-06-27,0,2.43,2.45,2.43,0,0.00%,,2780990,3
2010-06-29,0,2.5,2.5,2.5,0,0.00%,,2502605,2
2010-06-30,0,2.5,2.5,2.5,0,0.00%,,875000,2
2010-07-05,0,2.4,2.4,2.4,0,0.00%,,2643948,6
2010-07-06,0,2.35,2.35,2.3,0,0.00%,,977472,5
2010-07-11,0,2.3,2.3,2.25,0,0.00%,,8052500,15
2010-07-12,0,2.25,2.25,2.25,0,0.00%,,4642553,2
2010-07-13,0,2.25,2.25,2.25,0,0.00%,,1350000,2
2010-07-15,0,2.25,2.25,2.25,0,0.00%,,2137500,1
2010-07-19,0,2.1,2.13,2.1,0,0.00%,,470642,2
2010-07-27,0,2.13,2.13,2.13,0,0.00%,,546935,3
2010-07-28,0,2.13,2.13,2.13,0,0.00%,,546935,3
2010-07-29,0,2.15,2.15,2.13,0,0.00%,,11766657,12
2010-08-01,0,2.15,2.15,2.15,0,0.00%,,2901788,3
2010-08-04,0,2.15,2.15,2.15,0,0.00%,,215000,1
2010-08-05,0,2.2,2.25,2.2,0,0.00%,,495954,3
2010-08-09,0,2.23,2.23,2.23,0,0.00%,,669000,1
2010-08-10,0,2.23,2.23,2.23,0,0.00%,,428410,3
2010-08-17,0,2.25,2.45,2.25,0,0.00%,,2275215,5
2010-08-18,0,2.68,2.69,2.55,0,0.00%,,17848500,23
2010-08-19,0,2.65,2.75,2.65,0,0.00%,,17991718,32
2010-08-24,0,2.65,2.65,2.65,0,0.00%,,265000,1
2010-08-25,0,2.65,2.65,2.65,0,0.00%,,662500,1
2010-08-31,0,2.65,2.65,2.6,0,0.00%,,3827354,3
2010-09-02,0,2.55,2.55,2.55,0,0.00%,,1445304,2
2010-09-05,0,2.55,2.55,2.55,0,0.00%,,168300,2
2010-09-06,0,2.55,2.55,2.55,0,0.00%,,2530248,4
2010-09-07,0,2.65,2.69,2.65,0,0.00%,,1729500,6
2010-09-08,0,2.69,2.69,2.4,0,0.00%,,17217571,17
2011-01-09,0,2,2,2,0,0.00%,,20000,1
2011-01-10,0,2.2,2.2,2.2,0,0.00%,,22000,1
2011-01-11,0,2.42,2.42,2.42,0,0.00%,,14389,1
2011-01-12,0,2.66,2.66,2.66,0,0.00%,,23088074,14
2011-01-13,0,2.92,2.92,2.92,0,0.00%,,854047,4
2011-01-16,0,3.21,3.21,3.21,0,0.00%,,240692,1
2011-01-17,0,3.53,3.53,3.53,0,0.00%,,8452998,11
2011-01-18,0,3.88,3.88,3.2,0,0.00%,,67452642,54
2011-01-19,0,3.3,3.44,3.23,0,0.00%,,21640302,20
2011-01-20,0,3.5,3.5,3.44,0,0.00%,,17967148,33
2011-01-23,0,3.48,3.5,3.46,0,0.00%,,15097517,13
2011-01-24,0,3.48,3.5,3.48,0,0.00%,,3576143,4
2011-01-25,0,3.4,3.4,3.4,0,0.00%,,3400000,1
2011-01-26,0,3.5,3.5,3.5,0,0.00%,,350000,1
2011-01-27,0,3.4,3.4,3.4,0,0.00%,,6800000,1
2011-01-30,0,3.3,3.3,3.3,0,0.00%,,5775000,3
2011-01-31,0,3.2,3.3,3.2,0,0.00%,,31812365,10
2011-02-01,0,3.25,3.25,3.24,0,0.00%,,5792184,4
2011-02-02,0,3.25,3.25,3.25,0,0.00%,,5442430,2
2011-02-03,0,3.25,3.25,3.25,0,0.00%,,4069,1
2011-02-06,0,3.15,3.4,3.15,0,0.00%,,5715000,6
2011-02-07,0,3.25,3.25,3.25,0,0.00%,,650000,1
2011-02-08,0,3.15,3.15,3.15,0,0.00%,,1890000,2
2011-02-09,0,3.2,3.2,3.2,0,0.00%,,12160000,5
2011-02-13,0,3.1,3.18,3.1,0,0.00%,,4214929,12
2011-02-14,0,3.13,3.19,3.13,0,0.00%,,2111180,5
2011-02-16,0,3.1,3.1,3.1,0,0.00%,,2170000,2
2011-02-17,0,3.1,3.1,3,0,0.00%,,4999746,6
2011-02-20,0,3,3.04,3,0,0.00%,,2030497,3
2011-02-21,0,3.1,3.1,3.1,0,0.00%,,10462500,10
2011-02-22,0,3.1,3.1,3.1,0,0.00%,,26052704,4
2011-02-23,0,3.12,3.12,3.12,0,0.00%,,780000,1
2011-03-01,0,3.25,3.25,3.25,0,0.00%,,357500,2
2011-03-02,0,3.3,3.3,3.1,0,0.00%,,1084809,5
2011-03-03,0,3.1,3.1,3.1,0,0.00%,,31000,2
2011-03-06,0,3.1,3.2,3.1,0,0.00%,,810999,2
2011-03-10,0,3.18,3.2,3.18,0,0.00%,,6390400,3
2011-03-17,0,3.1,3.2,3.1,0,0.00%,,2601947,3
2011-03-22,0,3,3,3,0,0.00%,,30000,1
2011-03-23,0,3.05,3.1,3.05,0,0.00%,,278060,2
2011-03-24,0,3.1,3.1,3.1,0,0.00%,,775000,1
2011-03-28,0,3.1,3.1,3.1,0,0.00%,,1482321,2
2011-03-29,0,3.1,3.1,3.1,0,0.00%,,59384,1
2011-03-30,0,3.12,3.25,3.12,0,0.00%,,7510122,11
2011-04-04,0,3.2,3.2,3.2,0,0.00%,,4512000,7
2011-04-05,0,3.19,3.19,3.19,0,0.00%,,144210,1
2011-04-06,0,3.2,3.2,3.15,0,0.00%,,8700000,3
2011-04-11,0,3.1,3.1,3.1,0,0.00%,,468022,3
2011-04-12,0,3.1,3.2,3.1,0,0.00%,,3636635,4
2011-04-14,0,3.25,3.25,3.25,0,0.00%,,425194,1
2011-04-20,0,3.4,3.5,3.4,0,0.00%,,3771608,3
2011-04-25,0,3.5,3.5,3.5,0,0.00%,,4756776,7
2011-04-26,0,3.45,3.46,3.45,0,0.00%,,1948101,8
2011-04-27,0,3.42,3.42,3.42,0,0.00%,,171000,1
2011-05-02,0,3.45,3.45,3.45,0,0.00%,,1741370,2
2011-05-10,0,3.36,3.36,3.36,0,0.00%,,282240,1
2011-05-15,0,3.45,3.45,3.45,0,0.00%,,345000,1
2011-05-17,0,3.44,3.44,3.44,0,0.00%,,346030,2
2011-05-19,0,3.4,3.4,3.35,0,0.00%,,6927056,4
