Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-08,0.9,1.05,1.05,0.88,,,76380753,70085172,63
2011-12-11,0.92,0.91,0.95,0.91,0.02,2.22,79495684,74292841,50
2011-12-12,0.91,0.92,0.92,0.91,-0.01,-1.09,16983609,15487420,13
2011-12-13,0.91,0.92,0.92,0.91,0.0,0.0,3084149,2812076,7
2011-12-14,0.89,0.91,0.91,0.89,-0.02,-2.2,12759049,11400909,27
2011-12-15,0.91,0.91,0.92,0.91,0.02,2.25,5250000,4790000,10
2011-12-18,0.9,0.91,0.91,0.9,-0.01,-1.1,6350000,5741000,11
2011-12-19,0.91,0.9,0.91,0.9,0.01,1.11,1727278,1555274,5
2011-12-20,0.89,0.91,0.91,0.89,-0.02,-2.2,12312948,11045524,15
2012-01-05,0.9,0.9,0.9,0.9,0.01,1.12,513263,461937,1
2012-01-08,0.87,0.88,0.88,0.87,-0.03,-3.33,10475299,9133510,8
2012-01-10,0.88,0.88,0.89,0.88,0.01,1.15,2074701,1833237,8
2012-01-11,0.87,0.87,0.88,0.87,-0.01,-1.14,1500000,1308000,7
2012-01-15,0.87,0.87,0.87,0.87,0.0,0.0,1700000,1479000,5
2012-01-16,0.89,0.87,0.89,0.87,0.02,2.3,7807623,6811208,17
2012-01-17,0.87,0.89,0.89,0.87,-0.02,-2.25,3700000,3223000,12
2012-01-18,0.86,0.87,0.87,0.86,-0.01,-1.15,1750000,1510000,5
2012-01-19,0.86,0.86,0.86,0.86,0.0,0.0,5000000,4300000,10
2012-01-22,0.86,0.86,0.86,0.86,0.0,0.0,65677,56482,1
2012-01-24,0.86,0.86,0.86,0.86,0.0,0.0,608118,522981,1
2012-01-25,0.86,0.86,0.86,0.86,0.0,0.0,14857510,12777459,14
2012-01-26,0.86,0.86,0.87,0.86,0.0,0.0,15789125,13590376,18
2012-01-31,0.86,0.86,0.86,0.86,0.0,0.0,3615000,3108900,5
2012-02-02,0.86,0.88,0.88,0.86,0.0,0.0,901007,786366,4
2012-02-07,0.86,0.87,0.87,0.86,0.0,0.0,52542,45686,2
2012-02-08,0.93,0.94,0.94,0.93,0.07,8.14,2600000,2419000,6
2012-02-12,0.9,0.9,0.9,0.9,-0.03,-3.23,11692082,10522874,25
2012-02-13,0.97,0.9,0.97,0.9,0.07,7.78,23093717,21812932,30
2012-02-14,0.95,0.97,0.98,0.95,-0.02,-2.06,1226113,1190581,8
2012-02-15,1.01,0.98,1.01,0.98,0.06,6.32,45547733,45623033,34
2012-02-16,1.02,1.04,1.09,1.0,0.01,0.99,24543453,25529737,29
2012-02-19,0.98,1.01,1.01,0.98,-0.04,-3.92,1770247,1759166,10
2012-02-20,0.94,0.97,0.97,0.92,-0.04,-4.08,17342500,16351025,30
2012-02-22,0.94,0.94,0.94,0.93,0.0,0.0,5810581,5427946,13
2012-02-23,0.94,0.94,0.95,0.94,0.0,0.0,4590004,4324604,9
2012-02-26,0.95,0.95,0.95,0.94,0.01,1.06,3207029,3032401,14
2012-02-27,0.93,0.95,0.95,0.93,-0.02,-2.11,1500000,1407500,4
2012-02-28,0.92,0.93,0.93,0.92,-0.01,-1.08,4526094,4189267,4
2012-02-29,0.91,0.92,0.92,0.91,-0.01,-1.09,5950000,5419000,8
2012-03-01,0.91,0.91,0.92,0.91,0.0,0.0,2326271,2117169,5
2012-03-04,0.94,0.94,0.94,0.94,0.03,3.3,315677,296736,2
2012-03-05,0.93,0.94,0.94,0.93,-0.01,-1.06,1293641,1211523,5
2012-03-06,0.92,0.92,0.93,0.92,-0.01,-1.08,14900000,13713500,20
2012-03-07,0.92,0.92,0.92,0.92,0.0,0.0,6130000,5639600,6
2012-03-08,0.93,0.95,0.95,0.93,0.01,1.09,450000,422500,3
2012-03-11,0.94,0.94,0.95,0.94,0.01,1.08,2326225,2196652,8
2012-03-12,0.95,0.96,0.96,0.94,0.01,1.06,1505271,1434955,3
2012-03-13,0.94,0.94,0.94,0.94,-0.01,-1.05,554729,521445,1
2012-03-14,0.92,0.93,0.93,0.92,-0.02,-2.13,6057280,5577698,8
2012-03-15,0.92,0.92,0.92,0.92,0.0,0.0,1000000,920000,3
2012-03-18,0.92,0.92,0.92,0.92,0.0,0.0,7000000,6440000,6
2012-03-19,0.92,0.92,0.92,0.92,0.0,0.0,2750000,2530000,4
2012-03-20,0.92,0.92,0.92,0.92,0.0,0.0,940000,864800,2
2012-04-02,0.93,0.93,0.93,0.92,0.01,1.09,13388598,12410396,18
2012-04-03,0.94,0.94,0.94,0.94,0.01,1.08,3570000,3355800,7
2012-04-04,0.95,0.94,0.95,0.94,0.01,1.06,5030000,4778400,4
2012-04-05,0.95,0.94,0.95,0.94,0.0,0.0,2150000,2031000,7
2012-04-08,0.95,0.94,0.96,0.94,0.0,0.0,6672513,6342084,14
2012-04-09,0.95,0.96,0.96,0.95,0.0,0.0,5320000,5082200,7
2012-04-10,0.94,0.96,0.96,0.94,-0.01,-1.05,11202246,10622111,11
2012-04-11,0.94,0.96,0.96,0.94,0.0,0.0,6100000,5736100,11
2012-04-12,0.93,0.93,0.93,0.93,-0.01,-1.06,1570000,1460100,3
2012-04-15,0.93,0.92,0.93,0.91,0.0,0.0,10105677,9226766,11
2012-04-16,0.93,0.93,0.93,0.93,0.0,0.0,20000,18600,1
2012-04-17,0.93,0.93,0.93,0.93,0.0,0.0,3640000,3385200,6
2012-04-18,0.93,0.93,0.93,0.93,0.0,0.0,2000000,1860000,2
