Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-07,0,1.1,1.11,1.1,0,0.00%,,14390000,6
2010-01-10,0,1.1,1.1,1.1,0,0.00%,,15400000,4
2010-01-11,0,1.11,1.11,1.1,0,0.00%,,6630450,4
2010-01-13,0,1.2,1.25,1.2,0,0.00%,,800000,2
2010-01-14,0,1.25,1.25,1.25,0,0.00%,,881250,1
2010-01-18,0,1.24,1.24,1.24,0,0.00%,,1550000,3
2010-02-04,0,1.11,1.11,1.11,0,0.00%,,5550000,2
2010-02-10,0,1.12,1.12,1.12,0,0.00%,,33600,1
2010-02-11,0,1.12,1.12,1.12,0,0.00%,,224000,1
2010-02-22,0,1.08,1.08,1.08,0,0.00%,,129456,1
2010-02-23,0,1.1,1.1,1.1,0,0.00%,,1100000,1
2010-03-01,0,1.1,1.1,1.1,0,0.00%,,1100000,1
2010-03-03,0,1.1,1.1,1.1,0,0.00%,,1100000,1
2010-03-09,0,1.07,1.07,1.07,0,0.00%,,796052,1
2010-03-31,0,1.15,1.15,1.15,0,0.00%,,230000,2
2010-04-12,0,1.15,1.15,1.15,0,0.00%,,2993764,1
2010-04-14,0,1.05,1.05,1.05,0,0.00%,,29664,1
2010-04-22,0,1.1,1.1,1.1,0,0.00%,,205294,1
2010-04-27,0,1.05,1.05,1.05,0,0.00%,,167852,2
2010-05-03,0,1.12,1.12,1.12,0,0.00%,,112000,1
2010-05-06,0,1.12,1.12,1.12,0,0.00%,,22400,1
2010-06-06,0,1.12,1.12,1.12,0,0.00%,,280000,1
2010-06-08,0,1.2,1.2,1.2,0,0.00%,,600000,1
2010-06-16,0,1.17,1.17,1.17,0,0.00%,,585000,1
2010-07-27,0,1.06,1.06,1.06,0,0.00%,,530000,1
2010-07-28,0,1.06,1.06,1.06,0,0.00%,,530000,1
2010-07-29,0,1.1,1.17,1.1,0,0.00%,,1534697,8
2010-08-01,0,1.26,1.28,1.26,0,0.00%,,2526658,4
2010-08-02,0,1.22,1.22,1.17,0,0.00%,,2967712,6
2010-08-03,0,1.17,1.2,1.17,0,0.00%,,1273595,5
2010-08-04,0,1.18,1.19,1.18,0,0.00%,,592500,2
2010-08-05,0,1.2,1.2,1.18,0,0.00%,,4170000,6
2010-08-09,0,1.15,1.15,1.15,0,0.00%,,1150000,1
2010-08-15,0,1.16,1.16,1.16,0,0.00%,,516093,2
2010-08-16,0,1.2,1.27,1.2,0,0.00%,,6836000,11
2010-08-17,0,1.3,1.3,1.3,0,0.00%,,71620,1
2010-08-22,0,1.25,1.25,1.25,0,0.00%,,2090410,2
2010-09-22,0,1.2,1.2,1.2,0,0.00%,,300000,1
2010-09-23,0,1.2,1.21,1.2,0,0.00%,,1205000,2
2010-09-27,0,1.21,1.25,1.21,0,0.00%,,1754143,4
2010-10-05,0,1.21,1.21,1.21,0,0.00%,,480307,1
2010-10-20,0,1.21,1.21,1.21,0,0.00%,,472917340,1
2010-10-24,0,1.21,1.21,1.21,0,0.00%,,531466,2
2010-10-25,0,1.21,1.21,1.21,0,0.00%,,2582069,1
2010-11-01,0,1.2,1.2,1.2,0,0.00%,,195690,1
2010-11-02,0,1.25,1.32,1.25,0,0.00%,,1253342,4
2010-11-04,0,1.21,1.21,1.2,0,0.00%,,1205997,2
2010-11-07,0,1.21,1.22,1.21,0,0.00%,,1698000,2
2010-11-09,0,1.22,1.22,1.22,0,0.00%,,1728334,3
2010-11-11,0,1.25,1.25,1.25,0,0.00%,,125000,1
2010-11-15,0,1.2,1.2,1.2,0,0.00%,,85952,1
2010-11-23,0,1.23,1.23,1.23,0,0.00%,,6150,1
2010-11-24,0,1.23,1.23,1.23,0,0.00%,,1244350,1
2010-11-29,0,1.21,1.21,1.21,0,0.00%,,242000,1
2010-12-06,0,1.2,1.2,1.2,0,0.00%,,180000,2
2010-12-08,0,1.2,1.2,1.2,0,0.00%,,505080,2
2010-12-12,0,1.2,1.2,1.2,0,0.00%,,892769,3
2010-12-14,0,1.32,1.32,1.32,0,0.00%,,1980000,3
2010-12-21,0,1.35,1.35,1.35,0,0.00%,,7131708,4
2011-01-04,0,1.35,1.35,1.35,0,0.00%,,945000,1
2011-01-05,0,1.35,1.35,1.35,0,0.00%,,654750,1
2011-01-16,0,1.3,1.3,1.3,0,0.00%,,1300000,1
2011-01-18,0,1.3,1.3,1.3,0,0.00%,,618558,2
2011-01-23,0,1.3,1.3,1.3,0,0.00%,,1170000,3
2011-01-26,0,1.3,1.3,1.3,0,0.00%,,1300000,1
2011-02-10,0,1.3,1.3,1.3,0,0.00%,,195000,1
2011-02-14,0,1.26,1.26,1.26,0,0.00%,,630000,1
2011-02-20,0,1.21,1.21,1.2,0,0.00%,,482500,2
2011-02-24,0,1.25,1.25,1.25,0,0.00%,,625000,1
2011-02-27,0,1.25,1.3,1.25,0,0.00%,,1790000,6
2011-02-28,0,1.37,1.37,1.37,0,0.00%,,137000,1
2011-03-01,0,1.5,1.5,1.5,0,0.00%,,19500000,10
2011-03-02,0,1.65,1.65,1.65,0,0.00%,,15588360,12
2011-03-03,0,1.74,1.74,1.6,0,0.00%,,8025500,11
2011-03-06,0,1.7,1.72,1.7,0,0.00%,,3430000,3
2011-03-07,0,1.75,1.75,1.72,0,0.00%,,10040133,11
2011-03-08,0,1.75,1.75,1.75,0,0.00%,,5378891,8
2011-03-09,0,1.8,1.8,1.8,0,0.00%,,15077412,9
2011-03-10,0,1.8,1.83,1.8,0,0.00%,,7751704,7
2011-03-13,0,1.81,1.81,1.8,0,0.00%,,2270514,4
2011-03-14,0,1.82,1.82,1.8,0,0.00%,,2353800,2
2011-03-17,0,1.66,1.66,1.65,0,0.00%,,1655000,2
2011-04-04,0,1.65,1.65,1.65,0,0.00%,,1567500,2
2011-04-10,0,1.65,1.65,1.65,0,0.00%,,825000,1
2011-04-11,0,1.5,1.5,1.5,0,0.00%,,273522,3
2011-04-13,0,1.55,1.55,1.55,0,0.00%,,117642,1
2011-04-14,0,1.7,1.7,1.7,0,0.00%,,30008,1
2011-04-17,0,1.7,1.7,1.7,0,0.00%,,158636,1
2011-04-20,0,1.6,1.6,1.6,0,0.00%,,921437,1
2011-04-21,0,1.6,1.6,1.6,0,0.00%,,315915,1
2011-04-25,0,1.6,1.65,1.6,0,0.00%,,4542085,4
2011-04-26,0,1.65,1.66,1.65,0,0.00%,,1916005,2
2011-04-27,0,1.7,1.71,1.7,0,0.00%,,1871000,2
2011-05-03,0,1.7,1.7,1.7,0,0.00%,,1300493,1
2011-05-04,0,1.8,1.87,1.8,0,0.00%,,5837293,6
2011-05-08,0,1.85,1.85,1.85,0,0.00%,,185000,1
2011-05-10,0,1.9,1.9,1.9,0,0.00%,,3800000,2
2011-05-11,0,1.95,2.09,1.95,0,0.00%,,8706636,7
2011-05-12,0,2.2,2.29,2.2,0,0.00%,,7044000,7
2011-05-15,0,2.3,2.51,2.3,0,0.00%,,10290319,10
2011-05-16,0,2.76,2.76,2.69,0,0.00%,,5095500,4
2011-05-17,0,2.43,2.43,2.43,0,0.00%,,243000,1
2011-05-19,0,2.25,2.25,2.25,0,0.00%,,450000,1
2011-05-22,0,2.2,2.2,2.2,0,0.00%,,485980,1
2011-05-23,0,2.25,2.25,2.2,0,0.00%,,6405000,5
2011-05-25,0,2.21,2.25,2.21,0,0.00%,,1788000,2
2011-05-26,0,2.45,2.47,2.44,0,0.00%,,12658500,9
2011-05-29,0,2.5,2.5,2.5,0,0.00%,,2322750,5
2011-05-30,0,2.5,2.75,2.5,0,0.00%,,21691749,21
2011-05-31,0,2.7,2.74,2.7,0,0.00%,,9477400,19
2011-06-01,0,2.74,2.8,2.74,0,0.00%,,24423533,17
2011-06-02,0,2.8,2.8,2.8,0,0.00%,,7773872,7
2011-06-05,0,2.9,3.06,2.9,0,0.00%,,23083738,18
2011-11-24,0,1.3,1.35,1.2,0,0.00%,,18302548,35
2011-11-28,0,1.3,1.34,1.3,0,0.00%,,9282054,19
2011-11-29,0,1.4,1.43,1.39,0,0.00%,,18462896,34
2011-11-30,0,1.4,1.45,1.4,0,0.00%,,9697613,20
2011-12-01,1,1.4,1.4,1.4,1,0.00%,,3430000,7
2011-12-04,1,1.4,1.4,1.35,0,0.00%,,2745000,4
2011-12-05,1.35,1.35,1.35,1.35,0.35,35.00%,,337500,1
2011-12-07,1.34,1.31,1.34,1.3,-0.01,-0.74%,,5753000,10
2011-12-11,1.28,1.28,1.28,1.28,-0.06,-4.48%,,1947729,4
2011-12-12,1.25,1.3,1.3,1.2,-0.03,-2.34%,,18462815,18
2011-12-13,1.24,1.24,1.24,1.24,-0.01,-0.80%,,1563541,5
2011-12-14,1.25,1.21,1.25,1.2,0.01,0.81%,,12801413,16
2011-12-15,1.24,1.27,1.27,1.22,-0.01,-0.80%,,2288000,6
2011-12-18,1.21,1.21,1.21,1.21,-0.03,-2.42%,,2420000,6
2011-12-19,1.21,1.21,1.21,1.2,0,0.00%,,2061278,9
2011-12-20,1.22,1.23,1.25,1.22,0.01,0.83%,,22817810,31
2012-01-03,1.24,1.22,1.24,1.22,0.02,1.64%,,2216815,8
2012-01-09,1.2,1.2,1.2,1.2,-0.04,-3.23%,,14005972,28
2012-01-10,1.18,1.2,1.2,1.18,-0.02,-1.67%,,3287500,6
2012-01-11,1.18,1.18,1.18,1.18,0,0.00%,,531000,2
2012-01-16,1.18,1.18,1.18,1.18,0,0.00%,,1770000,9
2012-01-17,1.16,1.18,1.18,1.16,-0.02,-1.69%,,3580500,13
2012-01-18,1.16,1.16,1.16,1.16,0,0.00%,,1160000,4
2012-01-19,1.15,1.16,1.16,1.14,-0.01,-0.86%,,1543018,10
2012-01-23,1.2,1.2,1.2,1.2,0.05,4.35%,,3000,1
2012-01-24,1.2,1.2,1.2,1.2,0,0.00%,,15000,1
2012-01-26,1.13,1.19,1.19,1.13,-0.07,-5.83%,,2548764,7
2012-01-29,1.1,1.12,1.12,1.1,-0.03,-2.65%,,2264500,10
2012-01-30,1.05,1.1,1.1,1.05,-0.05,-4.55%,,5082500,13
2012-01-31,1.03,1.04,1.04,1.02,-0.02,-1.90%,,4274099,21
2012-02-01,1.03,1.03,1.03,1.03,0,0.00%,,772500,3
2012-02-02,1.03,1.03,1.03,1.03,0,0.00%,,10184310,18
2012-02-06,1.06,1.04,1.06,1.04,0.03,2.91%,,3494250,7
2012-02-07,1.07,1.07,1.07,1.07,0.01,0.94%,,1214846,6
2012-02-08,1.08,1.06,1.08,1.06,0.01,0.93%,,4415933,9
2012-02-09,1.1,1.08,1.1,1.08,0.02,1.85%,,3556000,9
2012-02-12,1.1,1.1,1.1,1.1,0,0.00%,,2017663,5
2012-02-13,1.15,1.1,1.15,1.1,0.05,4.55%,,3653500,9
2012-02-14,1.26,1.24,1.26,1.23,0.11,9.57%,,23412790,31
2012-02-15,1.38,1.35,1.38,1.35,0.12,9.52%,,23921156,23
2012-02-16,1.51,1.5,1.51,1.5,0.13,9.42%,,46966221,41
2012-02-19,1.52,1.66,1.66,1.49,0.01,0.66%,,11617008,23
2012-02-20,1.45,1.51,1.51,1.45,-0.07,-4.61%,,8378797,15
2012-02-21,1.49,1.51,1.51,1.49,0.04,2.76%,,8274500,16
2012-02-22,1.4,1.46,1.49,1.4,-0.09,-6.04%,,12313168,11
2012-02-23,1.4,1.4,1.4,1.4,0,0.00%,,2800000,4
2012-02-26,1.3,1.31,1.31,1.3,-0.1,-7.14%,,1691000,3
2012-02-27,1.25,1.3,1.3,1.25,-0.05,-3.85%,,3263515,10
2012-02-28,1.25,1.25,1.26,1.25,0,0.00%,,2751000,6
2012-02-29,1.3,1.28,1.32,1.28,0.05,4.00%,,7013191,9
2012-03-01,1.4,1.34,1.4,1.34,0.1,7.69%,,4418002,10
2012-03-04,1.35,1.35,1.35,1.35,-0.05,-3.57%,,675000,1
2012-03-05,1.35,1.35,1.35,1.35,0,0.00%,,5062500,8
2012-03-06,1.34,1.36,1.36,1.34,-0.01,-0.74%,,1015340,5
2012-03-07,1.34,1.34,1.34,1.34,0,0.00%,,529602,1
2012-03-12,1.47,1.4,1.47,1.4,0.13,9.70%,,3637506,7
2012-03-13,1.5,1.5,1.5,1.5,0.03,2.04%,,750000,1
2012-03-14,1.47,1.48,1.48,1.47,-0.03,-2.00%,,735500,3
2012-03-15,1.43,1.43,1.43,1.43,-0.04,-2.72%,,572000,1
2012-03-18,1.43,1.43,1.43,1.43,0,0.00%,,149828,1
2012-03-19,1.4,1.42,1.42,1.4,-0.03,-2.10%,,493500,3
2012-03-20,1.4,1.4,1.4,1.4,0,0.00%,,1099519,3
2012-04-03,1.4,1.4,1.4,1.4,0,0.00%,,280000,1
2012-04-05,1.42,1.4,1.45,1.4,0.02,1.43%,,1220441,6
2012-04-08,1.4,1.4,1.4,1.4,-0.02,-1.41%,,140000,1
2012-04-09,1.3,1.3,1.3,1.3,-0.1,-7.14%,,2553568,8
2012-04-10,1.3,1.3,1.3,1.3,0,0.00%,,4863910,13
2012-04-11,1.3,1.3,1.36,1.29,0,0.00%,,4971100,16
2012-04-12,1.3,1.3,1.3,1.3,0,0.00%,,260000,1
2012-04-15,1.21,1.3,1.3,1.2,-0.09,-6.92%,,9222073,9
2012-04-16,1.22,1.23,1.23,1.22,0.01,0.83%,,2509124,5
2012-04-17,1.27,1.23,1.27,1.23,0.05,4.10%,,992000,4
2012-04-18,1.24,1.26,1.26,1.24,-0.03,-2.36%,,2814621,12
2012-04-19,1.25,1.24,1.29,1.24,0.01,0.81%,,5941414,5
2012-04-22,1.25,1.28,1.28,1.25,0,0.00%,,314000,2
2012-04-24,1.22,1.21,1.22,1.2,-0.03,-2.40%,,3432500,6
2012-04-25,1.21,1.21,1.21,1.21,-0.01,-0.82%,,302500,1
2012-04-26,1.19,1.21,1.21,1.19,-0.02,-1.65%,,7211000,9
2012-04-29,1.18,1.19,1.19,1.18,-0.01,-0.84%,,296000,2
2012-04-30,1.17,1.17,1.17,1.17,-0.01,-0.85%,,4680000,4
2012-05-03,1.2,1.17,1.2,1.17,0.03,2.56%,,3551946,4
2012-05-06,1.2,1.2,1.2,1.2,0,0.00%,,60000,1
2012-05-07,1.15,1.15,1.15,1.15,-0.05,-4.17%,,623469,2
2012-05-10,1.19,1.2,1.2,1.19,0.04,3.48%,,1895082,3
2012-05-13,1.19,1.2,1.2,1.19,0,0.00%,,10720000,7
2012-05-14,1.19,1.19,1.19,1.19,0,0.00%,,2975000,5
2012-05-16,1.19,1.2,1.2,1.18,0,0.00%,,4559064,6
2012-05-20,1.15,1.15,1.15,1.15,-0.04,-3.36%,,1150000,1
2012-05-21,1.13,1.15,1.15,1.13,-0.02,-1.74%,,1752500,3
2012-05-23,1.14,1.14,1.14,1.14,0.01,0.88%,,1810835,3
2012-05-27,1.11,1.13,1.13,1.11,-0.03,-2.63%,,3461000,4
2012-05-28,1.11,1.11,1.11,1.1,0,0.00%,,4319000,5
2012-06-25,1.06,1.06,1.06,1.06,-0.05,-4.50%,,606197,5
2012-07-02,1.06,1.07,1.07,1.06,0,0.00%,,797500,3
2012-07-04,1.03,1.04,1.04,1.03,-0.03,-2.83%,,2543500,4
2012-07-05,1.03,1.06,1.06,1.03,0,0.00%,,6230000,10
2012-07-09,1.04,1.02,1.04,1.02,0.01,0.97%,,1030000,4
2012-07-10,1.03,1.02,1.03,1.02,-0.01,-0.96%,,1550600,5
2012-07-11,0.99,1,1,0.97,-0.04,-3.88%,,4033975,6
2012-07-12,1.01,1,1.02,0.98,0.02,2.02%,,17552766,25
2012-07-15,1.04,1.05,1.05,1.04,0.03,2.97%,,2489721,4
2012-07-16,1.05,1.04,1.05,1.04,0.01,0.96%,,7961289,7
2012-07-17,1.05,1.05,1.05,1.05,0,0.00%,,4189068,5
2012-07-19,1.04,1.04,1.04,1.04,-0.01,-0.95%,,520000,1
2012-07-25,1.01,1.01,1.01,1.01,-0.03,-2.88%,,1111000,2
2012-08-05,1,1,1,1,-0.01,-0.99%,,500000,4
2012-08-06,1,1,1,1,0,0.00%,,6200000,5
2012-08-07,1,1,1,1,0,0.00%,,3000000,5
2012-08-13,0.99,1.01,1.01,0.99,-0.01,-1.00%,,122392,2
2012-08-15,0.98,0.98,0.98,0.98,-0.01,-1.01%,,980000,3
2012-08-27,0.99,1,1,0.99,0.01,1.02%,,1990000,2
2012-08-28,0.98,0.98,0.98,0.98,-0.01,-1.01%,,75460,1
2012-08-29,0.99,0.99,0.99,0.98,0.01,1.02%,,1744977,5
2012-09-02,0.98,0.98,0.98,0.98,-0.01,-1.01%,,245000,2
2012-09-04,0.98,0.98,0.98,0.98,0,0.00%,,888170,6
2012-09-05,0.98,0.98,0.98,0.98,0,0.00%,,560415,3
2012-09-06,0.97,0.98,0.98,0.97,-0.01,-1.02%,,2960500,12
2012-09-10,0.97,0.95,0.97,0.95,0,0.00%,,581000,2
2012-09-11,0.96,0.92,0.96,0.91,-0.01,-1.03%,,3138569,9
2012-09-12,0.98,0.96,0.98,0.96,0.02,2.08%,,338000,2
2012-09-13,0.99,0.99,0.99,0.99,0.01,1.02%,,544500,1
2012-09-18,0.96,0.96,0.96,0.96,-0.03,-3.03%,,768000,2
2012-09-24,0.96,0.96,0.96,0.96,0,0.00%,,953776,1
2012-09-25,0.96,0.96,0.96,0.96,0,0.00%,,240000,2
2012-09-26,0.98,0.98,0.98,0.98,0.02,2.08%,,490000,1
2012-09-30,0.95,0.95,0.95,0.95,-0.03,-3.06%,,2470000,3
2012-10-01,0.95,0.95,0.95,0.95,0,0.00%,,190000,1
2012-10-02,0.94,0.94,0.94,0.94,-0.01,-1.05%,,333538,2
