Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,3.0,3.4,3.4,3.4,,,166440,565896,3
2011-12-04,3.0,3.45,3.45,3.35,0.0,0.0,2750000,9300000,7
2011-12-05,3.3,3.3,3.3,3.3,0.3,10.0,100000,330000,1
2011-12-08,3.34,3.34,3.34,3.34,0.04,1.21,1050000,3507000,2
2011-12-11,3.53,3.45,3.55,3.4,0.19,5.69,926664,3201624,6
2011-12-13,3.5,3.5,3.5,3.5,-0.03,-0.85,84000,294000,1
2011-12-14,3.39,3.39,3.39,3.39,-0.11,-3.14,100000000,339000000,1
2011-12-15,3.3,3.3,3.3,3.3,-0.09,-2.65,225000,742500,2
2011-12-18,3.3,3.3,3.3,3.3,0.0,0.0,1134200000,3742860000,4
2011-12-20,3.3,3.3,3.3,3.3,0.0,0.0,201000,663300,3
2012-01-03,3.25,3.45,3.45,3.25,-0.05,-1.52,114000,373766,4
2012-01-05,3.25,3.25,3.25,3.25,0.0,0.0,28500,92625,1
2012-01-10,3.25,3.25,3.25,3.25,0.0,0.0,562078,1826754,2
2012-01-11,3.25,3.25,3.25,3.25,0.0,0.0,2622666,8523664,3
2012-01-17,3.35,3.35,3.35,3.35,0.1,3.08,1000000,3350000,1
2012-01-18,3.25,3.25,3.25,3.25,-0.1,-2.99,84405,274316,1
2012-01-19,3.15,3.25,3.25,3.15,-0.1,-3.08,350000,1112500,2
2012-01-23,3.35,3.2,3.35,3.2,0.2,6.35,1400000,4652500,2
2012-01-24,3.1,3.2,3.2,3.1,-0.25,-7.46,1519251,4742178,5
2012-01-25,3.1,3.1,3.1,3.1,0.0,0.0,844031,2616496,2
2012-01-26,3.1,3.1,3.1,3.1,0.0,0.0,300000,930000,1
2012-01-30,2.85,3.1,3.1,2.85,-0.25,-8.06,475000,1374500,5
2012-02-01,2.9,2.61,2.9,2.61,0.05,1.75,1028500,2974385,2
2012-02-02,2.95,2.95,2.95,2.95,0.05,1.72,100000,295000,1
2012-02-07,2.9,2.91,2.91,2.9,-0.05,-1.69,350000,1018000,2
2012-02-13,2.85,2.8,2.85,2.75,-0.05,-1.72,650000,1790500,4
2012-02-15,3.05,3.0,3.1,3.0,0.2,7.02,2675000,8163750,9
2012-02-16,3.05,3.05,3.05,3.05,0.0,0.0,650000,1982500,3
2012-02-19,2.97,2.97,2.97,2.97,-0.08,-2.62,400000,1188000,2
2012-02-20,2.75,2.75,2.85,2.7,-0.22,-7.41,1664627,4567724,11
2012-02-21,2.65,2.73,2.73,2.65,-0.1,-3.64,1645129,4430402,13
2012-02-23,2.65,2.65,2.65,2.65,0.0,0.0,550000,1457500,2
2012-02-26,2.45,2.5,2.5,2.45,-0.2,-7.55,1700000,4190000,4
2012-02-27,2.45,2.37,2.45,2.37,0.0,0.0,650000,1560500,3
2012-02-28,2.29,2.33,2.35,2.29,-0.16,-6.53,2836955,6560844,17
2012-02-29,2.2,2.25,2.25,2.15,-0.09,-3.93,1574487,3442621,9
2012-03-01,2.3,2.21,2.42,2.21,0.1,4.55,3490000,7978000,12
2012-03-04,2.29,2.3,2.3,2.26,-0.01,-0.43,9482003,21581157,8
2012-03-05,2.3,2.3,2.4,2.3,0.01,0.44,1450000,3368250,6
2012-03-06,2.3,2.35,2.35,2.3,0.0,0.0,3981509,9307601,8
2012-03-07,2.3,2.3,2.3,2.22,0.0,0.0,977669,2246059,8
2012-03-08,2.3,2.3,2.35,2.3,0.0,0.0,505000,1161950,6
2012-03-11,2.3,2.35,2.35,2.3,0.0,0.0,2700000,6261500,5
2012-03-12,2.28,2.27,2.3,2.27,-0.02,-0.87,314508,714933,3
2012-03-13,2.3,2.3,2.3,2.3,0.02,0.88,1450000,3335000,3
2012-03-14,2.3,2.35,2.35,2.3,0.0,0.0,2500000,5775000,4
2012-03-15,2.3,2.3,2.3,2.3,0.0,0.0,1000000,2300000,1
2012-03-18,2.3,2.3,2.3,2.3,0.0,0.0,1000000,2300000,1
2012-03-19,2.3,2.3,2.3,2.3,0.0,0.0,50000,115000,1
2012-04-03,2.3,2.3,2.3,2.3,0.0,0.0,100000,230000,1
2012-04-08,2.2,2.25,2.25,2.2,-0.1,-4.35,570175,1259385,5
2012-04-10,2.3,2.29,2.3,2.29,0.1,4.55,2150494,4927631,3
2012-04-11,2.32,2.3,2.32,2.3,0.02,0.87,1120000,2596000,3
2012-04-16,2.36,2.36,2.36,2.36,0.04,1.72,700000,1652000,2
2012-04-18,2.32,2.25,2.32,2.25,-0.04,-1.69,835000,1912700,10
2012-04-19,2.32,2.34,2.34,2.32,0.0,0.0,305129,708799,4
2012-04-24,2.2,2.2,2.2,2.2,-0.12,-5.17,562666,1237865,3
2012-04-25,2.28,2.28,2.28,2.28,0.08,3.64,250000,570000,1
2012-05-07,2.15,2.15,2.15,2.15,-0.13,-5.7,160644,345385,3
2012-05-08,2.29,2.29,2.29,2.29,0.14,6.51,950000,2175500,1
2012-05-09,2.29,2.29,2.29,2.29,0.0,0.0,4000000,9160000,1
