Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-05,0.77,0.82,0.82,0.77,,,1000000,775000,2
2011-12-07,0.71,0.8,0.8,0.71,-0.06,-7.79,20061687,14318798,22
2011-12-08,0.75,0.72,0.75,0.72,0.04,5.63,400000,295149,3
2011-12-11,0.73,0.75,0.75,0.73,-0.02,-2.67,7200000,5298000,5
2011-12-12,0.73,0.72,0.73,0.72,0.0,0.0,3000000,2180000,4
2011-12-13,0.74,0.73,0.74,0.73,0.01,1.37,300000,220000,2
2012-01-03,0.71,0.7,0.71,0.7,-0.03,-4.05,2000000,1403000,5
2012-01-05,0.72,0.71,0.72,0.7,0.01,1.41,3600000,2550000,3
2012-01-08,0.73,0.73,0.73,0.73,0.01,1.39,4461687,3257032,4
2012-01-09,0.75,0.75,0.75,0.75,0.02,2.74,1000000,750000,1
2012-01-10,0.75,0.75,0.75,0.75,0.0,0.0,1000000,750000,1
2012-01-11,0.8,0.8,0.8,0.8,0.05,6.67,250000,200000,1
2012-01-17,0.73,0.75,0.75,0.73,-0.07,-8.75,3250000,2412500,4
2012-01-18,0.73,0.73,0.73,0.73,0.0,0.0,4593623,3353345,2
2012-01-19,0.73,0.73,0.73,0.73,0.0,0.0,400000,292000,2
2012-02-06,0.71,0.71,0.71,0.71,-0.02,-2.74,1000000,710000,1
2012-02-09,0.71,0.71,0.71,0.71,0.0,0.0,4500000,3195000,1
2012-02-12,0.72,0.72,0.72,0.72,0.01,1.41,2600000,1872000,3
2012-02-14,0.77,0.76,0.79,0.75,0.05,6.94,6461187,5008338,8
2012-02-15,0.84,0.84,0.84,0.84,0.07,9.09,10712348,8998372,8
2012-02-16,0.85,0.89,0.9,0.82,0.01,1.19,7500000,6500000,9
2012-02-19,0.82,0.83,0.83,0.82,-0.03,-3.53,1512348,1240249,3
2012-02-20,0.8,0.81,0.81,0.8,-0.02,-2.44,1710843,1373283,5
2012-02-21,0.78,0.8,0.82,0.78,-0.02,-2.5,1450000,1145000,3
2012-02-23,0.78,0.79,0.79,0.78,0.0,0.0,1400000,1096000,2
2012-02-26,0.74,0.76,0.76,0.74,-0.04,-5.13,5800000,4375000,7
2012-02-27,0.74,0.74,0.74,0.74,0.0,0.0,1400000,1036000,3
2012-02-28,0.75,0.74,0.75,0.74,0.01,1.35,500000,372000,2
2012-02-29,0.75,0.78,0.78,0.74,0.0,0.0,5173460,3930469,4
2012-03-04,0.76,0.76,0.76,0.76,0.01,1.33,1000000,760000,1
2012-03-05,0.75,0.75,0.75,0.75,-0.01,-1.32,2800000,2100000,2
2012-03-06,0.75,0.74,0.75,0.74,0.0,0.0,5200000,3850000,2
2012-03-08,0.75,0.75,0.75,0.75,0.0,0.0,1000000,750000,1
2012-03-11,0.76,0.75,0.76,0.75,0.01,1.33,6200000,4652000,3
2012-03-12,0.76,0.74,0.76,0.74,0.0,0.0,15100000,11218000,11
2012-03-14,0.74,0.74,0.74,0.74,-0.02,-2.63,2931057,2168982,7
2012-03-19,0.75,0.75,0.75,0.75,0.01,1.35,200000,150000,1
2012-03-20,0.75,0.75,0.75,0.75,0.0,0.0,1000000,750000,2
2012-04-12,0.73,0.7,0.73,0.7,-0.02,-2.67,750000,531000,3
2012-04-19,0.73,0.73,0.73,0.73,0.0,0.0,18655,13618,1
2012-04-26,0.73,0.73,0.73,0.73,0.0,0.0,1000000,730000,2
2012-04-30,0.73,0.73,0.73,0.73,0.0,0.0,276506,201849,3
2012-05-02,0.71,0.7,0.71,0.7,-0.02,-2.74,7000000,4920000,5
2012-05-03,0.7,0.7,0.7,0.7,-0.01,-1.41,1000000,700000,1
2012-05-10,0.73,0.7,0.76,0.7,0.03,4.29,59098559,43798899,42
2012-05-13,0.71,0.72,0.73,0.71,-0.02,-2.74,11167655,8004108,10
2012-05-14,0.72,0.72,0.72,0.72,0.01,1.41,250000,180000,1
2012-05-15,0.73,0.72,0.73,0.72,0.01,1.39,13851000,10041230,7
2012-05-16,0.73,0.72,0.73,0.72,0.0,0.0,10099000,7281280,8
2012-05-20,0.7,0.71,0.71,0.7,-0.03,-4.11,7750000,5467500,6
2012-05-21,0.77,0.73,0.77,0.73,0.07,10.0,40451000,30017230,20
2012-05-22,0.82,0.81,0.83,0.81,0.05,6.49,43798420,35784704,32
2012-05-23,0.8,0.8,0.8,0.8,-0.02,-2.44,22301000,17840800,25
2012-05-24,0.8,0.8,0.8,0.8,0.0,0.0,1760263,1408210,3
2012-05-27,0.81,0.79,0.81,0.79,0.01,1.25,26400000,21344000,21
2012-05-28,0.81,0.81,0.82,0.81,0.0,0.0,23250000,18870000,11
2012-05-29,0.81,0.81,0.81,0.81,0.0,0.0,14350000,11623500,8
2012-05-30,0.84,0.84,0.84,0.84,0.03,3.7,500000,420000,1
2012-06-03,0.8,0.8,0.8,0.8,-0.04,-4.76,3000000,2400000,5
2012-06-04,0.8,0.8,0.8,0.8,0.0,0.0,2000000,1600000,1
2012-06-05,0.8,0.8,0.8,0.8,0.0,0.0,5000000,4000000,2
2012-06-06,0.8,0.8,0.8,0.8,0.0,0.0,29231195,23384956,14
2012-06-12,0.79,0.79,0.79,0.79,-0.01,-1.25,1500000,1185000,2
2012-06-17,0.77,0.77,0.77,0.77,-0.02,-2.53,500000,385000,1
