Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-10,0,2.25,2.25,2.25,0,0.00%,,562500,1
2010-01-17,0,2,2,2,0,0.00%,,500000,1
2010-01-20,0,2.25,2.25,2.25,0,0.00%,,65250,1
2010-01-24,0,2.3,2.35,2.3,0,0.00%,,9350000,3
2010-01-25,0,2.6,2.6,2.2,0,0.00%,,16196000,7
2010-01-26,0,2.3,2.3,2.3,0,0.00%,,2300000,2
2010-01-28,0,2.3,2.3,2.3,0,0.00%,,1396100,3
2010-02-02,0,2.3,2.3,2.3,0,0.00%,,460000,1
2010-02-16,0,2.1,2.1,2.1,0,0.00%,,1050000,1
2010-02-22,0,2.1,2.1,2.05,0,0.00%,,3290000,5
2010-02-23,0,2.05,2.05,2.05,0,0.00%,,98400,1
2010-03-09,0,2.1,2.1,2.1,0,0.00%,,585900,1
2010-03-11,0,2.15,2.15,2.15,0,0.00%,,86000,1
2010-03-22,0,1.9,1.9,1.9,0,0.00%,,874000,1
2010-04-05,0,2,2,2,0,0.00%,,600000,1
2010-04-21,0,2,2,2,0,0.00%,,200000,1
2010-05-09,0,2,2,2,0,0.00%,,120000,1
2010-05-13,0,1.8,1.8,1.8,0,0.00%,,972000,3
2010-05-27,0,1.66,1.66,1.66,0,0.00%,,124500,2
2010-06-13,0,1.55,1.55,1.55,0,0.00%,,139500,1
2010-06-16,0,1.7,1.7,1.7,0,0.00%,,425000,1
2010-07-06,0,1.75,1.75,1.75,0,0.00%,,15415750,2
2010-07-13,0,1.91,1.91,1.75,0,0.00%,,3882000,3
2010-07-18,0,1.9,1.9,1.9,0,0.00%,,380000,1
2010-07-20,0,1.9,1.9,1.9,0,0.00%,,475000,1
2010-07-22,0,1.83,1.83,1.82,0,0.00%,,1825000,2
2010-07-26,0,1.83,1.84,1.8,0,0.00%,,5956053,6
2010-07-29,0,1.8,1.8,1.8,0,0.00%,,900000,1
2010-08-03,0,1.8,1.85,1.8,0,0.00%,,221000,2
2010-08-04,0,1.85,1.85,1.85,0,0.00%,,370000,1
2010-08-09,0,1.8,1.8,1.8,0,0.00%,,360000,1
2010-08-11,0,1.85,1.85,1.85,0,0.00%,,1850000,3
2010-09-02,0,1.8,1.8,1.8,0,0.00%,,180000,1
2010-10-28,0,1.9,1.9,1.85,0,0.00%,,10200000,2
2010-10-31,0,2,2,2,0,0.00%,,20000,1
2010-11-01,0,2.05,2.06,2.05,0,0.00%,,10456000,3
2010-11-02,0,2.11,2.11,2.11,0,0.00%,,316500,1
2010-11-03,0,2.16,2.3,2.16,0,0.00%,,2725400,5
2010-11-04,0,2.36,2.36,2.35,0,0.00%,,24680000,6
2010-11-08,0,2.31,2.31,2.3,0,0.00%,,6350900,4
2010-11-09,0,2.3,2.3,2.3,0,0.00%,,641700,1
2010-11-10,0,2.3,2.3,2.3,0,0.00%,,11500000,2
2010-11-22,0,2.5,2.5,2.5,0,0.00%,,250000,1
2010-11-24,0,2.5,2.5,2.5,0,0.00%,,2125000,1
2010-11-29,0,2.6,2.6,2.6,0,0.00%,,1300000,1
2010-11-30,0,2.6,2.6,2.6,0,0.00%,,910000,2
2010-12-02,0,2.65,2.86,2.65,0,0.00%,,5183000,3
2010-12-12,0,2.85,2.85,2.85,0,0.00%,,5700000,1
2010-12-15,0,2.85,2.85,2.85,0,0.00%,,2209611,1
2010-12-19,0,2.98,2.98,2.98,0,0.00%,,5185200,1
2010-12-21,0,3.05,3.1,3.05,0,0.00%,,1537000,3
2011-01-04,0,3.24,3.25,3.24,0,0.00%,,58160,2
2011-01-05,0,3.5,3.5,3.5,0,0.00%,,27741,1
2011-01-09,0,3.6,3.6,3.6,0,0.00%,,36000,1
2011-01-10,0,3.6,3.6,3.6,0,0.00%,,720000,1
2011-01-12,0,3.6,3.6,3.6,0,0.00%,,50371466,2
2011-01-16,0,3.65,3.7,3.64,0,0.00%,,77225000,6
2011-01-17,0,3.64,3.64,3.64,0,0.00%,,36400000,2
2011-01-18,0,3.64,3.64,3.6,0,0.00%,,19640000,4
2011-01-23,0,3.6,3.6,3.6,0,0.00%,,3600000,2
2011-01-25,0,3.6,3.6,3.6,0,0.00%,,396000,2
2011-01-30,0,3.6,3.6,3.6,0,0.00%,,18000000,1
2011-02-13,0,3.4,3.4,3.4,0,0.00%,,23800000,1
2011-02-14,0,3.4,3.5,3.4,0,0.00%,,17644343,4
2011-02-22,0,3.41,3.75,3.41,0,0.00%,,954800,3
2011-03-06,0,3.7,3.7,3.7,0,0.00%,,111000,1
2011-03-15,0,3.33,3.33,3.33,0,0.00%,,99900,1
2011-03-28,0,3.33,3.33,3.33,0,0.00%,,99900,1
2011-03-29,0,3.33,3.33,3.33,0,0.00%,,9077580,2
2011-03-30,0,3.35,3.35,3.35,0,0.00%,,6700000,1
2011-03-31,0,3.35,3.35,3.35,0,0.00%,,13400000,1
2011-04-06,0,3.02,3.02,3.02,0,0.00%,,2899200,1
2011-04-17,0,3.02,3.02,3.02,0,0.00%,,135900,1
2011-04-21,0,3.32,3.32,3.32,0,0.00%,,99600,1
2011-04-25,0,3.25,3.25,3.25,0,0.00%,,3022500,2
2011-04-27,0,3.25,3.25,3.01,0,0.00%,,55332500,8
2011-04-28,0,3.25,3.25,3.2,0,0.00%,,5270120,4
2011-05-04,0,3.05,3.05,3,0,0.00%,,4310000,5
2011-05-08,0,3.1,3.1,3,0,0.00%,,24557500,13
2011-05-09,0,3,3,3,0,0.00%,,3000000,1
2011-05-10,0,3,3,3,0,0.00%,,600000,1
2011-05-11,0,3.01,3.05,3,0,0.00%,,34506407,9
2011-05-12,0,3.15,3.15,3.15,0,0.00%,,315000,2
2011-05-18,0,3,3,3,0,0.00%,,150000,1
2011-05-22,0,2.9,2.9,2.9,0,0.00%,,5075000,6
2011-05-23,0,2.75,2.8,2.75,0,0.00%,,5550000,3
2011-05-26,0,2.86,2.86,2.86,0,0.00%,,715000,1
2011-05-29,0,2.86,2.86,2.86,0,0.00%,,2945800,1
2011-05-30,0,2.86,2.86,2.86,0,0.00%,,3575000,4
2011-06-01,0,3,3,3,0,0.00%,,2250000,1
2011-06-02,0,3.1,3.1,3.1,0,0.00%,,775000,2
2011-06-06,0,3.1,3.1,3.1,0,0.00%,,775000,1
2011-06-08,0,3.1,3.1,3.1,0,0.00%,,378200,1
2011-06-09,0,3.2,3.2,3.2,0,0.00%,,320000,1
2011-06-12,0,3.15,3.15,3.15,0,0.00%,,315000,1
2011-06-13,0,3.1,3.1,3.1,0,0.00%,,930000,2
2011-07-07,0,3.1,3.1,3.1,0,0.00%,,31000,1
2011-07-26,0,2.79,2.79,2.79,0,0.00%,,558000,2
2011-08-22,0,2.79,2.79,2.79,0,0.00%,,41850,1
2011-09-04,0,2.6,2.6,2.6,0,0.00%,,57200,1
2011-09-06,0,2.6,2.6,2.6,0,0.00%,,520000,1
2011-09-19,0,2.34,2.34,2.34,0,0.00%,,1492920,3
2011-09-20,0,2.3,2.3,2.3,0,0.00%,,69000,1
2011-09-21,0,2.3,2.4,2.3,0,0.00%,,6511520,3
2011-09-26,0,2.4,2.4,2.4,0,0.00%,,240000,1
2011-09-29,0,2.4,2.4,2.4,0,0.00%,,240000,1
