Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-04,42.0,40.0,41.8,40.0,,,68000,2756000,3
2011-12-05,45.0,45.0,45.0,45.0,3.0,7.14,20000,900000,4
2011-12-07,49.5,49.5,49.5,49.5,4.5,10.0,12169,602366,3
2011-12-08,54.45,54.45,54.45,54.45,4.95,10.0,14000,762300,3
2011-12-11,59.89,59.89,59.89,59.89,5.44,9.99,11200,670768,2
2011-12-12,65.87,65.87,65.87,65.87,5.98,9.98,3000,197610,2
2011-12-13,72.45,72.45,72.45,72.45,6.58,9.99,45000,3260250,6
2011-12-14,79.69,79.69,79.69,79.69,7.24,9.99,1000,79690,1
2011-12-15,87.65,87.65,87.65,79.25,7.96,9.99,40300,3495595,11
2011-12-18,86.0,87.7,90.0,78.89,-1.65,-1.88,152871,13030226,13
2011-12-19,84.9,87.95,87.95,78.5,-1.1,-1.28,63200,5119330,10
2011-12-20,76.41,77.0,77.0,76.41,-8.49,-10.0,117500,8987025,4
2012-01-03,84.05,84.05,84.05,84.05,7.64,10.0,1000,84050,1
2012-01-04,75.65,75.65,75.65,75.65,-8.4,-9.99,1000,75650,1
2012-01-05,68.09,68.09,68.09,68.09,-7.56,-9.99,1000,68090,1
2012-01-08,61.29,61.29,61.29,61.29,-6.8,-9.99,1000,61290,1
2012-01-10,55.2,59.05,60.0,55.2,-6.09,-9.94,131000,7278800,5
2012-01-11,60.72,52.26,60.72,52.26,5.52,10.0,220289,12755682,19
2012-01-15,66.79,60.72,66.79,60.72,6.07,10.0,9000,576830,2
2012-01-16,72.0,72.0,72.0,72.0,5.21,7.8,239,17208,1
2012-01-17,72.0,72.0,72.0,72.0,0.0,0.0,143573,10337256,1
2012-01-18,64.8,64.8,64.8,64.8,-7.2,-10.0,50000,3240000,1
2012-01-19,58.32,58.32,58.32,58.32,-6.48,-10.0,11000,641520,2
2012-01-22,52.49,52.5,52.5,52.49,-5.83,-10.0,13000,682430,4
2012-01-23,50.05,47.25,50.05,47.25,-2.44,-4.65,15000,736750,3
2012-01-24,55.05,55.0,55.05,55.0,5.0,9.99,115000,6327250,10
2012-01-26,55.0,55.0,55.0,55.0,-0.05,-0.09,20000,1100000,1
2012-01-29,52.0,52.0,52.0,52.0,-3.0,-5.45,10000,520000,1
2012-01-30,52.0,52.0,52.0,52.0,0.0,0.0,20000,1040000,1
2012-01-31,52.0,52.0,52.1,52.0,0.0,0.0,278337,14475024,6
2012-02-01,57.0,52.0,57.0,52.0,5.0,9.62,68567,3681001,8
2012-02-02,62.7,60.0,62.7,60.0,5.7,10.0,382947,23065037,9
2012-02-06,61.9,57.0,62.0,57.0,-0.8,-1.28,161257,9951249,8
