Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,15.0,15.4,15.4,15.4,,,100000,1540000,1
2011-12-04,15.0,15.0,15.0,15.0,0.0,0.0,850000,12750000,9
2011-12-05,15.0,15.0,15.0,15.0,0.0,0.0,1100000,16500000,7
2011-12-07,15.0,15.0,15.0,15.0,0.0,0.0,1300000,19500000,9
2011-12-08,15.0,15.0,15.1,15.0,0.0,0.0,1210000,18151000,8
2011-12-13,15.02,15.02,15.02,15.02,0.02,0.13,25000,375500,1
2011-12-14,15.0,15.0,15.0,15.0,-0.02,-0.13,5000,75000,1
2011-12-15,15.1,15.0,15.1,15.0,0.1,0.67,450000,6760000,6
2011-12-18,15.0,15.0,15.0,15.0,-0.1,-0.66,200000,3000000,2
2012-01-03,14.5,14.5,14.5,14.5,-0.5,-3.33,143333,2078328,4
2012-01-04,14.5,14.5,14.5,14.5,0.0,0.0,130567,1893222,1
2012-01-09,14.5,14.5,14.5,14.5,0.0,0.0,19446,281967,1
2012-01-10,14.5,14.5,14.5,14.5,0.0,0.0,25000,362500,1
2012-01-11,14.5,14.5,14.5,14.5,0.0,0.0,137500,1993750,3
2012-01-17,14.3,14.3,14.3,14.0,-0.2,-1.38,185000,2619250,5
2012-01-18,14.1,14.25,14.25,14.1,-0.2,-1.4,225000,3176250,6
2012-01-23,14.1,14.1,14.1,14.1,0.0,0.0,200000,2820000,2
2012-01-25,14.1,14.1,14.1,14.1,0.0,0.0,200000,2820000,2
2012-01-26,13.75,13.7,14.0,13.7,-0.35,-2.48,287500,3982400,5
2012-01-29,13.8,13.9,13.9,13.8,0.05,0.36,200000,2770000,2
2012-01-30,13.6,13.6,13.6,13.6,-0.2,-1.45,300000,4080000,2
2012-02-01,13.65,13.5,13.65,13.5,0.05,0.37,6301,85595,2
2012-02-02,14.15,13.8,14.15,13.8,0.5,3.66,432480,6036970,14
2012-02-06,14.1,14.2,14.3,14.1,-0.05,-0.35,412480,5862966,11
2012-02-07,14.1,14.1,14.1,14.1,0.0,0.0,134056,1890190,5
2012-02-09,14.0,14.1,14.1,14.0,-0.1,-0.71,275000,3873250,6
2012-02-13,14.0,14.0,14.0,14.0,0.0,0.0,25000,350000,1
2012-02-16,13.95,13.95,13.95,13.95,-0.05,-0.36,251766,3512136,7
2012-02-19,13.95,13.95,13.95,13.95,0.0,0.0,236786,3303165,5
2012-02-20,13.9,13.9,13.9,13.8,-0.05,-0.36,198437,2755931,7
2012-02-21,14.0,13.9,14.0,13.85,0.1,0.72,225581,3130634,5
2012-02-26,13.88,13.88,13.88,13.88,-0.12,-0.86,25000,347000,1
2012-02-27,13.88,13.88,13.88,13.88,0.0,0.0,219000,3039720,4
2012-02-29,13.88,13.88,13.88,13.85,0.0,0.0,285278,3958159,7
2012-03-05,13.88,13.88,13.88,13.88,0.0,0.0,2943207,40851713,9
2012-03-07,13.88,13.88,13.88,13.88,0.0,0.0,99089,1375355,7
2012-03-08,13.9,13.9,13.9,13.9,0.02,0.14,70742,983314,1
2012-03-12,13.8,13.86,13.86,13.8,-0.1,-0.72,125000,1729000,3
2012-03-14,13.8,13.8,13.8,13.8,0.0,0.0,524465,7237617,6
2012-03-19,13.8,13.8,13.8,13.8,0.0,0.0,32699,451246,2
2012-03-20,13.83,13.8,13.83,13.8,0.03,0.22,245529,3390246,4
2012-04-03,15.1,14.2,15.1,14.2,1.27,9.18,522000,7614750,14
2012-04-08,13.59,14.0,14.0,13.59,-1.51,-10.0,200000,2759000,2
2012-04-09,14.0,14.0,14.0,14.0,0.41,3.02,162000,2268000,2
2012-04-10,14.0,14.0,14.0,14.0,0.0,0.0,5513,77182,1
2012-04-15,14.0,14.0,14.0,14.0,0.0,0.0,72917,1020838,1
2012-04-16,14.1,14.0,14.1,14.0,0.1,0.71,108333,1520412,3
2012-04-17,13.7,13.5,13.71,13.5,-0.4,-2.84,626023,8471877,10
2012-04-19,13.6,13.6,13.6,13.6,-0.1,-0.73,75751,1030214,1
2012-04-22,14.96,14.96,14.96,14.96,1.36,10.0,123991,1854905,2
2012-04-23,14.96,14.96,14.96,14.96,0.0,0.0,95746,1432360,7
2012-04-24,15.99,15.95,16.0,15.95,1.03,6.89,221766,3539688,5
2012-04-25,15.74,15.74,15.75,15.74,-0.25,-1.56,125000,1968215,3
2012-04-26,15.1,15.0,15.1,14.95,-0.64,-4.07,1215972,18260467,15
2012-04-29,15.0,15.0,15.0,14.99,-0.1,-0.66,250000,3749750,4
2012-05-02,14.5,14.75,14.75,14.25,-0.5,-3.33,504028,7370219,8
2012-05-03,14.0,14.5,14.5,13.99,-0.5,-3.45,2127619,29870590,11
2012-05-21,10.0,9.75,10.0,9.75,-4.0,-28.57,320000,3193750,5
2012-05-22,10.0,10.0,10.0,10.0,0.0,0.0,10000,100000,1
2012-05-23,9.5,9.5,9.5,9.5,-0.5,-5.0,25000,237500,1
