Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,27.0,26.75,27.25,26.75,,,385000,10376250,8
2011-12-07,26.5,26.5,26.5,26.5,-0.5,-1.85,50000,1325000,2
2011-12-08,26.25,26.25,26.25,26.25,-0.25,-0.94,207500,5446875,2
2011-12-12,26.95,27.0,27.0,26.95,0.7,2.67,433578,11694927,3
2011-12-15,26.75,26.75,26.75,26.75,-0.2,-0.74,100000,2675000,1
2011-12-18,26.5,27.0,27.0,26.5,-0.25,-0.93,70000,1880000,2
2012-01-03,26.5,26.5,26.5,26.5,0.0,0.0,20000,530000,1
2012-01-08,25.6,26.0,26.0,25.6,-0.9,-3.4,125000,3240000,3
2012-01-15,26.0,26.0,26.0,26.0,0.4,1.56,10000,260000,1
2012-01-17,26.0,26.0,26.0,26.0,0.0,0.0,10000,260000,1
2012-01-23,26.0,26.0,26.0,26.0,0.0,0.0,33500,871000,1
2012-01-31,25.0,25.25,25.25,25.0,-1.0,-3.85,200000,5025000,5
2012-02-01,25.0,25.0,25.0,25.0,0.0,0.0,100000,2500000,1
2012-02-02,25.0,25.0,25.0,25.0,0.0,0.0,20000,500000,1
2012-02-06,26.35,26.0,26.35,26.0,1.35,5.4,102000,2652700,2
2012-02-07,26.35,26.35,26.35,26.35,0.0,0.0,64000,1686400,1
2012-02-08,26.5,26.01,26.5,26.01,0.15,0.57,352000,9241500,6
2012-02-14,26.0,26.0,26.0,26.0,-0.5,-1.89,75000,1950000,2
2012-02-19,26.0,26.0,26.0,26.0,0.0,0.0,270372,7029672,7
2012-02-20,25.0,25.0,25.0,25.0,-1.0,-3.85,50000,1250000,1
2012-02-26,26.0,26.0,26.0,26.0,1.0,4.0,10250,266500,1
2012-02-27,26.0,26.0,26.0,26.0,0.0,0.0,420000,10920000,1
2012-02-28,26.0,26.0,26.0,26.0,0.0,0.0,91000,2366000,2
2012-03-01,26.0,26.0,26.0,26.0,0.0,0.0,40000,1040000,2
2012-03-11,25.5,25.5,25.5,25.5,-0.5,-1.92,5150,131325,1
2012-03-20,25.5,25.5,25.5,25.5,0.0,0.0,5250,133875,1
2012-04-25,25.5,25.5,25.5,25.5,0.0,0.0,182554,4655127,6
2012-04-26,25.5,25.5,25.5,25.5,0.0,0.0,2000,51000,1
2012-05-10,25.15,25.15,25.15,25.15,-0.35,-1.37,95000,2389250,4
2012-05-14,24.5,24.5,24.5,24.5,-0.65,-2.58,44000,1078000,2
2012-05-21,24.5,24.5,24.5,24.5,0.0,0.0,100000,2450000,2
2012-05-22,24.7,24.7,24.7,24.7,0.2,0.82,25000,617500,1
2012-05-27,24.5,24.5,24.5,24.5,-0.2,-0.81,174750,4281375,6
2012-05-28,24.5,24.5,24.5,24.5,0.0,0.0,50000,1225000,3
2012-05-29,25.0,24.5,25.0,24.5,0.5,2.04,39000,970500,3
2012-05-30,27.5,25.0,27.5,25.0,2.5,10.0,252864,6795896,12
2012-06-03,28.5,29.4,29.4,28.5,1.0,3.64,525000,15234000,8
2012-06-05,27.4,27.4,27.4,27.4,-1.1,-3.86,100000,2740000,2
2012-06-06,27.8,27.5,27.8,27.5,0.4,1.46,20000,553000,2
2012-06-07,27.5,27.5,27.5,27.5,-0.3,-1.08,25000,687500,1
2012-06-24,29.0,29.0,29.0,29.0,1.5,5.45,25000,725000,1
2012-06-25,29.1,29.0,29.1,29.0,0.1,0.34,179166,5204231,6
2012-06-26,29.1,29.1,29.1,29.1,0.0,0.0,45516,1324516,3
2012-06-27,30.0,29.11,30.0,29.11,0.9,3.09,310932,9190131,6
2012-06-28,30.0,30.0,30.0,30.0,0.0,0.0,141864,4255920,10
2012-07-01,30.0,30.0,31.2,30.0,0.0,0.0,517021,15528630,11
2012-07-02,31.9,30.0,31.9,30.0,1.9,6.33,170000,5377000,5
2012-07-03,31.25,31.49,31.49,31.25,-0.65,-2.04,60000,1877400,2
2012-07-05,30.6,30.25,30.75,30.25,-0.65,-2.08,1202937,36789872,15
2012-07-08,30.5,30.5,30.5,30.5,-0.1,-0.33,15000,457500,2
2012-07-09,30.25,28.7,30.25,28.7,-0.25,-0.82,96250,2882362,6
2012-07-25,15.5,12.0,15.5,12.0,-14.75,-48.76,10000,137500,2
2012-07-30,17.05,17.05,17.05,17.05,1.55,10.0,1000,17050,1
2012-07-31,18.75,18.74,18.75,18.74,1.7,9.97,70000,1312350,3
2012-08-05,20.5,19.75,20.62,19.75,1.75,9.33,950408,19568113,23
2012-08-06,20.0,20.0,20.0,20.0,-0.5,-2.44,165000,3300000,7
2012-08-07,19.8,20.0,20.0,19.8,-0.2,-1.0,721750,14415500,20
2012-08-08,19.9,19.9,19.9,19.9,0.1,0.51,5000,99500,1
2012-08-15,19.5,19.65,19.65,19.5,-0.4,-2.01,45000,880500,2
2012-08-28,19.5,19.5,19.5,19.5,0.0,0.0,250000,4875000,1
2012-08-29,19.05,19.5,19.5,19.05,-0.45,-2.31,250000,4854750,4
2012-09-03,19.0,19.0,19.0,19.0,-0.05,-0.26,22000,418000,1
2012-09-05,18.75,18.75,18.75,18.75,-0.25,-1.32,25000,468750,1
2012-09-06,18.05,18.25,18.25,18.05,-0.7,-3.73,225000,4086450,4
2012-09-09,17.5,18.1,18.1,17.5,-0.55,-3.05,305605,5427950,13
2012-09-11,18.0,18.5,18.5,18.0,0.5,2.86,60000,1085000,2
2012-09-18,18.25,18.25,18.25,18.05,0.25,1.39,650000,11835000,7
