Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2014-04-20,5.39,5.37,5.39,5.37,0,0.00%,,14582160,
2014-04-21,5.42,5.39,5.42,5.39,0.03,0.56%,,138414678,
2014-04-22,5.48,5.42,5.48,5.42,0.06,1.11%,,23029952,
2014-04-23,5.49,5.45,5.49,5.45,0.01,0.18%,,34215280,
2014-04-24,5.52,5.49,5.52,5.46,0.03,0.55%,,58825156,
2014-05-04,5.47,5.5,5.54,5.47,-0.05,-0.91%,,76123400,
2014-05-05,5.6,5.5,5.6,5.5,0.13,2.38%,,48956508,
2014-05-06,5.5,5.5,5.5,5.5,-0.1,-1.79%,,64350000,
2014-05-07,5.5,5.47,5.5,5.47,0,0.00%,,46149264,
2014-05-08,5.54,5.5,5.54,5.5,0.04,0.73%,,45249200,
2014-05-11,5.59,5.54,5.59,5.5,0.05,0.90%,,21985500,
2014-05-12,5.55,5.57,5.57,5.55,-0.04,-0.72%,,2780000,
2014-05-13,5.58,5.58,5.58,5.58,0.03,0.54%,,6975000,
2014-05-14,5.63,5.58,5.63,5.58,0.05,0.90%,,25814378,
2014-05-15,5.65,5.65,5.7,5.62,0.02,0.36%,,88229267,
2014-05-18,5.66,5.75,5.75,5.66,0.01,0.18%,,4023291,
2014-05-19,5.77,5.75,5.8,5.7,0.11,1.94%,,23354012,
2014-05-20,5.75,5.77,5.78,5.7,-0.02,-0.35%,,83880536,
2014-05-21,5.63,5.71,5.71,5.6,-0.12,-2.09%,,77538864,
2014-05-22,5.6,5.68,5.68,5.6,-0.03,-0.53%,,8591600,
2014-05-26,5.73,5.6,5.74,5.6,0.13,2.32%,,38485544,
2014-05-27,5.72,5.75,5.75,5.71,-0.01,-0.17%,,9984487,
2014-05-28,5.71,5.71,5.71,5.69,-0.01,-0.17%,,18250500,
2014-05-29,5.77,5.71,5.77,5.36,0.06,1.05%,,107097650,
2014-06-01,5.73,5.8,5.8,5.73,-0.04,-0.69%,,2923500,
2014-06-02,5.75,5.7,5.75,5.67,0.02,0.35%,,33401718,
2014-06-03,5.74,5.69,5.74,5.69,-0.01,-0.17%,,54459671,
2014-06-04,5.74,5.73,5.74,5.73,0,0.00%,,11841987,
2014-06-05,5.72,5.7,5.72,5.7,-0.02,-0.35%,,14365235,
2014-06-08,5.73,5.7,5.73,5.7,0.01,0.17%,,28742428,
2014-06-09,5.72,5.7,5.72,5.7,-0.01,-0.17%,,15421328,
2014-06-10,5.72,5.7,5.72,5.7,0,0.00%,,23147224,
2014-06-11,5.65,5.65,5.65,5.65,-0.07,-1.22%,,11300000,
2014-06-12,5.55,5.58,5.58,5.5,-0.1,-1.77%,,36110000,
2014-06-15,5,5,5,5,-0.55,-9.91%,,3000000,
2014-06-16,4.5,4.5,4.5,4.5,-0.5,-10.00%,,110719272,
2014-06-17,4.75,4.75,4.75,4.75,0.25,5.56%,,9975000,
2014-06-18,4.75,4.75,4.75,4.5,0,0.00%,,81165000,
2014-06-19,4.7,4.7,4.7,4.7,-0.05,-1.05%,,14131659,
2014-06-22,4.5,4.65,4.65,4.5,-0.2,-4.26%,,9973513,
2014-06-23,4.3,4.4,4.4,4.3,-0.2,-4.44%,,11875000,
2014-06-24,4.25,4,4.25,3.9,-0.05,-1.16%,,44657349,
2014-06-25,4.35,4.1,4.35,4.1,0.1,2.35%,,42080000,
2014-06-26,4.78,4.55,4.78,4.55,0.43,9.89%,,32877850,
2014-07-21,4.35,4.32,4.35,4.32,-0.43,-9.00%,,7394615,
2014-07-23,4,4,4,4,-0.35,-8.05%,,435368,
2014-07-24,4.1,3.9,4.1,3.85,0.1,2.50%,,37084088,
2014-08-10,3.95,3.95,3.95,3.95,-0.15,-3.66%,,7900000,
2014-08-11,3.56,3.75,3.75,3.56,-0.39,-9.87%,,13826500,
2014-08-12,3.73,3.7,3.75,3.7,0.17,4.78%,,4781598,
2014-08-13,3.68,3.8,3.8,3.68,-0.05,-1.34%,,19600940,
2014-08-14,3.75,3.7,3.75,3.7,0.07,1.90%,,16054138,
2014-08-17,4.1,3.85,4.1,3.83,0.35,9.33%,,232890880,
2014-08-18,4,4.1,4.1,3.9,-0.1,-2.44%,,29798420,
2014-08-19,3.94,3.9,3.94,3.9,-0.06,-1.50%,,48072000,
2014-08-20,3.9,3.98,3.98,3.9,-0.04,-1.02%,,51108092,
2014-08-21,3.85,3.89,3.89,3.85,-0.05,-1.28%,,23103400,
2014-08-24,3.92,3.92,3.92,3.92,0.07,1.82%,,333200,
2014-08-25,3.85,3.85,3.85,3.82,-0.07,-1.79%,,12699713,
2014-08-26,3.85,3.82,3.85,3.8,0,0.00%,,41011820,
2014-08-27,3.88,3.75,3.88,3.75,0.03,0.78%,,15906563,
2014-08-28,3.87,3.82,3.87,3.82,-0.01,-0.26%,,23113500,
2014-08-31,3.85,3.85,3.85,3.85,-0.02,-0.52%,,36940072,
2014-09-01,3.9,3.88,3.9,3.88,0.05,1.30%,,27060332,
2014-09-02,3.89,3.9,3.9,3.8,-0.01,-0.26%,,27434000,
2014-09-03,3.89,3.89,3.89,3.89,0,0.00%,,1945000,
2014-09-04,3.84,3.89,3.89,3.84,-0.05,-1.29%,,19343792,
2014-09-09,3.85,3.85,3.85,3.85,0.01,0.26%,,4235000,
2014-09-11,3.8,3.82,3.82,3.8,-0.05,-1.30%,,17885794,
2014-09-14,3.8,3.85,3.85,3.8,0,0.00%,,40695200,
2014-09-15,3.8,3.8,3.8,3.75,0,0.00%,,55108264,
2014-09-16,3.8,3.75,3.8,3.7,0,0.00%,,58526880,
2014-09-17,3.8,3.75,3.8,3.74,0,0.00%,,34726896,
2014-09-18,3.83,3.75,3.83,3.75,0.03,0.79%,,10990282,
