Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2011-12-01,3.0,2.95,2.96,2.95,,,1000000,2951000,2
2011-12-04,3.0,2.95,2.95,2.95,0.0,0.0,1000000,2950000,1
2011-12-05,2.95,2.95,2.95,2.95,-0.05,-1.67,100000,295000,1
2011-12-08,3.0,3.0,3.0,3.0,0.05,1.69,50000,150000,1
2011-12-11,2.95,3.0,3.0,2.95,-0.05,-1.67,1310000,3865000,2
2011-12-13,2.95,2.95,2.95,2.95,0.0,0.0,10319420,30442289,2
2011-12-15,2.95,2.95,2.95,2.95,0.0,0.0,953026,2811427,9
2011-12-18,2.9,2.9,2.9,2.9,-0.05,-1.69,350000,1015000,2
2011-12-20,2.9,2.91,2.91,2.9,0.0,0.0,2793750,8109875,10
2012-01-03,2.9,2.9,2.9,2.9,0.0,0.0,750000,2175000,2
2012-01-04,2.85,2.85,2.85,2.85,-0.05,-1.72,1012013,2884237,6
2012-01-05,2.85,2.85,2.85,2.85,0.0,0.0,125000,356250,2
2012-01-09,2.85,2.85,2.85,2.85,0.0,0.0,75000,213750,3
2012-01-10,2.85,2.85,2.85,2.85,0.0,0.0,850000,2422500,1
2012-01-16,2.85,2.85,2.85,2.85,0.0,0.0,82500,235125,2
2012-01-17,2.72,2.8,2.8,2.72,-0.13,-4.56,1415000,3887000,8
2012-01-18,2.7,2.72,2.72,2.7,-0.02,-0.74,800000,2175000,3
2012-01-19,2.55,2.56,2.56,2.55,-0.15,-5.56,1200000,3065000,5
2012-01-23,2.6,2.6,2.6,2.6,0.05,1.96,50000,130000,1
2012-01-25,2.6,2.6,2.6,2.6,0.0,0.0,574000,1492400,4
2012-01-26,2.6,2.6,2.6,2.6,0.0,0.0,150000,390000,1
2012-01-31,2.55,2.55,2.55,2.55,-0.05,-1.92,50000,127500,1
2012-02-01,2.55,2.55,2.6,2.5,0.0,0.0,1960080,5060200,6
2012-02-02,2.7,2.7,2.7,2.7,0.15,5.88,100000,270000,1
2012-02-06,2.55,2.55,2.55,2.55,-0.15,-5.56,300000,765000,2
2012-02-09,2.55,2.55,2.55,2.55,0.0,0.0,10080,25704,1
2012-02-15,2.6,2.55,2.6,2.55,0.05,1.96,1125000,2912500,3
2012-02-16,2.7,2.73,2.73,2.7,0.1,3.85,100000,271500,2
2012-02-20,2.7,2.7,2.7,2.7,0.0,0.0,75000,202500,1
2012-02-22,2.55,2.69,2.69,2.55,-0.15,-5.56,5450000,14081340,22
2012-02-26,2.55,2.55,2.55,2.55,0.0,0.0,250000,637500,2
2012-02-27,2.55,2.55,2.55,2.54,0.0,0.0,1600000,4075000,7
2012-02-28,2.55,2.55,2.55,2.55,0.0,0.0,3687920,9404196,5
2012-02-29,2.55,2.55,2.55,2.55,0.0,0.0,650000,1657500,3
2012-03-01,2.56,2.56,2.56,2.56,0.01,0.39,500000,1280000,4
2012-03-04,2.56,2.56,2.56,2.56,0.0,0.0,250000,640000,2
2012-03-06,2.56,2.56,2.56,2.56,0.0,0.0,7008,17940,1
2012-03-11,2.54,2.55,2.55,2.54,-0.02,-0.78,450000,1145000,3
2012-03-12,2.55,2.53,2.55,2.53,0.01,0.39,379932,968728,2
2012-03-13,2.55,2.55,2.55,2.53,0.0,0.0,520568,1322448,4
2012-03-14,2.65,2.65,2.65,2.62,0.1,3.92,949500,2514690,7
