Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2017-02-09,5.63,5.63,5.64,5.6,0,0.00%,,49937220,
2017-02-12,5.53,5.58,5.58,5.52,-0.1,-1.78%,,25645158,
2017-02-13,5.6,5.52,5.62,5.52,0.07,1.27%,,51753508,
2017-02-14,5.63,5.63,5.65,5.63,0.03,0.54%,,11570000,
2017-02-15,5.58,5.63,5.63,5.58,-0.05,-0.89%,,8159318,
2017-02-16,5.55,5.58,5.58,5.55,-0.03,-0.54%,,9316750,
2017-02-19,5.54,5.55,5.56,5.54,-0.01,-0.18%,,16635600,
2017-02-20,5.56,5.54,5.56,5.52,0.02,0.36%,,17249878,
2017-02-21,5.65,5.6,5.66,5.6,0.09,1.62%,,48648900,
2017-02-22,5.7,5.65,5.7,5.65,0.05,0.88%,,30964500,
2017-02-23,5.78,5.75,5.78,5.72,0.08,1.40%,,44828800,
2017-02-26,5.88,5.8,5.88,5.8,0.1,1.73%,,54295112,
2017-02-27,5.9,5.9,5.96,5.84,0.02,0.34%,,45733340,
2017-02-28,5.84,5.9,5.97,5.83,-0.06,-1.02%,,21750458,
2017-03-01,5.83,5.85,5.86,5.83,-0.01,-0.17%,,23995000,
2017-03-02,5.8,5.88,5.88,5.8,-0.03,-0.51%,,13945096,
2017-03-05,5.89,5.75,5.89,5.75,0.09,1.55%,,32046870,
2017-03-06,5.87,5.89,5.96,5.86,-0.02,-0.34%,,62018900,
2017-03-07,5.8,5.8,5.85,5.8,-0.07,-1.19%,,8710000,
2017-03-08,5.81,5.8,5.81,5.8,0.01,0.17%,,8121000,
2017-03-09,5.8,5.79,5.8,5.79,-0.01,-0.17%,,4740192768,
2017-03-12,5.8,5.8,5.8,5.8,0,0.00%,,6090464256,
2017-03-13,5.75,5.75,5.75,5.74,-0.05,-0.86%,,8828000,
2017-03-14,5.65,5.6,5.65,5.51,-0.1,-1.74%,,18102200,
2017-03-15,5.7,5.67,5.73,5.67,0.05,0.88%,,16646500,
2017-03-16,5.69,5.69,5.69,5.69,-0.01,-0.18%,,7852200,
2017-03-20,5.6,5.6,5.6,5.6,-0.09,-1.58%,,16921246,
2017-03-22,5.45,5.6,5.6,5.4,-0.15,-2.68%,,16390000,
2017-03-23,5.56,5.45,5.65,5.45,0.11,2.02%,,15383788,
2017-03-26,5.59,5.59,5.59,5.59,0.03,0.54%,,1956500,
2017-03-27,5.54,5.56,5.56,5.54,-0.05,-0.89%,,15859171,
2017-03-28,5.4,5.45,5.45,5.4,-0.14,-2.53%,,3265822,
2017-03-29,5.4,5.4,5.4,5.4,0,0.00%,,2214000,
2017-03-30,5.4,5.4,5.4,5.38,0,0.00%,,4037000,
2017-04-02,5.45,5.4,5.45,5.4,0.05,0.93%,,1357000,
2017-04-04,5.45,5.45,5.45,5.45,0,0.00%,,694820,
2017-04-05,5.38,5.45,5.45,5.38,-0.07,-1.28%,,7726870,
2017-04-06,5.4,5.38,5.4,5.38,0.02,0.37%,,3695000,
2017-04-09,5.42,5.4,5.42,5.4,0.02,0.37%,,6757500,
2017-04-10,5.41,5.42,5.42,5.41,-0.01,-0.18%,,1515600,
2017-04-11,5.41,5.41,5.41,5.41,0,0.00%,,5248122,
2017-04-12,5.41,5.4,5.41,5.4,0,0.00%,,5750813,
2017-04-13,5.45,5.41,5.45,5.4,0.04,0.74%,,4077722,
2017-04-17,5.5,5.5,5.5,5.5,0.05,0.92%,,247500,
2017-04-18,5.61,5.5,5.62,5.5,0.11,2.00%,,18149442,
2017-04-19,5.52,5.63,5.63,5.52,-0.09,-1.60%,,2081000,
2017-04-20,5.46,5.46,5.47,5.46,-0.06,-1.09%,,8975030,
2017-04-24,5.41,5.54,5.54,5.41,-0.05,-0.92%,,11381424,
2017-04-25,5.41,5.41,5.42,5.41,0,0.00%,,6535780,
2017-04-26,5.4,5.41,5.41,5.4,-0.01,-0.18%,,7302000,
2017-05-08,5.4,5.42,5.42,5.4,0,0.00%,,6184041,
2017-05-10,5.25,5.25,5.25,5.2,-0.15,-2.78%,,4707500,
2017-05-11,5.15,5.24,5.24,5.15,-0.1,-1.90%,,12567900,
2017-05-14,5.1,5.15,5.15,5.1,-0.05,-0.97%,,1028915,
2017-05-15,5.1,5.1,5.1,5.1,0,0.00%,,408000,
2017-05-16,5.03,5.05,5.05,5.02,-0.07,-1.37%,,13450505,
2017-05-17,5,5,5,5,-0.03,-0.60%,,1750000,
2017-05-18,4.99,5,5,4.99,-0.01,-0.20%,,998400,
2017-05-22,4.95,4.95,4.95,4.95,-0.04,-0.80%,,2227500,
2017-05-23,5.15,4.99,5.2,4.99,0.2,4.04%,,40990440,
2017-05-24,5.3,5.25,5.3,5.25,0.15,2.91%,,7795000,
2017-05-25,5.3,5.3,5.3,5.3,0,0.00%,,2120000,
2017-05-28,5.2,5.24,5.24,5.2,-0.1,-1.89%,,2030400,
2017-05-29,5.2,5.21,5.21,5.2,0,0.00%,,4243000,
2017-05-30,5.2,5.2,5.25,5.15,0,0.00%,,27136500,
2017-05-31,5.29,5.2,5.29,5.2,0.09,1.73%,,24655900,
2017-06-01,5.2,5.22,5.22,5.2,-0.09,-1.70%,,33618000,
2017-06-04,5.21,5.2,5.21,5.2,0.01,0.19%,,81581296,
2017-06-05,5.39,5.21,5.45,5.21,0.18,3.45%,,9600506,
2017-06-07,5.4,5.35,5.4,5.35,0.01,0.19%,,60047184,
2017-06-08,5.35,5.35,5.35,5.35,-0.05,-0.93%,,1070000,
2017-06-11,5.35,5.35,5.35,5.35,0,0.00%,,11420533,
2017-06-12,5.4,5.4,5.4,5.37,0.05,0.93%,,8233049,
2017-06-13,5.4,5.45,5.45,5.4,0,0.00%,,2219000,
2017-06-15,5.29,5.3,5.3,5.2,-0.11,-2.04%,,37068000,
2017-06-18,5.25,5.29,5.29,5.25,-0.04,-0.76%,,422000,
2017-06-19,5.15,5.25,5.25,5.15,-0.1,-1.90%,,2075000,
2017-06-20,5.05,5.1,5.1,5.05,-0.1,-1.94%,,17495380,
2017-06-21,5.01,5,5.02,5,-0.04,-0.79%,,5354700,
2017-06-22,5.2,5,5.2,5,0.19,3.79%,,26846914,
2017-07-02,5.2,5.2,5.2,5.2,0,0.00%,,11180000,
2017-07-03,5.15,5.1,5.15,5.1,-0.05,-0.96%,,3472360,
2017-07-04,5.15,5.2,5.2,5.15,0,0.00%,,900484,
2017-07-05,5.15,5.15,5.15,5.14,0,0.00%,,16887792,
2017-07-06,5.13,5.15,5.15,5.13,-0.02,-0.39%,,4316644,
2017-07-09,5.13,5.13,5.13,5.13,0,0.00%,,1525682,
2017-07-12,5.1,5.1,5.1,5.1,-0.03,-0.58%,,3332488,
2017-07-13,5.1,5.1,5.1,5.1,0,0.00%,,510000,
2017-07-16,5.05,5.05,5.05,5.05,-0.05,-0.98%,,757500,
