Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2015-06-23,5.99,4,7.5,4,0,0.00%,,189481376,145
2015-06-24,6.2,5.5,6.69,5.5,0.21,3.51%,,84963856,76
2015-06-25,5.94,5.63,6,5.63,-0.26,-4.19%,,65971212,35
2015-06-28,5.45,5.6,5.6,5.35,-0.49,-8.25%,,53295000,14
2015-06-29,5.5,5,5.5,5,0.05,0.92%,,57846148,79
2015-06-30,5.2,5.1,5.29,5.1,-0.3,-5.45%,,63075552,36
2015-07-01,5.05,5.15,5.19,5.05,-0.15,-2.88%,,11657714,23
2015-07-02,5,4.99,5,4.99,-0.05,-0.99%,,27252990,49
2015-07-05,4.9,4.99,4.99,4.9,-0.1,-2.00%,,18725200,11
2015-07-06,4.8,4.85,4.89,4.77,-0.1,-2.04%,,29316386,54
2015-07-07,4.65,4.75,4.78,4.63,-0.15,-3.13%,,17881814,36
2015-07-08,4.6,4.59,4.6,4.59,-0.05,-1.08%,,12520400,16
2015-07-09,4.5,4.55,4.55,4.5,-0.1,-2.17%,,7445000,8
2015-07-12,4.5,4.48,4.5,4.48,0,0.00%,,10241408,24
2015-07-13,4.3,4.4,4.4,4.3,-0.2,-4.44%,,2804473,5
2015-07-15,4.19,4,4.29,3.9,-0.11,-2.56%,,25919585,23
2015-07-22,4.2,4.15,4.2,4.15,0.01,0.24%,,20647452,22
2015-07-23,4.1,4.1,4.1,4.1,-0.1,-2.38%,,22755000,18
2015-07-26,4.1,4,4.1,4,0,0.00%,,30106500,31
2015-07-27,4.09,4,4.1,4,-0.01,-0.24%,,61298252,26
2015-07-28,4,4,4,3.99,-0.09,-2.20%,,82139688,21
2015-07-29,3.9,4,4,3.89,-0.1,-2.50%,,58576144,17
2015-08-03,3.9,3.8,3.9,3.8,0,0.00%,,58721540,19
2015-08-04,3.9,3.9,3.9,3.9,0,0.00%,,9165000,4
2015-08-05,3.9,3.8,3.9,3.7,0,0.00%,,11908032,16
2015-08-06,3.9,3.9,3.9,3.9,0,0.00%,,8424000,6
2015-08-09,3.9,3.9,3.9,3.9,0,0.00%,,9126000,4
2015-08-10,3.9,3.89,3.9,3.89,0,0.00%,,9827671,5
2015-08-11,3.9,3.9,3.9,3.9,0,0.00%,,8892000,4
2015-08-12,3.8,3.8,3.8,3.8,-0.1,-2.56%,,11058000,5
2015-08-13,3.8,3.8,3.8,3.8,0,0.00%,,9348000,4
2015-08-16,3.8,3.75,3.8,3.75,0,0.00%,,14680993,21
2015-08-17,3.8,3.8,3.8,3.8,0,0.00%,,9044000,5
2015-08-18,3.69,3.7,3.7,3.69,-0.11,-2.89%,,12049750,7
2015-08-19,3.7,3.69,3.7,3.69,0.01,0.27%,,11681500,6
2015-08-20,3.7,3.69,3.7,3.68,0,0.00%,,9448977,7
2015-08-23,3.69,3.7,3.7,3.69,-0.01,-0.27%,,8287000,5
2015-08-24,3.7,3.69,3.7,3.69,0.01,0.27%,,8434000,5
2015-08-25,3.7,3.69,3.7,3.69,0,0.00%,,10137438,5
2015-08-26,3.6,3.6,3.6,3.6,-0.1,-2.70%,,7992000,3
2015-08-27,3.6,3.6,3.6,3.6,0,0.00%,,7812000,4
2015-08-30,3.6,3.6,3.6,3.6,0,0.00%,,6724883,2
2015-08-31,3.6,3.6,3.6,3.6,0,0.00%,,5688000,4
2015-09-01,3.6,3.6,3.6,3.6,0,0.00%,,8820000,3
2015-09-02,3.5,3.5,3.5,3.5,-0.1,-2.78%,,9905000,9
2015-09-03,3.5,3.49,3.5,3.49,0,0.00%,,8644000,9
2015-09-06,3.5,3.5,3.5,3.5,0,0.00%,,5740000,10
2015-09-07,3.5,3.49,3.5,3.49,0,0.00%,,5528938,10
2015-09-08,3.5,3.5,3.5,3.5,0,0.00%,,7560000,10
2015-09-09,3.5,3.49,3.5,3.49,0,0.00%,,8853938,12
2015-09-10,3.5,3.5,3.5,3.5,0,0.00%,,8295000,11
2015-09-13,3.5,3.5,3.5,3.5,0,0.00%,,4305000,8
2015-09-14,3.5,3.5,3.5,3.48,0,0.00%,,7109130,12
2015-09-15,3.5,3.5,3.5,3.5,0,0.00%,,5460000,10
2015-09-16,3.5,3.5,3.5,3.5,0,0.00%,,5355000,9
2015-09-17,3.5,3.5,3.5,3.5,0,0.00%,,4795000,7
2015-09-20,3.5,3.5,3.5,3.5,0,0.00%,,805000,7
2015-09-21,3.5,3.5,3.5,3.5,0,0.00%,,1470000,10
2015-09-22,3.5,3.5,3.5,3.5,0,0.00%,,525000,4
2015-09-29,3.5,3.5,3.5,3.5,0,0.00%,,560000,6
2015-09-30,3.5,3.5,3.5,3.5,0,0.00%,,595000,8
2015-10-01,3.4,3.5,3.5,3.4,-0.1,-2.86%,,1245250,8
2015-10-04,3.5,3.5,3.5,3.45,0.1,2.94%,,3620000,3
2015-10-05,3.5,3.5,3.5,3.5,0,0.00%,,122500,1
