Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2012-01-26,0.66,0.66,0.66,0.66,,,488010,322087,1
2012-05-13,0.6,0.6,0.6,0.6,-0.06,-9.09,800000,480000,1
2012-05-14,0.6,0.6,0.6,0.6,0.0,0.0,396817,238090,1
2012-09-12,0.6,0.6,0.6,0.6,0.0,0.0,1250000,750000,1
2012-10-08,0.6,0.6,0.6,0.6,0.0,0.0,942120,565272,4
2012-10-15,0.6,0.6,0.6,0.6,0.0,0.0,750000,450000,1
2012-10-18,0.66,0.66,0.66,0.66,0.06,10.0,1252575,826700,1
2012-11-11,0.66,0.66,0.66,0.66,0.0,0.0,109745,72432,1
2012-11-29,0.66,0.66,0.66,0.66,0.0,0.0,156775,103472,1
2013-09-02,0.7,0.7,0.7,0.7,0.04,6.06,198474,138932,2
2013-09-03,1.0,1.0,1.0,1.0,0.3,42.86,441618819,441618816,50
2013-09-04,1.0,0.9,1.0,0.9,0.0,0.0,1284492,1264645,2
2013-09-05,1.0,1.0,1.0,1.0,0.0,0.0,39194,39194,1
2013-09-11,1.0,1.0,1.0,1.0,0.0,0.0,156775,156775,1
2013-09-15,0.98,0.98,0.98,0.98,-0.02,-2.0,141098,138276,1
2013-09-16,1.0,1.0,1.0,1.0,0.02,2.04,29715638,29715638,2
2013-09-17,1.0,1.0,1.0,1.0,0.0,0.0,1262145,1262145,2
2013-09-19,1.0,1.0,1.0,1.0,0.0,0.0,100000,100000,1
2013-09-29,1.0,1.0,1.0,1.0,0.0,0.0,158429,158429,2
2013-10-13,0.95,0.95,0.95,0.95,-0.05,-5.0,1000000,950000,1
2013-11-07,1.15,0.85,1.15,0.85,0.2,21.05,7287445,7943600,4
2013-11-10,1.15,0.95,1.15,0.95,0.0,0.0,3339624,3641844,7
2013-11-12,1.2,1.0,1.2,1.0,0.05,4.35,13312500,15762500,3
2013-11-13,1.3,1.25,1.3,1.25,0.1,8.33,7309360,9318155,5
2013-11-17,1.3,1.05,1.3,1.05,0.0,0.0,1999655,2516522,3
2013-11-18,1.37,1.35,1.37,1.35,0.07,5.38,1131880,1533038,2
2013-11-19,1.3,1.4,1.4,1.3,-0.07,-5.11,312710,407794,4
2013-11-25,1.2,1.2,1.2,1.2,-0.1,-7.69,7945587,9534704,1
2013-11-26,1.44,1.44,1.44,1.44,0.24,20.0,500000,720000,2
2013-11-28,1.58,1.44,1.58,1.44,0.14,9.72,1268182,1978379,5
2013-12-01,1.8,1.75,1.8,1.75,0.22,13.92,1138977,2029312,6
2013-12-05,1.56,1.56,1.56,1.56,-0.24,-13.33,250000,390000,1
2013-12-08,1.6,1.6,1.6,1.6,0.04,2.56,100000,160000,1
2013-12-09,1.75,1.75,1.75,1.75,0.15,9.37,396816,694428,1
2013-12-10,1.85,1.85,1.85,1.85,0.1,5.71,375000,693750,2
2013-12-11,1.85,1.9,1.9,1.85,0.0,0.0,283150,531985,2
2013-12-18,1.53,1.53,1.53,1.53,-0.32,-17.3,625000,956250,1
2013-12-19,1.45,1.36,1.45,1.36,-0.08,-5.23,1617750,2204640,2
2013-12-22,1.57,1.42,1.57,1.42,0.12,8.28,2019510,3124166,16
2013-12-23,1.7,1.6,1.7,1.6,0.13,8.28,1363257,2201169,4
2013-12-26,1.52,1.52,1.52,1.52,-0.18,-10.59,313550,476596,1
2014-01-07,1.5,1.5,1.5,1.5,-0.02,-1.32,301380,452070,2
2014-01-15,1.3,1.3,1.3,1.3,-0.2,-13.33,940650,1222845,1
2014-01-16,1.56,1.56,1.56,1.56,0.26,20.0,199577,311340,1
2014-01-20,1.7,1.7,1.7,1.7,0.14,8.97,366708,623404,1
2014-01-23,2.0,2.0,2.0,2.0,0.3,17.65,357949,715898,6
2014-01-27,2.11,2.11,2.11,2.11,0.11,5.5,6100,12871,1
2014-01-29,2.25,2.25,2.25,2.25,0.14,6.64,113149,254585,3
2014-01-30,2.7,2.7,2.7,2.7,0.45,20.0,10000,27000,1
2014-02-17,2.49,2.7,2.7,2.45,-0.21,-7.78,4756775,12783099,3
2014-02-18,2.25,2.25,2.25,2.25,-0.24,-9.64,625410,1407172,4
2014-02-19,2.25,2.25,2.25,2.25,0.0,0.0,261849,589160,4
2014-02-20,2.35,2.35,2.35,2.35,0.1,4.44,125410,294714,1
2014-02-24,2.25,2.25,2.25,2.25,-0.1,-4.26,75209,169220,1
2014-02-25,2.7,2.7,2.7,2.7,0.45,20.0,500000,1350000,1
2014-03-09,1.75,1.8,1.8,1.75,-0.95,-35.19,1558679,2755622,3
2014-03-11,1.65,1.65,1.65,1.65,-0.1,-5.71,156775,258679,1
2014-03-18,1.6,1.5,1.6,1.5,-0.05,-3.03,1074227,1624463,4
2014-03-19,1.5,1.5,1.5,1.5,-0.1,-6.25,783875,1175812,1
2014-03-24,1.45,1.4,1.45,1.4,-0.05,-3.33,48849,70348,2
2014-03-25,1.45,1.45,1.45,1.45,0.0,0.0,396817,575385,1
2014-03-27,1.5,1.5,1.5,1.5,0.05,3.45,114903,172354,2
2014-03-30,1.5,1.5,1.5,1.5,0.0,0.0,39260628,58890942,4
2014-03-31,1.6,1.5,1.6,1.5,0.1,6.67,27396,43334,2
2014-04-01,1.5,1.5,1.5,1.5,-0.1,-6.25,3857562,5786343,4
2014-04-02,1.7,1.7,1.7,1.7,0.2,13.33,1127792,1917246,2
2014-04-03,1.7,1.7,1.7,1.7,0.0,0.0,3253608,5531134,6
2014-04-07,1.74,1.65,1.75,1.65,0.04,2.35,2733302,4691035,13
2014-04-08,1.61,1.65,1.65,1.61,-0.13,-7.47,1100000,1772845,3
2014-04-09,1.61,1.61,1.61,1.61,0.0,0.0,745438,1200155,1
2014-04-13,1.65,1.65,1.65,1.65,0.04,2.48,104167,171876,1
2014-04-16,1.6,1.6,1.6,1.6,-0.05,-3.03,46327,74123,5
2014-04-23,1.6,1.6,1.6,1.6,0.0,0.0,880905,1409448,3
2014-05-04,1.65,1.6,1.65,1.6,0.05,3.12,242489,393836,4
2014-05-07,1.7,1.7,1.7,1.7,0.05,3.03,13792,23446,1
2014-05-11,1.61,1.61,1.61,1.6,-0.09,-5.29,1700000,2731000,3
2014-05-21,1.6,1.6,1.6,1.6,-0.01,-0.62,5000,8000,1
2014-06-01,1.6,1.6,1.6,1.6,0.0,0.0,1000000,1600000,2
2014-06-03,1.6,1.6,1.6,1.6,0.0,0.0,484168,774669,1
2014-06-04,1.6,1.45,1.6,1.45,0.0,0.0,862552,1318000,5
2014-06-08,1.6,1.6,1.6,1.6,0.0,0.0,500000,800000,1
2014-07-13,1.28,1.28,1.28,1.28,-0.32,-20.0,76292,97654,2
2014-09-10,1.4,1.53,1.53,1.4,0.12,9.37,1000000,1465000,2
2014-09-14,1.4,1.3,1.4,1.25,0.0,0.0,2029759,2685998,6
2014-09-15,1.29,1.21,1.31,1.21,-0.11,-7.86,9760175,12037687,6
2014-09-16,1.24,1.21,1.24,1.21,-0.05,-3.88,3213958,3890389,2
2014-09-17,1.21,1.21,1.21,1.21,-0.03,-2.42,20667000,25007070,2
2014-09-21,1.37,1.4,1.4,1.3,0.16,13.22,752099,1023151,4
2014-09-22,1.22,1.22,1.22,1.22,-0.15,-10.95,235162,286898,1
2014-09-23,1.27,1.26,1.27,1.26,0.05,4.1,500000,633750,3
2014-09-28,1.3,1.3,1.3,1.3,0.03,2.36,140678,182881,1
2014-09-29,1.3,1.3,1.3,1.3,0.0,0.0,595521,774177,2
2014-09-30,1.35,1.35,1.35,1.35,0.05,3.85,1000000,1350000,1
2014-10-14,1.1,1.1,1.1,1.1,-0.25,-18.52,2355488,2591037,2
2014-10-15,1.0,1.0,1.0,1.0,-0.1,-9.09,25258,25258,1
2014-10-16,1.2,1.19,1.2,1.19,0.2,20.0,29931267,35625208,3
2015-03-18,2.0,1.75,2.0,1.75,0.8,66.67,100000,187500,2
2015-03-25,1.74,1.73,1.74,1.73,-0.26,-13.0,247034,428839,3
2015-03-26,1.74,1.4,1.74,1.4,0.0,0.0,533418,758147,2
2015-03-30,1.7,1.95,1.95,1.4,-0.04,-2.3,2256050,3190405,7
2015-04-01,1.95,1.95,1.95,1.95,0.25,14.71,14500,28275,1
2015-04-12,2.25,2.25,2.25,2.25,0.3,15.38,12400,27900,1
2015-04-14,2.5,2.5,2.5,2.5,0.25,11.11,10214,25535,1
2015-05-10,2.0,2.0,2.0,2.0,-0.5,-20.0,5000,10000,1
2015-05-18,2.0,2.0,2.0,2.0,0.0,0.0,250000,500000,1
2015-05-31,1.9,1.9,1.9,1.9,-0.1,-5.0,10000,19000,1
2015-07-07,1.75,1.75,1.75,1.75,-0.15,-7.89,100000,175000,1
2015-07-09,1.75,1.75,1.75,1.75,0.0,0.0,9600,16800,1
2015-07-12,1.7,1.5,1.7,1.5,-0.05,-2.86,350000,525761,4
2015-08-27,1.4,1.4,1.4,1.4,-0.3,-17.65,500000,700000,1
2015-09-07,1.4,1.35,1.4,1.35,0.0,0.0,305000,412000,3
2015-09-16,1.5,1.5,1.5,1.5,0.1,7.14,10000,15000,1
2015-09-17,1.6,1.6,1.6,1.6,0.1,6.67,10000,16000,1
2015-10-11,1.7,1.7,1.7,1.7,0.1,6.25,15000,25500,1
2015-11-19,1.5,1.55,1.55,1.5,-0.2,-11.76,300000,455000,2
2015-11-22,1.6,1.6,1.6,1.6,0.1,6.67,5200,8320,1
2015-11-26,1.48,1.5,1.5,1.48,-0.12,-7.5,40000,59800,4
2015-11-29,1.6,1.6,1.6,1.6,0.12,8.11,5000,8000,1
2016-02-04,1.6,1.28,1.6,1.28,0.0,0.0,52573,74013,2
2016-02-07,1.49,1.28,1.49,1.28,-0.11,-6.88,1157818,1484317,5
2016-02-08,1.6,1.6,1.6,1.6,0.11,7.38,21000,33600,1
2016-02-25,1.35,1.35,1.35,1.35,-0.25,-15.62,10000,13500,1
2016-03-02,1.3,1.3,1.3,1.3,-0.05,-3.7,7349,9554,1
2016-03-07,1.04,1.04,1.04,1.04,-0.26,-20.0,500000,520000,2
2020-11-18,0.75,0.75,0.75,0.75,-0.29,-27.88,128500000,96375000,2
2020-11-25,0.75,0.75,0.75,0.75,0.0,0.0,7165054,5373790,2
2020-11-29,0.74,0.74,0.74,0.74,-0.01,-1.33,8333610,6166872,1
2021-02-18,0.74,0.74,0.74,0.74,0.0,0.0,40459458,29939998,3
2021-02-22,0.74,0.74,0.74,0.74,0.0,0.0,40459458,29939998,3
2021-03-11,0.7,0.7,0.7,0.7,-0.04,-5.41,152558508,106790952,5
2021-04-19,0.56,0.56,0.56,0.56,-0.14,-20.0,113000,63280,1
2021-08-25,0.56,0.56,0.56,0.56,0.0,0.0,104166,58333,1
2021-09-20,0.56,0.56,0.56,0.56,0.0,0.0,1300000,728000,1
2021-09-22,0.53,0.53,0.53,0.53,-0.03,-5.36,1000000,530000,1
2021-09-23,0.56,0.53,0.56,0.53,0.03,5.66,1737738,971566,4
2021-09-29,0.66,0.66,0.66,0.66,0.1,17.86,100000,66000,2
2021-10-04,0.53,0.53,0.53,0.53,-0.13,-19.7,48215,25554,1
2021-10-17,0.61,0.61,0.61,0.61,0.08,15.09,2000000,1220000,1
2021-10-20,0.6,0.6,0.6,0.6,-0.01,-1.64,1000000,600000,1
2021-10-24,0.59,0.59,0.59,0.59,-0.01,-1.67,1500000,885000,1
2021-10-25,0.6,0.59,0.6,0.59,0.01,1.69,2050000,1229500,2
2022-01-05,0.57,0.57,0.57,0.57,-0.03,-5.0,3000000,1710000,1
2022-01-09,0.57,0.57,0.57,0.57,0.0,0.0,3000000,1710000,1
2022-01-17,0.56,0.56,0.56,0.56,-0.01,-1.75,2000000,1120000,1
