Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,2.5,2.5,2.5,0,0.00%,,62500,1
2010-01-07,0,2.6,2.6,2.6,0,0.00%,,260000,1
2010-01-10,0,2.6,2.6,2.5,0,0.00%,,1795000,2
2010-01-17,0,2.3,2.3,2.3,0,0.00%,,257600,1
2010-01-18,0,2.5,2.75,2.5,0,0.00%,,277500,2
2010-01-20,0,2.7,2.7,2.7,0,0.00%,,4050000,1
2010-01-28,0,2.7,2.7,2.7,0,0.00%,,202500,2
2010-02-04,0,2.75,2.75,2.75,0,0.00%,,137500,1
2010-03-16,0,2.7,2.7,2.7,0,0.00%,,168750,1
2010-05-06,0,2.7,2.7,2.7,0,0.00%,,54000,1
2010-05-10,0,2.7,2.7,2.7,0,0.00%,,37827,3
2010-09-01,0,2.05,2.05,2.05,0,0.00%,,170679,1
2010-09-02,0,2,2.1,1.98,0,0.00%,,18754170,15
2010-09-06,0,2.05,2.05,2.05,0,0.00%,,20500,1
2010-12-22,0,1.95,1.95,1.95,0,0.00%,,58500,1
2011-02-14,0,1.9,1.9,1.85,0,0.00%,,375000,3
2011-02-17,0,1.8,1.85,1.75,0,0.00%,,1668378,4
2011-02-21,0,1.8,1.8,1.75,0,0.00%,,444000,3
2011-02-27,0,1.8,1.8,1.8,0,0.00%,,1620000,1
2011-02-28,0,1.8,1.8,1.8,0,0.00%,,1890000,3
2011-03-06,0,1.7,1.7,1.7,0,0.00%,,39319715,5
2011-03-07,0,1.7,1.7,1.7,0,0.00%,,12140771,6
2011-03-08,0,1.7,1.7,1.7,0,0.00%,,340000,2
2011-04-04,0,1.7,1.7,1.7,0,0.00%,,85000,1
2011-04-06,0,1.7,1.7,1.7,0,0.00%,,20145000,8
2011-04-07,0,1.7,1.7,1.7,0,0.00%,,1870000,3
2011-04-11,0,1.75,1.75,1.75,0,0.00%,,349076,1
2011-04-13,0,1.8,1.8,1.8,0,0.00%,,90000,1
2011-04-17,0,1.85,1.9,1.8,0,0.00%,,1897500,3
2011-04-19,0,1.9,1.98,1.9,0,0.00%,,519500,3
2011-04-20,0,2,2.15,2,0,0.00%,,1897500,4
2011-04-21,0,2.15,2.25,2.15,0,0.00%,,770387,4
2011-04-24,0,2.3,2.3,2.3,0,0.00%,,279031,2
2011-04-25,0,2.32,2.32,2.32,0,0.00%,,4640000,2
2011-04-26,0,2.4,2.4,2.4,0,0.00%,,240000,1
2011-04-27,0,2.4,2.5,2.4,0,0.00%,,2835035,4
2011-04-28,0,2.55,2.55,2.55,0,0.00%,,127500,1
2011-05-02,0,2.55,2.55,2.55,0,0.00%,,127500,1
2011-05-03,0,2.55,2.56,2.55,0,0.00%,,3388919,2
2011-05-04,0,2.58,2.6,2.58,0,0.00%,,8280000,4
2011-05-05,0,2.6,2.6,2.6,0,0.00%,,624000,2
2011-05-09,0,2.6,2.6,2.6,0,0.00%,,247630932,2
2011-05-15,0,2.62,2.62,2.62,0,0.00%,,1678458,1
2011-05-19,0,2.6,2.6,2.6,0,0.00%,,4095000,1
2011-05-29,0,2.8,2.8,2.8,0,0.00%,,420000,2
2011-05-30,0,2.85,2.85,2.81,0,0.00%,,29049703,2
2011-10-04,0,2,2,2,0,0.00%,,4200000,3
2011-10-05,0,1.8,1.8,1.8,0,0.00%,,1641559,2
2011-10-06,0,1.62,1.62,1.62,0,0.00%,,243000,2
2011-10-10,0,1.46,1.46,1.46,0,0.00%,,73000,1
2011-10-11,0,1.32,1.45,1.32,0,0.00%,,109127389,30
2011-10-12,0,1.45,1.45,1.38,0,0.00%,,8026500,9
2011-10-13,0,1.38,1.38,1.38,0,0.00%,,276000,1
2011-10-16,0,1.35,1.36,1.34,0,0.00%,,13331294,12
2011-10-17,0,1.33,1.33,1.32,0,0.00%,,1321000,6
2011-10-18,0,1.32,1.32,1.3,0,0.00%,,3588064,7
2011-10-19,0,1.3,1.35,1.3,0,0.00%,,5912750,10
2011-10-20,0,1.35,1.35,1.3,0,0.00%,,11526950,10
2011-10-23,0,1.3,1.32,1.3,0,0.00%,,2429734,7
2011-10-25,0,1.3,1.33,1.3,0,0.00%,,12030416,22
2011-10-27,0,1.3,1.3,1.23,0,0.00%,,6720412,16
2011-10-30,0,1.3,1.3,1.3,0,0.00%,,260000,1
2011-10-31,0,1.3,1.3,1.3,0,0.00%,,325000,1
2011-11-01,0,1.35,1.35,1.35,0,0.00%,,135000,1
2011-11-03,0,1.3,1.3,1.3,0,0.00%,,1560000,6
2011-11-13,0,1.3,1.3,1.3,0,0.00%,,650000,1
2011-11-14,0,1.29,1.3,1.29,0,0.00%,,4761187,9
2011-11-15,0,1.3,1.3,1.3,0,0.00%,,260000,1
2011-11-16,0,1.29,1.29,1.29,0,0.00%,,645000,1
2011-11-17,0,1.3,1.3,1.3,0,0.00%,,1312969,3
2011-11-20,0,1.3,1.32,1.3,0,0.00%,,338200,2
2011-11-21,0,1.32,1.32,1.32,0,0.00%,,132000,1
2011-11-22,0,1.3,1.32,1.3,0,0.00%,,10971135,7
2011-11-23,0,1.32,1.32,1.32,0,0.00%,,908466,6
2011-11-24,0,1.3,1.3,1.3,0,0.00%,,302810,1
2011-11-28,0,1.3,1.3,1.3,0,0.00%,,26000,1
2011-11-29,0,1.3,1.3,1.3,0,0.00%,,22190,1
2011-11-30,0,1.3,1.32,1.29,0,0.00%,,12613521,14
2011-12-01,1,1.3,1.33,1.3,1,0.00%,,89671650,13
2011-12-05,1.31,1.32,1.32,1.31,0.31,31.00%,,687744,2
2011-12-07,1.44,1.3,1.44,1.3,0.13,9.92%,,27641951,19
2011-12-08,1.58,1.44,1.58,1.44,0.14,9.72%,,4459722,9
2011-12-11,1.65,1.58,1.7,1.58,0.07,4.43%,,6599242,17
2011-12-12,1.65,1.65,1.69,1.6,0,0.00%,,11954034,29
