Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-02-15,0,1,1,1,0,0.00%,,50000,1
2010-03-10,0,0.95,0.95,0.95,0,0.00%,,23750,1
2010-03-15,0,0.76,0.76,0.76,0,0.00%,,569989,1
2010-03-23,0,0.81,0.81,0.81,0,0.00%,,627738,2
2010-06-24,0,0.75,0.75,0.75,0,0.00%,,874942,1
2010-06-28,0,0.78,0.78,0.78,0,0.00%,,39000,1
2010-06-29,0,0.85,0.85,0.85,0,0.00%,,42497,1
2010-06-30,0,0.9,0.93,0.9,0,0.00%,,708576,3
2010-09-02,0,0.92,1.02,0.92,0,0.00%,,839730,2
2010-09-06,0,0.92,0.92,0.92,0,0.00%,,184000,1
2010-10-05,0,0.92,0.92,0.92,0,0.00%,,2284183,5
2010-10-07,0,1.01,1.01,1.01,0,0.00%,,101000,1
2010-10-10,0,1.1,1.1,1.06,0,0.00%,,546326,3
2010-10-11,0,1.06,1.06,1.06,0,0.00%,,217828,1
2010-10-12,0,1.02,1.02,0.96,0,0.00%,,602730,4
2010-10-25,0,0.95,1,0.95,0,0.00%,,1234606,3
2010-10-28,0,0.99,0.99,0.99,0,0.00%,,198000,1
2010-11-04,0,1,1,1,0,0.00%,,300000,1
2010-11-14,0,1,1,1,0,0.00%,,13300524,10
2010-11-22,0,1.05,1.05,1.05,0,0.00%,,21000000,2
2010-11-23,0,1.1,1.12,1.1,0,0.00%,,15954409,8
2010-11-24,0,1.1,1.1,1.1,0,0.00%,,425293,2
2010-11-25,0,1.1,1.1,1.1,0,0.00%,,11112070,3
2010-11-28,0,1.1,1.1,1.1,0,0.00%,,7843056,2
2010-12-05,0,1.05,1.05,1.05,0,0.00%,,751511,3
2010-12-12,0,1.02,1.02,1.02,0,0.00%,,765000,2
2010-12-15,0,1,1,1,0,0.00%,,500000,1
2010-12-19,0,1.05,1.1,1.05,0,0.00%,,22519106,11
2010-12-20,0,1.1,1.1,1.1,0,0.00%,,11000000,1
2010-12-21,0,1.1,1.1,1.1,0,0.00%,,11000000,2
2010-12-22,0,1.1,1.1,1.1,0,0.00%,,33000000,2
2011-01-12,0,1.1,1.1,1.1,0,0.00%,,82499,1
2011-01-17,0,1.1,1.1,1.1,0,0.00%,,669900,2
2011-01-18,0,1.1,1.1,1.1,0,0.00%,,1210000,2
2011-01-24,0,1.05,1.05,1.05,0,0.00%,,525000,1
2011-02-13,0,1.05,1.05,1.05,0,0.00%,,119348,2
2011-02-14,0,1.05,1.05,1.05,0,0.00%,,1312500,1
2011-02-17,0,1.05,1.05,1.05,0,0.00%,,149622,1
2011-02-21,0,1.05,1.05,1.05,0,0.00%,,5250000,1
2011-02-22,0,1.07,1.07,1.07,0,0.00%,,7507639,4
2011-02-23,0,1.07,1.1,1.07,0,0.00%,,27745707,14
2011-02-28,0,1.1,1.1,1.1,0,0.00%,,110000,1
2011-03-03,0,1.1,1.1,1.1,0,0.00%,,165000,1
2011-03-06,0,1.1,1.1,1.1,0,0.00%,,1133175,3
2011-03-07,0,1.1,1.1,1.1,0,0.00%,,2200000,3
2011-03-08,0,1.1,1.1,1.1,0,0.00%,,1310207,1
2011-03-15,0,1.05,1.05,1.05,0,0.00%,,664650,2
2011-03-16,0,1.05,1.05,1.05,0,0.00%,,101462,1
2011-04-05,0,1.05,1.05,1.05,0,0.00%,,202982,1
2011-04-12,0,1.05,1.05,1.05,0,0.00%,,745557,2
2011-04-14,0,1.05,1.05,1.04,0,0.00%,,229199,4
2011-04-26,0,1.04,1.04,1.04,0,0.00%,,104000,1
2011-04-28,0,1.05,1.05,1.05,0,0.00%,,1252986,2
2011-05-09,0,0.97,0.97,0.97,0,0.00%,,51964,3
2011-05-11,0,0.97,0.97,0.97,0,0.00%,,20785,1
2011-05-17,0,0.97,0.97,0.97,0,0.00%,,2425000,1
2011-05-26,0,0.92,0.92,0.92,0,0.00%,,920000,1
2011-05-30,0,0.92,0.92,0.92,0,0.00%,,920000,1
2011-05-31,0,0.92,0.92,0.92,0,0.00%,,3883556,5
2011-06-02,0,0.9,0.9,0.9,0,0.00%,,257144,1
2011-06-07,0,0.93,0.93,0.93,0,0.00%,,930000,2
2011-06-09,0,0.92,0.92,0.92,0,0.00%,,1840000,1
2011-08-09,0,0.92,0.92,0.92,0,0.00%,,177854,1
2011-08-15,0,1,1,1,0,0.00%,,100000,1
2011-08-21,0,1,1,1,0,0.00%,,57521693,3
2011-08-23,0,1,1,1,0,0.00%,,185465093,10
2011-08-24,0,1,1,1,0,0.00%,,3000000,3
2011-08-25,0,1,1,1,0,0.00%,,12840630,3
2011-09-08,0,1,1,1,0,0.00%,,1000476,2
2011-09-13,0,1,1,1,0,0.00%,,258150,1
2011-09-18,0,1,1,1,0,0.00%,,297882,1
2011-09-29,0,1,1,1,0,0.00%,,250000,1
2011-10-03,0,1,1,1,0,0.00%,,1827903,1
2011-10-11,0,1.05,1.05,1.05,0,0.00%,,1316950,2
2011-10-13,0,1.05,1.05,1.05,0,0.00%,,525000,3
2011-10-18,0,1.07,1.07,1.05,0,0.00%,,1578000,3
2011-10-19,0,1.05,1.05,1.05,0,0.00%,,1477338,5
2011-10-20,0,1.1,1.15,1.1,0,0.00%,,1698823,5
2011-11-22,0,1.14,1.14,1.14,0,0.00%,,2280000,1
2011-12-11,1.14,1.14,1.14,1.14,1.14,0.00%,,842454,2
2011-12-20,1.15,1.15,1.15,1.15,0.01,0.88%,,1150000,1
2012-01-08,1.15,1.15,1.15,1.15,0,0.00%,,162972,1
2012-01-09,1.15,1.15,1.15,1.15,0,0.00%,,287500,1
2012-01-17,1.15,1.15,1.15,1.15,0,0.00%,,575000,1
2012-01-18,1.26,1.2,1.26,1.2,0.11,9.57%,,3135000,3
2012-01-19,1.2,1.21,1.21,1.2,-0.06,-4.76%,,302000,3
2012-01-23,1.2,1.2,1.2,1.2,0,0.00%,,2400000,2
2012-01-24,1.21,1.21,1.21,1.21,0.01,0.83%,,187131,1
2012-01-25,1.21,1.21,1.21,1.21,0,0.00%,,181120,4
2012-01-29,1.22,1.22,1.22,1.22,0.01,0.83%,,1220000,1
2012-01-30,1.22,1.22,1.22,1.22,0,0.00%,,2399231,2
2012-02-02,1.25,1.22,1.25,1.22,0.03,2.46%,,5526000,3
2012-02-07,1.25,1.25,1.25,1.25,0,0.00%,,250000,1
2012-02-08,1.25,1.25,1.25,1.25,0,0.00%,,157665,1
2012-02-09,1.26,1.26,1.26,1.26,0.01,0.80%,,2262189,7
2012-02-12,1.27,1.27,1.27,1.27,0.01,0.79%,,1132962,7
2012-02-28,1.28,1.28,1.28,1.28,0.01,0.79%,,5418452,6
2012-03-01,1.38,1.38,1.38,1.38,0.1,7.81%,,173085,1
2012-03-04,1.45,1.45,1.45,1.45,0.07,5.07%,,362500,1
2012-03-06,1.59,1.55,1.59,1.55,0.14,9.66%,,2529626,3
2012-03-08,1.6,1.59,1.6,1.59,0.01,0.63%,,1034000,4
2012-03-11,1.61,1.61,1.61,1.61,0.01,0.63%,,80500,1
2012-03-12,1.65,1.65,1.65,1.65,0.04,2.48%,,82500,1
2012-03-14,1.6,1.6,1.6,1.6,-0.05,-3.03%,,400000,2
2012-03-15,1.55,1.55,1.55,1.55,-0.05,-3.13%,,542500,2
2012-03-19,1.5,1.5,1.5,1.5,-0.05,-3.23%,,2369940,3
2012-03-20,1.45,1.45,1.45,1.45,-0.05,-3.33%,,725000,1
2012-03-22,1.45,1.45,1.45,1.45,0,0.00%,,362500,1
2012-04-01,1.4,1.4,1.4,1.4,-0.05,-3.45%,,700000,2
2012-04-03,1.4,1.4,1.4,1.4,0,0.00%,,140000,1
2012-04-08,1.5,1.5,1.5,1.5,0.1,7.14%,,1500000,4
2012-04-11,1.36,1.36,1.36,1.36,-0.14,-9.33%,,101999,6
2012-04-16,1.38,1.38,1.38,1.38,0.02,1.47%,,34501,1
2012-04-23,1.4,1.4,1.4,1.4,0.02,1.45%,,11620000,2
2012-05-08,1.27,1.27,1.27,1.27,-0.13,-9.29%,,63500,1
2012-06-28,1.27,1.27,1.27,1.27,0,0.00%,,3275322,1
2012-07-01,1.27,1.27,1.27,1.27,0,0.00%,,1473073,1
2012-07-11,1.27,1.27,1.27,1.27,0,0.00%,,3810000,1
2012-09-06,1.21,1.21,1.21,1.21,-0.06,-4.72%,,151249,2
2012-09-11,1.21,1.21,1.21,1.21,0,0.00%,,807070,1
2012-10-03,1.21,1.21,1.21,1.21,0,0.00%,,39930,1
2012-10-23,1.2,1.2,1.2,1.2,-0.01,-0.83%,,120000,1
2012-12-05,1.27,1.26,1.27,1.26,0.07,5.83%,,288640,8
2012-12-06,1.27,1.27,1.27,1.27,0,0.00%,,162625,2
2012-12-09,1.29,1.29,1.29,1.29,0.02,1.57%,,152221,2
2012-12-23,1.29,1.29,1.29,1.29,0,0.00%,,4450500,1
2012-12-24,1.29,1.29,1.29,1.29,0,0.00%,,4450500,1
2013-03-06,1.17,1.17,1.17,1.17,-0.12,-9.30%,,1289925,2
2013-03-27,1.12,1.15,1.15,1.12,-0.05,-4.27%,,171000,3
2013-03-28,1.11,1.11,1.11,1.11,-0.01,-0.89%,,44400,1
2013-12-02,1,1,1,1,-0.11,-9.91%,,92883,2
2013-12-09,1,1,1,1,0,0.00%,,88919944,1
2013-12-15,1,1,1,1,0,0.00%,,2884,2
2013-12-16,1,1,1,1,0,0.00%,,2884,1
2014-03-02,1,1,1,1,0,0.00%,,24161,1
2014-03-10,1,1,1,1,0,0.00%,,251562,2
2014-04-15,1,1,1,1,0,0.00%,,5174897,6
2014-04-23,0.9,0.9,0.9,0.9,-0.1,-10.00%,,125391,3
2014-05-05,0.85,0.85,0.85,0.85,-0.05,-5.56%,,295800,4
2015-05-03,0.7,0.7,0.7,0.7,-0.15,-17.65%,,55048160,1
2015-05-06,0.63,0.63,0.63,0.63,-0.07,-10.00%,,7002,1
2015-05-17,0.63,0.63,0.63,0.63,0,0.00%,,694575,1
2015-08-16,0.63,0.63,0.63,0.63,0,0.00%,,54337,1
2015-12-13,0.57,0.57,0.57,0.57,-0.06,-9.52%,,570000,1
2015-12-17,0.52,0.6,0.6,0.52,-0.05,-8.77%,,53200,2
2016-01-03,0.52,0.52,0.52,0.52,0,0.00%,,4485000,3
2016-01-11,0.52,0.52,0.52,0.52,0,0.00%,,10400,2
2016-01-17,0.52,0.52,0.52,0.52,0,0.00%,,3380000,3
2016-01-18,0.52,0.52,0.52,0.52,0,0.00%,,260000,1
2016-01-21,0.52,0.52,0.52,0.52,0,0.00%,,3120000,2
2016-04-03,0.5,0.5,0.5,0.5,-0.02,-3.85%,,1778510,1
2016-04-04,0.55,0.55,0.55,0.55,0.05,10.00%,,57750,1
2016-04-07,0.52,0.52,0.52,0.52,-0.03,-5.45%,,780000,1
2016-04-11,0.5,0.5,0.5,0.5,-0.02,-3.85%,,750000,1
2016-04-18,0.46,0.46,0.46,0.46,-0.04,-8.00%,,230000,1
2016-05-19,0.46,0.46,0.46,0.46,0,0.00%,,664522,3
2016-06-27,0.42,0.42,0.42,0.42,-0.04,-8.70%,,126000,1
2016-08-25,0.42,0.42,0.42,0.42,0,0.00%,,9090548,2
2016-11-08,0.4,0.4,0.4,0.4,-0.02,-4.76%,,17784,1
2017-04-26,0.4,0.4,0.4,0.4,0,0.00%,,4500,1
2018-03-12,0.45,0.45,0.45,0.45,0.05,12.50%,,31500,1
2018-06-12,0.45,0.45,0.45,0.45,0,0.00%,,1390926,1
2018-08-09,0.36,0.36,0.36,0.36,-0.09,-20.00%,,1112741,1
2018-09-16,0.36,0.36,0.36,0.36,0,0.00%,,1008000,1
2018-10-18,0.36,0.36,0.36,0.36,0,0.00%,,1008000,1
2019-05-29,0.36,0.36,0.36,0.36,0,0.00%,,3600,1
2019-06-16,0.36,0.36,0.36,0.36,0,0.00%,,184721,1
2019-08-27,0.3,0.3,0.3,0.3,-0.06,-16.67%,,14492,1
2019-08-29,0.33,0.33,0.33,0.33,0.03,10.00%,,6600,2
2019-11-24,0.33,0.33,0.33,0.33,0,0.00%,,99000,1
2021-03-22,0.33,0.33,0.33,0.33,0,0.00%,,55658684,5
2021-03-23,0.33,0.33,0.33,0.33,0,0.00%,,55658684,5
2021-07-15,0.27,0.27,0.27,0.27,-0.06,-18.18%,,15525,1
2021-10-17,0.22,0.22,0.22,0.22,-0.05,-18.52%,,11900,1
2021-10-27,0.21,0.21,0.21,0.21,-0.01,-4.55%,,169547,1
2021-10-28,0.21,0.21,0.21,0.21,0,0.00%,,169547,1
2021-11-18,0.2,0.2,0.2,0.2,-0.01,-4.76%,,19011,2
2022-01-23,0.2,0.2,0.2,0.2,0,0.00%,,50000,1
2022-02-06,0.2,0.2,0.2,0.2,0,0.00%,,50000,1
2022-02-08,0.2,0.2,0.2,0.2,0,0.00%,,17786,1
2022-03-08,0.2,0.2,0.2,0.2,0,0.00%,,20000,1
2022-04-25,0.2,0.2,0.2,0.2,0,0.00%,,10000,1
2022-05-10,0.2,0.2,0.2,0.2,0,0.00%,,10000,1
2022-06-14,0.2,0.2,0.2,0.2,0,0.00%,,20000,1
2022-06-16,0.24,0.24,0.24,0.24,0.04,20.00%,,12000,1
2022-06-21,0.28,0.24,0.28,0.24,0.04,16.67%,,49206,3
2022-06-23,0.31,0.31,0.31,0.31,0.03,10.71%,,31000,1
2022-06-26,0.31,0.31,0.31,0.31,0,0.00%,,719,1
2022-08-22,0.37,0.37,0.37,0.37,0.06,19.35%,,10000,1
2022-09-19,0.4,0.4,0.4,0.4,0.03,8.11%,,100000,2
2022-09-21,0.43,0.43,0.43,0.43,0.03,7.50%,,50000,1
2022-09-25,0.5,0.5,0.5,0.5,0.07,16.28%,,50000,1
2022-09-27,0.45,0.45,0.45,0.45,-0.05,-10.00%,,100000,1
2022-10-05,0.38,0.38,0.38,0.38,-0.07,-15.56%,,159984,1
2022-11-29,0.36,0.36,0.36,0.36,-0.02,-5.26%,,9000,1
2023-02-12,0.36,0.36,0.36,0.36,0,0.00%,,12381,2
2023-02-23,0.35,0.35,0.35,0.35,-0.01,-2.78%,,3242,1
2023-03-26,0.3,0.3,0.3,0.3,-0.05,-14.29%,,90000,1
