Code,Company,Open,High,Low,AvgPrice,PrevAvg,Close,PrevClose,ChangePct,Trades,Volume,Value
AISP,Iraqi for Seed Production,6.940000,6.940000,6.850000,6.895000,6.950000,6.850000,6.940000,-1.296830,33,51685768,354047510.800000
BASH,Ashur International Bank For Investment,0.260000,0.260000,0.260000,0.260000,0.265000,0.260000,0.270000,-3.703704,5,523389,136081.140000
BBOB,Bank Of Baghdad,3.920000,3.920000,3.830000,3.882500,3.927500,3.860000,3.920000,-1.530612,220,356944128,1377804334.080000
BCIH,Cihan Islamic Bank ,1.860000,1.860000,1.860000,1.860000,2.030000,1.860000,2.030000,-8.374384,2,1860000,3459600.000000
BCOI,Commercial Bank of Iraq,0.780000,0.780000,0.760000,0.770000,0.792500,0.760000,0.790000,-3.797468,84,166371664,126442464.640000
BEFI,Economy Bank For Investment,0.260000,0.260000,0.260000,0.260000,0.250000,0.260000,0.250000,4.000000,1,169,43.940000
BGUC,Gulf Commercial Bank,0.330000,0.330000,0.330000,0.330000,0.335000,0.330000,0.330000,0.000000,10,9970036,3290111.880000
BIIB,Iraqi Islamic Bank,1.130000,1.130000,1.120000,1.125000,1.145000,1.120000,1.140000,-1.754386,11,4722200,5288864.000000
BMNS,Al-Mansour Bank,1.890000,1.890000,1.840000,1.875000,1.887500,1.880000,1.900000,-1.052632,162,314793856,591812449.280000
BNOI,National Bank Of Iraq,3.160000,3.170000,3.140000,3.152500,3.172500,3.140000,3.160000,-0.632911,93,100831128,316609741.920000
BROI,Credit Bank Of Iraq,0.780000,0.790000,0.780000,0.782500,0.800000,0.780000,0.790000,-1.265823,11,5961326,4649834.280000
BSUC,Sumer Commerical Bank,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.000000,8,5401812,432144.960000
BUND,United Bank,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.000000,1,1500000,75000.000000
HBAG,Baghdad Hotel,11.400000,11.400000,10.800000,11.100000,11.355000,10.800000,11.400000,-5.263158,7,3490469,37697065.200000
IBSD,Baghdad Soft Drinks,4.920000,4.950000,4.850000,4.905000,4.932500,4.900000,4.920000,-0.406504,75,217186800,1064215320.000000
IHFI,National Household Furniture Industry,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,1.050000,0.000000,1,525000,551250.000000
IHLI,Al -HiLal Industries,2.250000,2.250000,2.250000,2.250000,2.395000,2.250000,2.390000,-5.857741,2,1170000,2632500.000000
IMAP,Al-Mansour Pharmaceuticals Industries,2.450000,2.490000,2.450000,2.460000,2.500000,2.450000,2.500000,-2.000000,11,9920833,24306040.850000
IMOS,Modern Sewing,8.850000,8.850000,8.850000,8.850000,8.700000,8.850000,8.900000,-0.561798,3,4602194,40729416.900000
NAHF,AHliya For Insurance,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.000000,1,8469,6351.750000
NAME,Al-Ameen Insurance,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,1.060000,0.000000,5,139269,147625.140000
SBPT,Baghdad -Iraq Transportation,30.900000,30.900000,30.900000,30.900000,30.950000,30.900000,30.900000,0.000000,15,16794398,518946898.200000
SKTA,Kharkh Tour Amuzement City ,4.000000,4.340000,4.000000,4.170000,4.350000,4.340000,4.350000,-0.229885,4,2405388,10439383.920000
SMRI,Mamoura Realestate Investment,5.000000,5.000000,4.700000,4.880000,5.175000,4.820000,5.000000,-3.600000,19,22002748,106053245.360000
TASC,Asia Cell,12.600000,12.600000,12.440000,12.522500,12.652500,12.450000,12.650000,-1.581028,147,403122688,5018877465.599999
TZNI,AlKatmat for Telecommunication,2.380000,2.380000,2.380000,2.380000,2.480000,2.380000,2.480000,-4.032258,1,4344,10338.720000
